property_id,transaction_log_id,id,address,neighborhood,bedrooms,bathrooms,sqft,source,origin_url,created_at,updated_at,latitude,longitude,elevation,lookup_address,id_1,price,transaction_status,date_listed,date_closed,days_on_market,created_at_1,updated_at_1,property_id_1,transaction_type
461,1891,461,"3840 Market St APT 1, San Francisco, CA 94131",Twin Peaks,2,1,936,zillow_sf,http://www.zillow.com/homedetails/3840-Market-St-APT-1-San-Francisco-CA-94131/2146955267_zpid/,2015-08-23 20:31:22,2015-08-28 15:33:03,37.7531,-122.443,157.898,"3840 Market St APT 1, San Francisco, CA 94131, Twin Peaks",1891,699000,open,2015-06-06,,,2015-08-27 08:46:47,2015-08-27 08:46:47,461,sales
466,466,466,"142 Gates St, San Francisco, CA 94110",Bernal Heights,2,2,1500,zillow_sf,http://www.zillow.com/homedetails/142-Gates-St-San-Francisco-CA-94110/15161945_zpid/,2015-08-23 20:31:22,2015-08-28 15:33:06,37.741,-122.414,87.487,"142 Gates St, San Francisco, CA 94110, Bernal Heights",466,625000,closed,2008-04-27,2008-06-06,0,2015-08-23 20:31:39,2015-08-27 08:46:45,466,sales
470,470,470,"1963 Mcallister St, San Francisco, CA 94115",North Panhandle,2,2,1000,zillow_sf,http://www.zillow.com/homedetails/1963-Mcallister-St-San-Francisco-CA-94115/53734245_zpid/,2015-08-23 20:31:22,2015-08-28 15:33:08,37.7768,-122.444,70.6278,"1963 Mcallister St, San Francisco, CA 94115, North Panhandle",470,799000,closed,2009-03-12,2010-04-01,0,2015-08-23 20:31:39,2015-08-27 08:46:45,470,sales
471,471,471,"8400 Oceanview Ter, San Francisco, CA 94132",Ingleside Heights,2,2,1012,zillow_sf,http://www.zillow.com/homedetails/8400-Oceanview-Ter-San-Francisco-CA-94132/2138567980_zpid/,2015-08-23 20:31:22,2015-08-28 15:33:09,37.7098,-122.468,78.519,"8400 Oceanview Ter, San Francisco, CA 94132, Ingleside Heights",471,265000,open,2009-05-28,,,2015-08-23 20:31:39,2015-08-23 20:31:39,471,sales
472,472,472,"438 Broderick St, San Francisco, CA 94117",North Panhandle,3,2,0,zillow_sf,http://www.zillow.com/homedetails/438-Broderick-St-San-Francisco-CA-94117/2138184789_zpid/,2015-08-23 20:31:23,2015-08-28 15:33:09,37.7743,-122.439,65.5902,"438 Broderick St, San Francisco, CA 94117, North Panhandle",472,599000,open,2009-06-24,,,2015-08-23 20:31:39,2015-08-23 20:31:39,472,sales
476,476,476,"240 Lombard St, San Francisco, CA 94111",Telegraph Hill,1,1,700,zillow_sf,http://www.zillow.com/homedetails/240-Lombard-St-San-Francisco-CA-94111/2134448514_zpid/,2015-08-23 20:31:23,2015-08-23 20:31:23,37.8041,-122.405,5.97081,"240 Lombard St, San Francisco, CA 94111, Telegraph Hill",476,459000,open,2009-12-05,,,2015-08-23 20:31:39,2015-08-23 20:31:39,476,sales
477,477,477,"3010 Sacramento St, San Francisco, CA 94115",Pacific Heights,2,1,1000,zillow_sf,http://www.zillow.com/homedetails/3010-Sacramento-St-San-Francisco-CA-94115/2132904222_zpid/,2015-08-23 20:31:23,2015-08-23 20:31:23,37.7889,-122.443,69.8516,"3010 Sacramento St, San Francisco, CA 94115, Pacific Heights",477,710000,open,2010-03-10,,,2015-08-23 20:31:39,2015-08-23 20:31:39,477,sales
478,1830,478,"2196 Pacific Ave, San Francisco, CA 94115",Pacific Heights,2,2,1456,zillow_sf,http://www.zillow.com/homedetails/2196-Pacific-Ave-San-Francisco-CA-94115/2129723257_zpid/,2015-08-23 20:31:23,2015-08-23 20:31:23,37.7939,-122.431,80.0589,"2196 Pacific Ave, San Francisco, CA 94115, Pacific Heights",1830,1195000,open,2010-11-12,,,2015-08-27 08:46:45,2015-08-27 08:46:45,478,sales
479,1834,479,"1340 Mason St, San Francisco, CA 94133",Nob Hill,3,2,1157,zillow_sf,http://www.zillow.com/homedetails/1340-Mason-St-San-Francisco-CA-94133/2125612839_zpid/,2015-08-23 20:31:24,2015-08-23 20:31:24,37.796,-122.412,53.7228,"1340 Mason St, San Francisco, CA 94133, Nob Hill",1834,639000,open,2011-07-28,,,2015-08-27 08:46:45,2015-08-27 08:46:45,479,sales
483,483,483,"2139 Green St, San Francisco, CA 94123",Pacific Heights,2,2,1845,zillow_sf,http://www.zillow.com/homedetails/2139-Green-St-San-Francisco-CA-94123/2114280573_zpid/,2015-08-23 20:31:24,2015-08-23 20:31:24,37.796,-122.434,53.784,"2139 Green St, San Francisco, CA 94123, Pacific Heights",483,1795000,open,2013-02-17,,,2015-08-23 20:31:39,2015-08-23 20:31:39,483,sales
