address,bedrooms,bathrooms,sqft,source,longitude,latitude,elevation,neighborhood,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed
"5244 S 3rd St, Phoenix, AZ 85040",2,1,924,zillow_ph,-112.07,33.398,332.958,South Mountain,rental,765,open,,,2015-08-10
"15230 S 42nd St, Phoenix, AZ 85044",3,2,1779,zillow_ph,-111.992,33.308,374.76,Ahwatukee Foothills,rental,1395,open,,,2015-07-22
"10811 N Calle Del Sol, Phoenix, AZ 85037",3,2,1240,zillow_ph,-112.293,33.4955,311.707,Maryvale,rental,900,open,,,2015-09-15
"17 W Vernon Ave, Phoenix, AZ 85003",2,2,1386,zillow_ph,-112.075,33.4737,333.48,Encanto,rental,1545,open,,,2015-08-27
"E Berridge Ln Phoenix, AZ 85014",3,2,1542,zillow_ph,-112.061,33.5252,357.152,,rental,1300,open,,,2015-08-11
"E Ahwatukee Dr Phoenix, AZ 85044",2,2,1715,zillow_ph,-111.991,33.3358,394.299,,rental,1300,open,,,2015-08-12
"2421 W Monte Cristo Cir, Phoenix, AZ 85023",3,2,1440,zillow_ph,-112.112,33.6306,404.484,Deer Valley,rental,1250,open,,,2015-08-12
"3311 N 18th St, Phoenix, AZ 85016",2,1,900,zillow_ph,-112.043,33.4864,344.033,Encanto,rental,925,open,,,2015-08-15
"S 2nd St Phoenix, AZ 85004",0,1,1000,zillow_ph,-112.071,33.4391,329.562,,rental,1499,open,,,2015-08-16
"W Alice Ave Phoenix, AZ 85021",3,2,1354,zillow_ph,-112.078,33.5644,376.223,,rental,1400,open,,,2015-08-17
"3551 E Campo Bello Dr, Phoenix, AZ 85032",3,2,1297,zillow_ph,-112.004,33.6436,448.471,Paradise Valley,rental,985,open,,,2015-08-18
"W Blackhawk Dr Phoenix, AZ 85027",3,2,1263,zillow_ph,-112.087,33.6706,433.162,,rental,1250,open,,,2015-08-18
"4416 E Amberwood Dr, Phoenix, AZ 85048",3,2,1300,zillow_ph,-111.988,33.2999,363.892,Ahwatukee Foothills,rental,1325,open,,,2015-08-18
"E Indianola Ave Phoenix, AZ 85016",2,1,1100,zillow_ph,-112.035,33.4921,349.677,,rental,1450,open,,,2015-08-19
"512 N 53rd St, Phoenix, AZ 85008",2,2,850,zillow_ph,-111.968,33.454,368.957,Camelback East,rental,850,open,,,2015-08-21
"W Roma Ave Phoenix, AZ 85013",3,2,1500,zillow_ph,-112.082,33.501,342.176,,rental,1395,open,,,2015-08-21
"2219 N 92nd Dl, Phoenix, AZ 85037",3,2,1430,zillow_ph,-112.26,33.4743,313.12,Maryvale,rental,975,open,,,2015-08-21
"3716 W Mescal St, Phoenix, AZ 85029",3,2,1821,zillow_ph,-112.139,33.5862,378.431,North Mountain,rental,1100,open,,,2015-08-21
"7234 S 40th Ave, Phoenix, AZ 85041",3,2,2061,zillow_ph,-112.145,33.3805,317.944,Laveen,rental,1175,open,,,2015-08-22
"1323 W Morrow Dr, Phoenix, AZ 85027",3,1,1417,zillow_ph,-112.088,33.6569,424.663,Deer Valley,rental,1045,open,,,2015-08-22
"4328 N 42nd Pl, Phoenix, AZ 85018",3,2,1400,zillow_ph,-111.99,33.4996,375.405,Camelback East,rental,1550,open,,,2015-06-25
"9005 W Avalon Dr, Phoenix, AZ 85037",4,2,1514,zillow_ph,-112.253,33.4827,317.017,Maryvale,rental,975,open,,,2015-06-30
"3136 W Pollack St, Phoenix, AZ 85041",3,2,1540,zillow_ph,-112.127,33.3801,325.325,Laveen,rental,1100,open,,,2015-07-12
"3815 W Tonopah Dr, Glendale, AZ 85308",3,2,1264,zillow_ph,-112.142,33.6713,408.96,Deer Valley,rental,1200,open,,,2015-07-25
"17601 N 38th Ave, Glendale, AZ 85308",4,2,1832,zillow_ph,-112.141,33.6456,400.493,Deer Valley,rental,1400,open,,,2015-08-10
"921 W Villa Theresa Dr, Phoenix, AZ 85023",3,1,1342,zillow_ph,-112.086,33.6539,424.266,Deer Valley,rental,1025,open,,,2015-08-10
"3402 W Pershing Ave, Phoenix, AZ 85029",4,2,2132,zillow_ph,-112.132,33.6053,387.031,North Mountain,rental,1200,open,,,2015-08-10
"206 E Danbury Rd, Phoenix, AZ 85022",3,2,1322,zillow_ph,-112.072,33.6424,419.987,Deer Valley,rental,1195,open,,,2015-08-10
"4734 W Michigan Ave, Glendale, AZ 85308",3,2,1273,zillow_ph,-112.162,33.6511,394.732,Deer Valley,rental,975,open,,,2015-08-10
"6329 W Constance Way, Laveen, AZ 85339",4,2,2208,zillow_ph,-112.196,33.375,305.219,Laveen,rental,1200,open,,,2015-08-10
"19616 N 15th Pl, Phoenix, AZ 85024",3,2,1883,zillow_ph,-112.049,33.6647,451.733,Deer Valley,rental,1550,open,,,2015-08-10
