property_id,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source,pred_std
2514,"11515 N 91st St UNIT 140, Scottsdale, AZ 85260",2,2,1270,zillow_ph,http://www.zillow.com/homedetails/11515-N-91st-St-UNIT-140-Scottsdale-AZ-85260/8059188_zpid/,-111.883,33.5903,422.992,,,1,,,5411,rental,1395,closed,3,2015-09-29,2015-09-26,North Scottsdale,94,PH,312.69855265358800000000
2543,"14000 N 94th St UNIT 1169, Scottsdale, AZ 85260",2,2,1279,zillow_ph,http://www.zillow.com/homedetails/14000-N-94th-St-UNIT-1169-Scottsdale-AZ-85260/62731602_zpid/,-111.881,33.6125,443.926,,,1,,,5469,rental,1250,closed,2,2015-09-29,2015-09-27,North Scottsdale,94,PH,312.82223197656700000000
2600,"7979 E Princess Dr, Scottsdale, AZ 85255",3,3,2253,zillow_ph,http://www.zillow.com/homedetails/7979-E-Princess-Dr-Scottsdale-AZ-85255/8015518_zpid/,-111.91,33.6412,471.346,,,1,,,5404,rental,3000,closed,3,2015-09-29,2015-09-26,North Scottsdale,94,PH,314.20745630804800000000
2684,"9990 N Scottsdale Rd APT 1005, Scottsdale, AZ 85253",2,2,973,zillow_ph,http://www.zillow.com/homedetails/9990-N-Scottsdale-Rd-APT-1005-Scottsdale-AZ-85253/65437590_zpid/,-111.928,33.576,409.509,,,10,,,6272,rental,1195,closed,2,2015-09-30,2015-09-28,North Scottsdale,94,PH,313.40429798103300000000
2719,"8027 E Del Timbre Dr, Scottsdale, AZ 85258",3,3,2778,zillow_ph,http://www.zillow.com/homedetails/8027-E-Del-Timbre-Dr-Scottsdale-AZ-85258/7867135_zpid/,-111.907,33.5726,409.598,,,1,,,6249,rental,2675,closed,2,2015-09-30,2015-09-28,North Scottsdale,94,PH,314.01534652165800000000
2945,"11675 N 91st Ln, Scottsdale, AZ 85260",4,2,1936,zillow_ph,http://www.zillow.com/homedetails/11675-N-91st-Ln-Scottsdale-AZ-85260/8058932_zpid/,-111.884,33.5931,424.974,1985,,1,,,10600,rental,1995,closed,,2010-12-04,,North Scottsdale,94,PH,313.22045220559200000000
2945,"11675 N 91st Ln, Scottsdale, AZ 85260",4,2,1936,zillow_ph,http://www.zillow.com/homedetails/11675-N-91st-Ln-Scottsdale-AZ-85260/8058932_zpid/,-111.884,33.5931,424.974,1985,,1,,,7507,rental,1995,closed,920,2015-10-06,2013-03-30,North Scottsdale,94,PH,313.22045220559200000000
2955,"18171 N 93rd St, Scottsdale, AZ 85255",3,2,2509,zillow_ph,http://www.zillow.com/homedetails/18171-N-93rd-St-Scottsdale-AZ-85255/71602181_zpid/,-111.881,33.6502,497.319,2006,,1,,,12649,rental,3500,closed,,2015-10-06,,North Scottsdale,94,PH,313.18895063306000000000
2986,"20100 N 78th Pl APT 2093, Scottsdale, AZ 85255",1,1,930,zillow_ph,http://www.zillow.com/homedetails/20100-N-78th-Pl-APT-2093-Scottsdale-AZ-85255/67806350_zpid/,-111.911,33.6682,512.78,2001,,20,,,7766,rental,900,closed,4,2015-10-03,2015-09-29,North Scottsdale,94,PH,315.99826803477300000000
3005,"6940 E Cochise Rd UNIT 1044, Scottsdale, AZ 85253",2,2,1046,zillow_ph,http://www.zillow.com/homedetails/6940-E-Cochise-Rd-UNIT-1044-Scottsdale-AZ-85253/82827722_zpid/,-111.931,33.5807,411.272,2008,,1,,,7798,rental,1825,closed,3,2015-10-03,2015-09-30,North Scottsdale,94,PH,312.33636256248700000000
3088,"9270 E Thompson Peak Pkwy UNIT 301, Scottsdale, AZ 85255",3,2,2189,zillow_ph,http://www.zillow.com/homedetails/9270-E-Thompson-Peak-Pkwy-UNIT-301-Scottsdale-AZ-85255/55268503_zpid/,-111.887,33.6771,558.161,2002,,1,,,8722,rental,3300,closed,2,2015-10-04,2015-10-02,North Scottsdale,94,PH,313.42298832789200000000
3088,"9270 E Thompson Peak Pkwy UNIT 301, Scottsdale, AZ 85255",3,2,2189,zillow_ph,http://www.zillow.com/homedetails/9270-E-Thompson-Peak-Pkwy-UNIT-301-Scottsdale-AZ-85255/55268503_zpid/,-111.887,33.6771,558.161,2002,,1,,,8722,rental,3300,closed,2,2015-10-04,2015-10-02,North Scottsdale,94,PH,313.42298832789200000000
3090,"11515 N 91st St UNIT 115, Scottsdale, AZ 85260",2,2,1372,zillow_ph,http://www.zillow.com/homedetails/11515-N-91st-St-UNIT-115-Scottsdale-AZ-85260/8059230_zpid/,-111.883,33.5903,422.992,1988,,1,,,8790,rental,1375,closed,2,2015-10-04,2015-10-02,North Scottsdale,94,PH,311.97430176567300000000
3090,"11515 N 91st St UNIT 115, Scottsdale, AZ 85260",2,2,1372,zillow_ph,http://www.zillow.com/homedetails/11515-N-91st-St-UNIT-115-Scottsdale-AZ-85260/8059230_zpid/,-111.883,33.5903,422.992,1988,,1,,,8790,rental,1375,closed,2,2015-10-04,2015-10-02,North Scottsdale,94,PH,311.97430176567300000000
3141,"20100 N 78th Pl APT 1146, Scottsdale, AZ 85255",1,1,786,zillow_ph,http://www.zillow.com/homedetails/20100-N-78th-Pl-APT-1146-Scottsdale-AZ-85255/67806216_zpid/,-111.911,33.6682,512.78,2001,,11,,,10970,rental,925,closed,,2013-06-06,,North Scottsdale,94,PH,313.30500963375400000000
3141,"20100 N 78th Pl APT 1146, Scottsdale, AZ 85255",1,1,786,zillow_ph,http://www.zillow.com/homedetails/20100-N-78th-Pl-APT-1146-Scottsdale-AZ-85255/67806216_zpid/,-111.911,33.6682,512.78,2001,,11,,,8486,rental,925,closed,862,2015-10-08,2013-05-29,North Scottsdale,94,PH,313.30500963375400000000
3154,"8787 E Mountain View Rd APT 1064, Scottsdale, AZ 85258",1,1,900,zillow_ph,http://www.zillow.com/homedetails/8787-E-Mountain-View-Rd-APT-1064-Scottsdale-AZ-85258/67806958_zpid/,-111.891,33.5738,411.86,1985,,10,,,8780,rental,1049,closed,2,2015-10-04,2015-10-02,North Scottsdale,94,PH,312.27451316810600000000
3154,"8787 E Mountain View Rd APT 1064, Scottsdale, AZ 85258",1,1,900,zillow_ph,http://www.zillow.com/homedetails/8787-E-Mountain-View-Rd-APT-1064-Scottsdale-AZ-85258/67806958_zpid/,-111.891,33.5738,411.86,1985,,10,,,8780,rental,1049,closed,2,2015-10-04,2015-10-02,North Scottsdale,94,PH,312.27451316810600000000
3169,"8413 E Belgian Trl, Scottsdale, AZ 85258",4,2,2500,zillow_ph,http://www.zillow.com/homedetails/8413-E-Belgian-Trl-Scottsdale-AZ-85258/7865300_zpid/,-111.899,33.5799,414.782,1979,,1,,,10942,rental,2450,closed,,2013-04-22,,North Scottsdale,94,PH,313.15933936770400000000
