,address,ypred,list,gain-loss,gain-loss%,url
5792866,"2717 Stamm Dr, Antioch, CA 94509 ",357385.625,349900,7485.625,0.021393612460703038,https://www.zillow.com/homedetails/2717-Stamm-Dr-Antioch-CA-94509/18309264_zpid/
1978108,"12951 Plymouth Rd, Detroit, MI 48227 ",62372.26953125,55000,7372.26953125,0.13404126420454543,https://www.zillow.com/homedetails/12951-Plymouth-Rd-Detroit-MI-48227/2097269154_zpid/
7450410,"557 W Toledo St, Chandler, AZ 85225 ",165441.0625,159900,5541.0625,0.03465329893683555,https://www.zillow.com/homedetails/557-W-Toledo-St-Chandler-AZ-85225/8187411_zpid/
7383675,"8010 Wray Ct, Houston, TX 77088 ",193890.359375,189000,4890.359375,0.02587491732804237,https://www.zillow.com/homedetails/8010-Wray-Ct-Houston-TX-77088/28164906_zpid/
7415260,"6401 S 6th Ave, Phoenix, AZ 85041 ",173675.09375,169000,4675.09375,0.027663276627218902,https://www.zillow.com/homedetails/6401-S-6th-Ave-Phoenix-AZ-85041/7526005_zpid/
503618,"2007 N 78th Ave, Phoenix, AZ 85035 ",174374.875,170000,4374.875,0.025734558823529374,https://www.zillow.com/homedetails/2007-N-78th-Ave-Phoenix-AZ-85035/82823153_zpid/
124577,"13308 W Desert Glen Dr, Sun City West, AZ 85375 ",139293.28125,135000,4293.28125,0.03180208333333323,https://www.zillow.com/homedetails/13308-W-Desert-Glen-Dr-Sun-City-West-AZ-85375/8108588_zpid/
381364,"2949 W Myrtle Ave, Phoenix, AZ 85051 ",232125.765625,228000,4125.765625,0.018095463267543854,https://www.zillow.com/homedetails/2949-W-Myrtle-Ave-Phoenix-AZ-85051/7757225_zpid/
7450995,"12618 Newbrook Dr, Houston, TX 77072 ",61026.8984375,57000,4026.8984375,0.07064734100877201,https://www.zillow.com/homedetails/12618-Newbrook-Dr-Houston-TX-77072/28188910_zpid/
7471777,"218 N Delaware St, Chandler, AZ 85225 ",163699.171875,160000,3699.171875,0.02311982421875003,https://www.zillow.com/homedetails/218-N-Delaware-St-Chandler-AZ-85225/8187651_zpid/
1703196,"18614 N 132nd Ave, Sun City West, AZ 85375 ",218352.5625,215000,3352.5625,0.015593313953488286,https://www.zillow.com/homedetails/18614-N-132nd-Ave-Sun-City-West-AZ-85375/8108261_zpid/
7471672,"639 Scottsdale Dr, Vacaville, CA 95687 ",323309.53125,320000,3309.53125,0.01034228515625002,https://www.zillow.com/homedetails/639-Scottsdale-Dr-Vacaville-CA-95687/15715580_zpid/
7490921,"13235 Gaby Virbo Dr, Houston, TX 77083 ",142966.265625,140000,2966.265625,0.021187611607142776,https://www.zillow.com/homedetails/13235-Gaby-Virbo-Dr-Houston-TX-77083/28306612_zpid/
7441430,"6426 Little Pine Way, Las Vegas, NV 89108 ",108820.4453125,106000,2820.4453125,0.02660797464622644,https://www.zillow.com/homedetails/6426-Little-Pine-Way-Las-Vegas-NV-89108/6952528_zpid/
414304,"6331 W Garden Dr, Glendale, AZ 85304 ",244808.234375,242000,2808.234375,0.011604274276859394,https://www.zillow.com/homedetails/6331-W-Garden-Dr-Glendale-AZ-85304/7698817_zpid/
413976,"6220 W Shangri La Rd, Glendale, AZ 85304 ",242635.015625,239900,2735.015625,0.011400648707794891,https://www.zillow.com/homedetails/6220-W-Shangri-La-Rd-Glendale-AZ-85304/7698366_zpid/
7462220,"7611 Vernwood St, Houston, TX 77040 ",130334.2734375,127600,2734.2734375,0.021428475215517162,https://www.zillow.com/homedetails/7611-Vernwood-St-Houston-TX-77040/28185937_zpid/
941773,"6584 S 258th Dr, Buckeye, AZ 85326 ",172637.6875,170000,2637.6875,0.015515808823529431,https://www.zillow.com/homedetails/6584-S-258th-Dr-Buckeye-AZ-85326/81990063_zpid/
7463093,"5413 E Bellevue St, Tucson, AZ 85712 ",122578.609375,119952,2626.609375,0.021897170326463877,https://www.zillow.com/homedetails/5413-E-Bellevue-St-Tucson-AZ-85712/8494986_zpid/
7468628,"7671 Plunging Falls Dr, Las Vegas, NV 89131 ",289572.875,287000,2572.875,0.008964721254355323,https://www.zillow.com/homedetails/7671-Plunging-Falls-Dr-Las-Vegas-NV-89131/53362922_zpid/
7415927,"1207 Marin St, Vallejo, CA 94590 ",312540.375,310000,2540.375,0.008194758064516083,https://www.zillow.com/homedetails/1207-Marin-St-Vallejo-CA-94590/15657412_zpid/
634052,"1804 S Ash, Mesa, AZ 85202 ",262438.65625,260000,2438.65625,0.00937944711538452,https://www.zillow.com/homedetails/1804-S-Ash-Mesa-AZ-85202/8250547_zpid/
2533476,"18441 Glastonbury Rd, Detroit, MI 48219 ",72322.9296875,69900,2422.9296875,0.03466279953505014,https://www.zillow.com/homedetails/18441-Glastonbury-Rd-Detroit-MI-48219/88183187_zpid/
7469998,"18231 N Stonebrook Dr, Sun City West, AZ 85375 ",127368.0234375,125000,2368.0234375,0.018944187500000043,https://www.zillow.com/homedetails/18231-N-Stonebrook-Dr-Sun-City-West-AZ-85375/8108850_zpid/
7418043,"5438 E Albany St, Mesa, AZ 85205 ",137242.125,135000,2242.125,0.016608333333333336,https://www.zillow.com/homedetails/5438-E-Albany-St-Mesa-AZ-85205/7672700_zpid/
1179637,"1365 S Spartan St, Gilbert, AZ 85233 ",337233.78125,335000,2233.78125,0.006668003731343353,https://www.zillow.com/homedetails/1365-S-Spartan-St-Gilbert-AZ-85233/8180348_zpid/
398926,"915 W Mercer Ln, Phoenix, AZ 85029 ",159167.84375,157000,2167.84375,0.013807921974522186,https://www.zillow.com/homedetails/915-W-Mercer-Ln-Phoenix-AZ-85029/7785153_zpid/
7443016,"4846 W Windsor Ave, Phoenix, AZ 85035 ",154148.578125,152000,2148.578125,0.014135382401315733,https://www.zillow.com/homedetails/4846-W-Windsor-Ave-Phoenix-AZ-85035/7499019_zpid/
