,address,ypred,list,gain-loss,url,rent,cap rate
7431090,"103 Paseo Palencia, Sonoma, CA 95476 ",271019.6875,55000,216019.6875,https://www.zillow.com/homedetails/103-Paseo-Palencia-Sonoma-CA-95476/69033744_zpid/,1675.048095703125,0.3654650568181818
7417770,"1151 72nd Ave, Oakland, CA 94621 ",312327.875,99000,213327.875,https://www.zillow.com/homedetails/1151-72nd-Ave-Oakland-CA-94621/24795961_zpid/,1180.94921875,0.14314535984848484
7407175,"4470 Taft Ave, Richmond, CA 94804 ",323782.71875,124500,199282.71875,https://www.zillow.com/homedetails/4470-Taft-Ave-Richmond-CA-94804/18535202_zpid/,3465.764404296875,0.3340495732931727
7404496,"740 Treasure Dr, Bay Point, CA 94565 ",267857.4375,120000,147857.4375,https://www.zillow.com/homedetails/740-Treasure-Dr-Bay-Point-CA-94565/89037310_zpid/,3229.548095703125,0.32295481770833334
4864558,"1824 Lincoln Ave, Richmond, CA 94801 ",290574.625,150000,140574.625,https://www.zillow.com/homedetails/1824-Lincoln-Ave-Richmond-CA-94801/18543024_zpid/,11058.583984375,0.8846866666666666
7400398,"2531 Wallace St Oakland, CA 94606 ",389422.1875,250000,139422.1875,https://www.zillow.com/homedetails/2531-Wallace-St-Oakland-CA-94606/2095504109_zpid/,2883.89208984375,0.1384268125
7438015,"15991 Dam Rd, Clearlake, CA 95422 ",218503.65625,80000,138503.65625,https://www.zillow.com/homedetails/15991-Dam-Rd-Clearlake-CA-95422/19082208_zpid/,2599.681396484375,0.389952197265625
7407528,"2150 Monterey Rd # 10, San Jose, CA 95112 ",246741.609375,139999,106742.609375,https://www.zillow.com/homedetails/2150-Monterey-Rd-10-San-Jose-CA-95112/2095516318_zpid/,4025.783935546875,0.3450696522832306
4435804,"14630 Walnut Ave, Clearlake, CA 95422 ",251341.640625,168900,82441.640625,https://www.zillow.com/homedetails/14630-Walnut-Ave-Clearlake-CA-95422/64968038_zpid/,2426.649658203125,0.17240850725281232
7388068,"4141 Deep Creek Rd SPC 2, Fremont, CA 94555 ",180093.25,99950,80143.25,https://www.zillow.com/homedetails/4141-Deep-Creek-Rd-SPC-2-Fremont-CA-94555/2095653564_zpid/,4011.32373046875,0.4815996279389695
7381806,"464 Bryan Ave For Rent Only # 0, Sunnyvale, CA 94086 ",169560.390625,100000,69560.390625,http://www.zillow.com/homedetails/464-Bryan-Ave-For-Rent-Only-0-Sunnyvale-CA-94086/2095770139_zpid/,2916.818115234375,0.3500181640625
7429038,"1380 Contra Costa Ave, San Pablo, CA 94806 ",277485.15625,210000,67485.15625,https://www.zillow.com/homedetails/1380-Contra-Costa-Ave-San-Pablo-CA-94806/18513578_zpid/,3957.800048828125,0.22616000744047618
7391758,"467 Bahia Way, San Rafael, CA 94901 ",345826.0625,279000,66826.0625,https://www.zillow.com/homedetails/467-Bahia-Way-San-Rafael-CA-94901/19242893_zpid/,3560.994873046875,0.15316106630824372
4483341,"13940 Lakeshore Dr, Clearlake, CA 95422 ",188156.1875,129000,59156.1875,https://www.zillow.com/homedetails/13940-Lakeshore-Dr-Clearlake-CA-95422/19092561_zpid/,2595.91064453125,0.24148005995639535
4794445,"16116 8TH Ave, Clearlake, CA 95422 ",198761.578125,140000,58761.578125,https://www.zillow.com/homedetails/16116-8TH-Ave-Clearlake-CA-95422/19097011_zpid/,2677.0390625,0.22946049107142857
1953562,"304 Winnipeg Grn, Fremont, CA 94538 ",192952.703125,135000,57952.703125,https://www.zillow.com/homedetails/304-Winnipeg-Grn-Fremont-CA-94538/54790380_zpid/,2535.403564453125,0.22536921296296297
2019263,"210 Coughlan St, Vallejo, CA 94590 ",320357.15625,265000,55357.15625,https://www.zillow.com/homedetails/210-Coughlan-St-Vallejo-CA-94590/15652652_zpid/,3000.71923828125,0.13588163325471697
7434557,"467 Del Sur St, Vallejo, CA 94591 ",335013.125,280000,55013.125,https://www.zillow.com/homedetails/467-Del-Sur-St-Vallejo-CA-94591/15673032_zpid/,1853.3333740234375,0.07942857142857143
7417284,"9 Adobe Ln, Calistoga, CA 94515 ",214431.484375,159900,54531.484375,https://www.zillow.com/homedetails/9-Adobe-Ln-Calistoga-CA-94515/2095258748_zpid/,2030.2265625,0.1523622185741088
4308503,"2491 Harness Dr, Pope Valley, CA 94567 ",280029.375,233027,47002.375,https://www.zillow.com/homedetails/2491-Harness-Dr-Pope-Valley-CA-94567/19401857_zpid/,3334.88916015625,0.17173405603213363
7424227,"233 Kelly Dr, Novato, CA 94949 ",296360.0,251642,44718.0,https://www.zillow.com/homedetails/233-Kelly-Dr-Novato-CA-94949/68564716_zpid/,1745.77587890625,0.08325045321081138
