property_id,transaction_log_id,id,address,neighborhood,bedrooms,bathrooms,sqft,source,origin_url,created_at,updated_at,latitude,longitude,elevation,lookup_address,id_1,price,transaction_status,date_listed,date_closed,days_on_market,created_at_1,updated_at_1,property_id_1,transaction_type
1,1,1,65 Roan Place,Other (Woodside),4,3,3500,climbsf_rented,http://www.climbsf.com/for-rent/65-roan-pl/,2015-08-23 20:28:32,2015-08-23 20:28:32,37.4299,-122.254,117.161,"65 Roan Place, Other (Woodside)",1,10500,closed,,2015-08-18,,2015-08-23 20:29:08,2015-08-23 20:29:08,1,rental
2,2,2,166 Salada Avenue,Peninsula (Pacifica),2,2,993,climbsf_rented,http://www.climbsf.com/for-rent/salada-avenue-pacifica/,2015-08-23 20:28:32,2015-08-23 20:28:32,37.6344,-122.491,13.0389,"166 Salada Avenue,  ",2,2400,closed,,2013-07-16,,2015-08-23 20:29:08,2015-08-23 20:29:08,2,rental
3,3,3,1500 Park Avenue #105,East Bay (Emeryville),1,1,1300,climbsf_rented,http://www.climbsf.com/for-rent/1500-park-ave-105/,2015-08-23 20:28:32,2015-08-23 20:28:32,37.8311,-122.29,3.49772,"1500 Park Avenue #105,  (Emeryville)",3,2300,closed,,2013-05-20,,2015-08-23 20:29:08,2015-08-23 20:29:08,3,rental
4,4,4,1201 Pine Street #257,East Bay (West Oakland),1,1,815,climbsf_rented,http://www.climbsf.com/for-rent/1201-pine-st-257/,2015-08-23 20:28:32,2015-08-23 20:28:32,37.8125,-122.3,3.7537,"1201 Pine Street #257,  (West Oakland)",4,2200,closed,,2013-06-25,,2015-08-23 20:29:09,2015-08-23 20:29:09,4,rental
5,5,5,1523 Brunswig Lane,East Bay (Emeryville),2,1,745,climbsf_rented,http://www.climbsf.com/for-rent/1523-brunswig-lane/,2015-08-23 20:28:32,2015-08-23 20:28:32,37.8352,-122.293,3.71013,"1523 Brunswig Lane,  (Emeryville)",5,2500,closed,,2013-07-30,,2015-08-23 20:29:09,2015-08-23 20:29:09,5,rental
6,6,6,1201 Pine Street #132,East Bay (Oakland),1,1,1072,climbsf_rented,http://www.climbsf.com/for-rent/1201-pine-street-132/,2015-08-23 20:28:32,2015-08-23 20:28:32,37.8125,-122.3,3.7537,"1201 Pine Street #132,  (Oakland)",6,1950,closed,,2014-01-28,,2015-08-23 20:29:09,2015-08-23 20:29:09,6,rental
7,7,7,1511 Jefferson Street #PH8,East Bay (Oakland),1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/1511-jefferson-st-ph8/,2015-08-23 20:28:32,2015-08-23 20:28:32,37.8044,-122.271,13.0275,"1511 Jefferson Street #PH8,  (Oakland)",7,1900,closed,,2014-02-10,,2015-08-23 20:29:09,2015-08-23 20:29:09,7,rental
8,8,8,1463 34th Street,East Bay (Emeryville),2,1,760,climbsf_rented,http://www.climbsf.com/for-rent/1463-34th-st/,2015-08-23 20:28:33,2015-08-23 20:28:33,37.8254,-122.285,5.14154,"1463 34th Street,  (Emeryville)",8,2300,closed,,2014-02-11,,2015-08-23 20:29:09,2015-08-23 20:29:09,8,rental
9,9,9,6400 Christie Avenue #3406,East Bay (Emeryville),0,1,565,climbsf_rented,http://www.climbsf.com/for-rent/6400-christie-ave-3406/,2015-08-23 20:28:33,2015-08-23 20:28:33,37.8451,-122.295,5.49469,"6400 Christie Avenue #3406,  (Emeryville)",9,1750,closed,,2014-02-11,,2015-08-23 20:29:09,2015-08-23 20:29:09,9,rental
10,10,10,1511 Jefferson Street #203,East Bay (Downtown Oakland),2,2,1200,climbsf_rented,http://www.climbsf.com/for-rent/1511-jefferson-st-203/,2015-08-23 20:28:33,2015-08-23 20:28:33,37.8069,-122.274,11.9109,"1511 Jefferson Street #203,  (Downtown Oakland)",10,2300,closed,,2014-03-04,,2015-08-23 20:29:09,2015-08-23 20:29:09,10,rental
11,11,11,372 Hudson Street,East Bay (Oakland),2,1,1254,climbsf_rented,http://www.climbsf.com/for-rent/372-hudson-st/,2015-08-23 20:28:33,2015-08-23 20:28:33,37.8407,-122.252,47.2986,"372 Hudson Street,  (Oakland)",11,3700,closed,,2014-05-06,,2015-08-23 20:29:09,2015-08-23 20:29:09,11,rental
12,12,12,4234 Halleck Street,East Bay (Emeryville),1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/4234-halleck-st/,2015-08-23 20:28:33,2015-08-23 20:28:33,37.8311,-122.29,3.43209,"4234 Halleck Street,  (Emeryville)",12,2600,closed,,2014-06-11,,2015-08-23 20:29:09,2015-08-23 20:29:09,12,rental
13,13,13,6501 San Pablo Avenue #205,East Bay (Emeryville),1,1,910,climbsf_rented,http://www.climbsf.com/for-rent/6501-san-pablo-ave-205/,2015-08-23 20:28:33,2015-08-23 20:28:33,37.8482,-122.286,13.1691,"6501 San Pablo Avenue #205,  (Emeryville)",13,2550,closed,,2014-07-15,,2015-08-23 20:29:09,2015-08-23 20:29:09,13,rental
14,14,14,630 Thomas L. Berkley Way #301,East Bay (Oakland),1,1,803,climbsf_rented,http://www.climbsf.com/for-rent/630-thomas-l-berkley-way-301/,2015-08-23 20:28:34,2015-08-23 20:28:34,37.8102,-122.272,8.54661,"630 Thomas L. Berkley Way #301,  (Oakland)",14,2550,closed,,2014-07-25,,2015-08-23 20:29:09,2015-08-23 20:29:09,14,rental
15,15,15,1026 Aileen Street,East Bay (Emeryville),3,2,1450,climbsf_rented,http://www.climbsf.com/for-rent/1026-aileen-st/,2015-08-23 20:28:34,2015-08-23 20:28:34,37.8404,-122.279,16.0931,"1026 Aileen Street,  (Emeryville)",15,3450,closed,,2014-09-04,,2015-08-23 20:29:09,2015-08-23 20:29:09,15,rental
16,16,16,1804 62nd Street #6,East Bay (Berkeley),0,1,600,climbsf_rented,http://www.climbsf.com/for-rent/1804-62nd-st-6/,2015-08-23 20:28:34,2015-08-23 20:28:34,37.8468,-122.271,29.1631,"1804 62nd Street #6,  (Berkeley)",16,1600,closed,,2014-10-08,,2015-08-23 20:29:09,2015-08-23 20:29:09,16,rental
17,17,17,1804 62nd Street #4,East Bay (Berkeley),1,1,700,climbsf_rented,http://www.climbsf.com/for-rent/1804-62nd-st-4/,2015-08-23 20:28:34,2015-08-23 20:28:34,37.8468,-122.271,29.1631,"1804 62nd Street #4,  (Berkeley)",17,2200,closed,,2014-10-14,,2015-08-23 20:29:09,2015-08-23 20:29:09,17,rental
18,18,18,1804 62nd Street #3,East Bay (Berkeley),0,1,600,climbsf_rented,http://www.climbsf.com/for-rent/1804-62nd-st-3/,2015-08-23 20:28:34,2015-08-23 20:28:34,37.8468,-122.271,29.1631,"1804 62nd Street #3,  (Berkeley)",18,1700,closed,,2014-10-28,,2015-08-23 20:29:09,2015-08-23 20:29:09,18,rental
19,19,19,1804 62nd Street #1,East Bay (Berkeley),1,1,700,climbsf_rented,http://www.climbsf.com/for-rent/1804-62nd-st-1/,2015-08-23 20:28:34,2015-08-23 20:28:34,,,,"1804 62nd Street #1,  (Berkeley)",19,1850,closed,,2014-11-08,,2015-08-23 20:29:09,2015-08-23 20:29:09,19,rental
20,20,20,311 Oak Street #306,East Bay (Oakland),2,2,1700,climbsf_rented,http://www.climbsf.com/for-rent/311-oak-st-306/,2015-08-23 20:28:34,2015-08-23 20:28:34,,,,"311 Oak Street #306,  (Oakland)",20,3400,closed,,2014-12-31,,2015-08-23 20:29:09,2015-08-23 20:29:09,20,rental
