id,address,neighborhood,bedrooms,bathrooms,sqft,source,origin_url,created_at,updated_at,latitude,longitude,elevation,lookup_address,id_1,property_id,property_transaction_log_id,transaction_type,created_at_1,updated_at_1,id_2,price,transaction_status,date_listed,date_closed,days_on_market,created_at_2,updated_at_2,property_id_1,transaction_type_1,id_3,property_id_2,neighborhood_id,created_at_3,updated_at_3,id_4,name,source_1,max_latitude,min_latitude,max_longitude,min_longitude,created_at_4,updated_at_4
150,814 Hayes Street #2,San Francisco (Hayes Valley),3,2,1200,climbsf_rented,http://www.climbsf.com/for-rent/814-hayes-st-2/,2015-08-23 20:28:48,2015-08-28 15:31:25,37.7762,-122.43,42.1639,"814 Hayes Street #2, San Francisco (Hayes Valley)",150,150,150,rental,2015-08-23 20:29:16,2015-08-23 20:29:16,150,5000,closed,,2014-04-09,,2015-08-23 20:29:16,2015-08-23 20:29:16,150,rental,113,150,1,2015-09-08 16:06:33,2015-09-08 16:06:33,1,Alamo Square,,37.7793,37.774,-122.429,-122.439,2015-09-07 23:52:07,2015-09-08 00:22:29
504,"Mcallister St San Francisco, CA 94115",,4,2,1700,zillow_sf,http://www.zillow.com/homedetails/Mcallister-St-San-Francisco-CA-94115/2103514323_zpid/,2015-08-23 20:31:26,2015-08-23 20:31:26,37.7781,-122.436,60.9689,"Mcallister St San Francisco, CA 94115, ",432,504,504,rental,2015-08-23 20:31:40,2015-08-23 20:31:40,504,8900,open,2015-02-08,,,2015-08-23 20:31:40,2015-08-23 20:31:40,504,rental,464,504,1,2015-09-08 16:10:24,2015-09-08 16:10:24,1,Alamo Square,,37.7793,37.774,-122.429,-122.439,2015-09-07 23:52:07,2015-09-08 00:22:29
507,"Mcallister St San Francisco, CA 94115",,2,1,1150,zillow_sf,http://www.zillow.com/homedetails/Mcallister-St-San-Francisco-CA-94115/2103241785_zpid/,2015-08-23 20:31:26,2015-08-28 15:33:18,37.7781,-122.436,60.9689,"Mcallister St San Francisco, CA 94115, ",435,507,507,rental,2015-08-23 20:31:40,2015-08-23 20:31:40,507,5900,open,2015-02-23,,,2015-08-23 20:31:40,2015-08-23 20:31:40,507,rental,467,507,1,2015-09-08 16:10:26,2015-09-08 16:10:26,1,Alamo Square,,37.7793,37.774,-122.429,-122.439,2015-09-07 23:52:07,2015-09-08 00:22:29
1602,"1301 Fulton St APT 207, San Francisco, CA 94117",North Panhandle,2,1,925,zillow_sf,http://www.zillow.com/homedetails/1301-Fulton-St-APT-207-San-Francisco-CA-94117/15085639_zpid/,2015-09-09 03:04:58,2015-09-09 03:04:58,37.7767,-122.439,63.588,"1301 Fulton St APT 207, San Francisco, CA 94117, North Panhandle",887,1602,2705,rental,2015-09-09 03:06:04,2015-09-09 03:06:04,2705,3800,open,2015-09-01,,,2015-09-09 03:06:04,2015-09-09 03:06:04,1602,rental,683,1602,1,2015-09-09 03:04:58,2015-09-09 03:04:58,1,Alamo Square,,37.7793,37.774,-122.429,-122.439,2015-09-07 23:52:07,2015-09-08 00:22:29
572,"Anzavista Ave San Francisco, CA 94115",,0,1,750,zillow_sf,http://www.zillow.com/homedetails/Anzavista-Ave-San-Francisco-CA-94115/2101488152_zpid/,2015-08-23 20:31:32,2015-08-23 20:31:32,37.7796,-122.444,106.346,"Anzavista Ave San Francisco, CA 94115, ",499,572,572,rental,2015-08-23 20:31:43,2015-08-23 20:31:43,572,2295,open,2015-08-05,,,2015-08-23 20:31:43,2015-08-23 20:31:43,572,rental,532,572,2,2015-09-08 16:11:06,2015-09-08 16:11:06,2,Anza Vista,,37.7833,37.7787,-122.439,-122.448,2015-09-07 23:52:27,2015-09-08 00:22:49
1324,"1040 Broderick St, San Francisco, CA 94115",Anza Vista,2,2,1218,zillow_sf,http://www.zillow.com/homedetails/1040-Broderick-St-San-Francisco-CA-94115/15084398_zpid/,2015-08-27 08:46:39,2015-08-27 08:46:39,37.7801,-122.44,77.4644,"1040 Broderick St, San Francisco, CA 94115, Anza Vista",755,1324,2016,rental,2015-08-27 08:47:20,2015-08-27 08:47:20,2016,9500,open,2015-08-26,,,2015-08-27 08:47:20,2015-08-27 08:47:20,1324,rental,615,1324,2,2015-09-08 16:12:57,2015-09-08 16:12:57,2,Anza Vista,,37.7833,37.7787,-122.439,-122.448,2015-09-07 23:52:27,2015-09-08 00:22:49
212,5800 Third Street #1109,San Francisco (Bayview),3,3,1500,climbsf_rented,http://www.climbsf.com/for-rent/5800-3rd-st-1109/,2015-08-23 20:28:53,2015-08-23 20:28:53,37.7253,-122.395,7.88801,"5800 Third Street #1109, San Francisco (Bayview)",212,212,212,rental,2015-08-23 20:29:19,2015-08-23 20:29:19,212,4500,closed,,2014-09-30,,2015-08-23 20:29:18,2015-08-23 20:29:18,212,rental,175,212,4,2015-09-08 16:07:14,2015-09-08 16:07:14,4,Bayview,,37.7503,37.7147,-122.378,-122.408,2015-09-07 23:53:08,2015-09-08 00:34:53
252,5800 Third Street #1204,San Francisco (Bayview),3,2,1309,climbsf_rented,http://www.climbsf.com/for-rent/5800-3rd-st-1204/,2015-08-23 20:28:57,2015-08-28 15:32:03,37.7253,-122.395,7.88801,"5800 Third Street #1204, San Francisco (Bayview)",252,252,252,rental,2015-08-23 20:29:20,2015-08-23 20:29:20,252,3900,closed,,2014-12-31,,2015-08-23 20:29:20,2015-08-23 20:29:20,252,rental,215,252,4,2015-09-08 16:07:40,2015-09-08 16:07:40,4,Bayview,,37.7503,37.7147,-122.378,-122.408,2015-09-07 23:53:08,2015-09-08 00:34:53
359,1766 Oakdale Avenue,San Francisco (Bayview),2,2,1286,climbsf_rented,http://www.climbsf.com/for-rent/1766-oakdale-ave/,2015-08-23 20:29:07,2015-08-28 15:32:37,37.7366,-122.393,16.1859,"1766 Oakdale Avenue, San Francisco (Bayview)",359,359,359,rental,2015-08-23 20:29:25,2015-08-23 20:29:25,359,0,closed,,2015-07-21,,2015-08-23 20:29:25,2015-08-23 20:29:25,359,rental,322,359,4,2015-09-08 16:08:53,2015-09-08 16:08:53,4,Bayview,,37.7503,37.7147,-122.378,-122.408,2015-09-07 23:53:08,2015-09-08 00:34:53
381,5800 Third Street #1411,San Francisco (Bayview),1,1,817,climbsf_renting,http://www.climbsf.com/for-rent/5800-3rd-st-1411/,2015-08-23 20:30:03,2015-08-23 20:30:03,37.7253,-122.395,7.88801,"5800 Third Street #1411, San Francisco (Bayview)",381,381,381,rental,2015-08-23 20:30:06,2015-08-23 20:30:06,381,2900,closed,2015-08-23,2015-08-26,0,2015-08-23 20:30:06,2015-09-09 03:04:24,381,rental,341,381,4,2015-09-08 16:09:06,2015-09-08 16:09:06,4,Bayview,,37.7503,37.7147,-122.378,-122.408,2015-09-07 23:53:08,2015-09-08 00:34:53
