address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid
814 Hayes Street #2,3,2,1200,climbsf_rented,http://www.climbsf.com/for-rent/814-hayes-st-2/,-122.43,37.7762,42.1639,rental,5000,closed,,2014-04-09,,Alamo Square,1
"Mcallister St San Francisco, CA 94115",4,2,1700,zillow_sf,http://www.zillow.com/homedetails/Mcallister-St-San-Francisco-CA-94115/2103514323_zpid/,-122.436,37.7781,60.9689,rental,8900,open,,,2015-02-08,Alamo Square,1
"Mcallister St San Francisco, CA 94115",2,1,1150,zillow_sf,http://www.zillow.com/homedetails/Mcallister-St-San-Francisco-CA-94115/2103241785_zpid/,-122.436,37.7781,60.9689,rental,5900,open,,,2015-02-23,Alamo Square,1
"1301 Fulton St APT 207, San Francisco, CA 94117",2,1,925,zillow_sf,http://www.zillow.com/homedetails/1301-Fulton-St-APT-207-San-Francisco-CA-94117/15085639_zpid/,-122.439,37.7767,63.588,rental,3800,open,,,2015-09-01,Alamo Square,1
"Anzavista Ave San Francisco, CA 94115",0,1,750,zillow_sf,http://www.zillow.com/homedetails/Anzavista-Ave-San-Francisco-CA-94115/2101488152_zpid/,-122.444,37.7796,106.346,rental,2295,open,,,2015-08-05,Anza Vista,2
"1040 Broderick St, San Francisco, CA 94115",2,2,1218,zillow_sf,http://www.zillow.com/homedetails/1040-Broderick-St-San-Francisco-CA-94115/15084398_zpid/,-122.44,37.7801,77.4644,rental,9500,open,,,2015-08-26,Anza Vista,2
"2103 Ellis St, San Francisco, CA 94115",2,1,0,zillow_sf,http://www.zillow.com/homedetails/2103-Ellis-St-San-Francisco-CA-94115/2118311375_zpid/,-122.441,37.7813,67.5664,rental,4999,open,,,2015-09-17,Anza Vista,2
"1180 Broderick St APT 304, San Francisco, CA 94115",2,2,1500,zillow_sf,http://www.zillow.com/homedetails/1180-Broderick-St-APT-304-San-Francisco-CA-94115/2101163514_zpid/,-122.441,37.7809,72.9697,rental,6500,open,,,2015-09-10,Anza Vista,2
5800 Third Street #1109,3,3,1500,climbsf_rented,http://www.climbsf.com/for-rent/5800-3rd-st-1109/,-122.395,37.7253,7.88801,rental,4500,closed,,2014-09-30,,Bayview,4
5800 Third Street #1204,3,2,1309,climbsf_rented,http://www.climbsf.com/for-rent/5800-3rd-st-1204/,-122.395,37.7253,7.88801,rental,3900,closed,,2014-12-31,,Bayview,4
