,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,price,date_closed,date_listed,neighborhood,error,predicted_price
404,"Chestnut St San Francisco, CA 94133",2,2,1215,zillow_sf,http://www.zillow.com/homedetails/Chestnut-St-San-Francisco-CA-94133/2101543211_zpid/,-122.411,1975,,2015-08-07,North Beach,3684.22137548,5659.22137548
74,"1177 California St, San Francisco, CA 94108",2,2,1640,zillow_sf,http://www.zillow.com/homedetails/1177-California-St-San-Francisco-CA-94108/2105667673_zpid/,-122.414,2400,,2015-03-19,Downtown,3104.65936491,5504.65936491
190,"60 Cragmont Ave, San Francisco, CA 94116",3,3,2300,zillow_sf,http://www.zillow.com/homedetails/60-Cragmont-Ave-San-Francisco-CA-94116/15115394_zpid/,-122.467,3400,,2014-11-29,Golden Gate Heights,2561.33552631,5961.33552631
514,"Missouri St San Francisco, CA 94107",1,1,1284,zillow_sf,http://www.zillow.com/homedetails/Missouri-St-San-Francisco-CA-94107/2101340735_zpid/,-122.396,2200,,2015-08-21,Potrero Hill,2533.44509222,4733.44509222
806,"1267 Sunnydale Ave, San Francisco, CA 94134",1,1,1725,zillow_sf,http://www.zillow.com/homedetails/1267-Sunnydale-Ave-San-Francisco-CA-94134/15176756_zpid/,-122.414,1100,,2015-05-09,Visitacion Valley,2500.99008863,3600.99008863
371,682 28th Street,2,2,2300,climbsf_rented,http://www.climbsf.com/for-rent/682-28th-st/,-122.437,4500,2013-03-19,,Noe Valley,2448.00524404,6948.00524404
510,"Missouri St San Francisco, CA 94107",1,1,1284,zillow_sf,http://www.zillow.com/homedetails/Missouri-St-San-Francisco-CA-94107/2101340737_zpid/,-122.396,2400,,2015-08-21,Potrero Hill,2333.44509222,4733.44509222
541,"Lombard St San Francisco, CA 94111",2,2,1705,zillow_sf,http://www.zillow.com/homedetails/Lombard-St-San-Francisco-CA-94111/2101967476_zpid/,-122.419,4995,,2015-09-10,Russian Hill,2211.02830613,7206.02830613
15,723 Ellsworth Street,3,2,1750,climbsf_rented,http://www.climbsf.com/for-rent/723-ellsworth-st/,-122.415,3450,2013-10-22,,Bernal Heights,2101.21781068,5551.21781068
429,"Shakespeare St San Francisco, CA 94112",3,2,121,zillow_sf,http://www.zillow.com/homedetails/Shakespeare-St-San-Francisco-CA-94112/2128811723_zpid/,-122.464,945,,2015-05-19,Outer Mission,2040.63721901,2985.63721901
784,567 Vallejo Street #301,3,3,2400,climbsf_rented,http://www.climbsf.com/for-rent/567-vallejo-st-301/,-122.407,6950,2014-11-10,,Telegraph Hill,2021.60532732,8971.60532732
350,"435 China Basin St, San Francisco, CA 94158",2,2,1593,zillow_sf,http://www.zillow.com/homedetails/435-China-Basin-St-San-Francisco-CA-94158/2115710005_zpid/,-122.389,2000,,2012-11-30,Mission Bay,1920.66057167,3920.66057167
217,"185 Franklin St, San Francisco, CA 94102",2,1,900,zillow_sf,http://www.zillow.com/homedetails/185-Franklin-St-San-Francisco-CA-94102/2101118127_zpid/,-122.421,3200,,2015-09-26,Hayes Valley,1742.01467152,4942.01467152
434,"2247 44th Ave, San Francisco, CA 94116",4,3,196,zillow_sf,http://www.zillow.com/homedetails/2247-44th-Ave-San-Francisco-CA-94116/15118571_zpid/,-122.503,1650,,2015-08-21,Outer Parkside,1701.55834441,3351.55834441
552,"2555 Phelps St, San Francisco, CA 94124",2,1,2300,zillow_sf,http://www.zillow.com/homedetails/2555-Phelps-St-San-Francisco-CA-94124/2126210985_zpid/,-122.4,3600,,2013-02-15,Silver Terrace,1651.10623626,5251.10623626
292,3156 Turk Street #A,4,2,2100,climbsf_rented,http://www.climbsf.com/for-rent/3156-turk-st-a/,-122.458,5000,2013-08-09,,Lone Mountain,1641.72358674,6641.72358674
16,501 Crescent Way #5107,2,2,1057,climbsf_rented,http://www.climbsf.com/for-rent/501-crescent-way-5107/,-122.416,2800,2014-06-02,,Bernal Heights,1623.7730835,4423.7730835
257,"730 Florida St, San Francisco, CA 94110",2,3,1590,zillow_sf,http://www.zillow.com/homedetails/730-Florida-St-San-Francisco-CA-94110/2101707211_zpid/,-122.411,5000,,2015-08-14,Inner Mission,1559.67483723,6559.67483723
795,720 Gough Street #45,2,2,1316,climbsf_rented,http://www.climbsf.com/for-rent/720-gough-st-45/,-122.423,3975,2015-05-15,,Van Ness/Civic Center,1487.74765141,5462.74765141
