,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,price,date_closed,date_listed,neighborhood,error,predicted_price
434,"Chestnut St San Francisco, CA 94133",2,2,1215,zillow_sf,http://www.zillow.com/homedetails/Chestnut-St-San-Francisco-CA-94133/2101543211_zpid/,-122.411,37.8041,1975,,2015-08-07,North Beach,3527.24899058,5502.24899058
83,"1177 California St, San Francisco, CA 94108",2,2,1640,zillow_sf,http://www.zillow.com/homedetails/1177-California-St-San-Francisco-CA-94108/2105667673_zpid/,-122.414,37.791,2400,,2015-03-19,Downtown,3235.20421658,5635.20421658
208,"60 Cragmont Ave, San Francisco, CA 94116",3,3,2300,zillow_sf,http://www.zillow.com/homedetails/60-Cragmont-Ave-San-Francisco-CA-94116/15115394_zpid/,-122.467,37.7502,3400,,2014-11-29,Golden Gate Heights,2923.12012838,6323.12012838
400,682 28th Street,2,2,2300,climbsf_rented,http://www.climbsf.com/for-rent/682-28th-st/,-122.437,37.7449,4500,2013-03-19,,Noe Valley,2428.77086118,6928.77086118
556,"Missouri St San Francisco, CA 94107",1,1,1284,zillow_sf,http://www.zillow.com/homedetails/Missouri-St-San-Francisco-CA-94107/2101340735_zpid/,-122.396,37.7583,2200,,2015-08-21,Potrero Hill,2409.84043698,4609.84043698
865,"1267 Sunnydale Ave, San Francisco, CA 94134",1,1,1725,zillow_sf,http://www.zillow.com/homedetails/1267-Sunnydale-Ave-San-Francisco-CA-94134/15176756_zpid/,-122.414,37.7112,1100,,2015-05-09,Visitacion Valley,2403.19348048,3503.19348048
552,"Missouri St San Francisco, CA 94107",1,1,1284,zillow_sf,http://www.zillow.com/homedetails/Missouri-St-San-Francisco-CA-94107/2101340737_zpid/,-122.396,37.7583,2400,,2015-08-21,Potrero Hill,2209.84043698,4609.84043698
585,"Lombard St San Francisco, CA 94111",2,2,1705,zillow_sf,http://www.zillow.com/homedetails/Lombard-St-San-Francisco-CA-94111/2101967476_zpid/,-122.419,37.8021,4995,,2015-09-10,Russian Hill,2123.96223155,7118.96223155
18,723 Ellsworth Street,3,2,1750,climbsf_rented,http://www.climbsf.com/for-rent/723-ellsworth-st/,-122.415,37.7343,3450,2013-10-22,,Bernal Heights,2101.38197902,5551.38197902
840,567 Vallejo Street #301,3,3,2400,climbsf_rented,http://www.climbsf.com/for-rent/567-vallejo-st-301/,-122.407,37.7987,6950,2014-11-10,,Telegraph Hill,2059.04660173,9009.04660173
379,"435 China Basin St, San Francisco, CA 94158",2,2,1593,zillow_sf,http://www.zillow.com/homedetails/435-China-Basin-St-San-Francisco-CA-94158/2115710005_zpid/,-122.389,37.7716,2000,,2012-11-30,Mission Bay,2018.51744807,4018.51744807
460,"Shakespeare St San Francisco, CA 94112",3,2,121,zillow_sf,http://www.zillow.com/homedetails/Shakespeare-St-San-Francisco-CA-94112/2128811723_zpid/,-122.464,37.7089,945,,2015-05-19,Outer Mission,1919.6836114,2864.6836114
461,"188 Goethe St, San Francisco, CA 94112",2,1,950,zillow_sf,http://www.zillow.com/homedetails/188-Goethe-St-San-Francisco-CA-94112/15196066_zpid/,-122.46,37.7095,2800,,2015-10-01,Outer Mission,1909.95827613,4709.95827613
236,"185 Franklin St, San Francisco, CA 94102",2,1,900,zillow_sf,http://www.zillow.com/homedetails/185-Franklin-St-San-Francisco-CA-94102/2101118127_zpid/,-122.421,37.7758,3200,2015-10-03,2015-09-28,Hayes Valley,1706.63753988,4906.63753988
598,"2555 Phelps St, San Francisco, CA 94124",2,1,2300,zillow_sf,http://www.zillow.com/homedetails/2555-Phelps-St-San-Francisco-CA-94124/2126210985_zpid/,-122.4,37.7294,3600,,2013-02-15,Silver Terrace,1650.00133008,5250.00133008
124,"587 London St, San Francisco, CA 94112",4,2,1530,zillow_sf,http://www.zillow.com/homedetails/587-London-St-San-Francisco-CA-94112/15174550_zpid/,-122.437,37.7197,3800,,2015-09-29,Excelsior,1640.51086019,5440.51086019
466,"2247 44th Ave, San Francisco, CA 94116",4,3,196,zillow_sf,http://www.zillow.com/homedetails/2247-44th-Ave-San-Francisco-CA-94116/15118571_zpid/,-122.503,37.7447,1650,,2015-08-21,Outer Parkside,1610.98465306,3260.98465306
318,3156 Turk Street #A,4,2,2100,climbsf_rented,http://www.climbsf.com/for-rent/3156-turk-st-a/,-122.458,37.7776,5000,2013-08-09,,Lone Mountain,1606.16052548,6606.16052548
19,501 Crescent Way #5107,2,2,1057,climbsf_rented,http://www.climbsf.com/for-rent/501-crescent-way-5107/,-122.416,37.735,2800,2014-06-02,,Bernal Heights,1574.1637324,4374.1637324
278,"730 Florida St, San Francisco, CA 94110",2,3,1590,zillow_sf,http://www.zillow.com/homedetails/730-Florida-St-San-Francisco-CA-94110/2101707211_zpid/,-122.411,37.7599,5000,,2015-08-14,Inner Mission,1550.12825451,6550.12825451
