property_id,transaction_log_id,id,address,neighborhood,bedrooms,bathrooms,sqft,source,origin_url,created_at,updated_at,latitude,longitude,elevation,lookup_address,luxurious,garage,year_built,level,id_1,price,transaction_status,date_listed,date_closed,days_on_market,created_at_1,updated_at_1,property_id_1,transaction_type
407,8138,407,"1030 Le Conte Ave, San Francisco, CA 94124",Bayview,4,3,2200,zillow_sf,http://www.zillow.com/homedetails/1030-Le-Conte-Ave-San-Francisco-CA-94124/15155078_zpid/,2015-08-23 20:31:18,2015-08-23 20:31:18,37.7188,-122.397,38.534,"1030 Le Conte Ave, San Francisco, CA 94124, Bayview",,1,1988,1,8138,209500,closed,,2015-10-03,,2015-10-03 02:17:38,2015-10-03 02:17:38,407,sales
409,1836,409,"1 Greenview Ct, San Francisco, CA 94131",Midtown Terrace,4,2,1436,zillow_sf,http://www.zillow.com/homedetails/1-Greenview-Ct-San-Francisco-CA-94131/15131290_zpid/,2015-08-23 20:31:18,2015-08-23 20:31:18,37.7532,-122.452,189.881,"1 Greenview Ct, San Francisco, CA 94131, Midtown Terrace",,0,1957,1,1836,689000,closed,2011-10-22,2015-10-07,1446,2015-08-27 08:46:45,2015-10-07 02:05:10,409,sales
412,12721,412,"840 Sloat Blvd, San Francisco, CA 94132",Pine Lake Park,3,2,1923,zillow_sf,http://www.zillow.com/homedetails/840-Sloat-Blvd-San-Francisco-CA-94132/15126499_zpid/,2015-08-23 20:31:19,2015-08-23 20:31:19,37.7361,-122.484,22.8127,"840 Sloat Blvd, San Francisco, CA 94132, Pine Lake Park",,0,1941,1,12721,140000,closed,,2015-10-07,,2015-10-07 02:05:10,2015-10-07 02:05:10,412,sales
413,15320,413,"276 Edgewood Ave, San Francisco, CA 94117",Parnassus - Ashbury,4,4,2800,zillow_sf,http://www.zillow.com/homedetails/276-Edgewood-Ave-San-Francisco-CA-94117/15128055_zpid/,2015-08-23 20:31:19,2015-08-23 20:31:19,37.7612,-122.455,167.792,"276 Edgewood Ave, San Francisco, CA 94117, Parnassus - Ashbury",,,,1,15320,910000,closed,,2015-10-09,,2015-10-09 02:09:41,2015-10-09 02:09:41,413,sales
415,12722,415,"242 Moscow St, San Francisco, CA 94112",Excelsior,3,2,1025,zillow_sf,http://www.zillow.com/homedetails/242-Moscow-St-San-Francisco-CA-94112/15169105_zpid/,2015-08-23 20:31:19,2015-09-09 03:05:09,37.7238,-122.426,138.19,"242 Moscow St, San Francisco, CA 94112, Excelsior",,0,1949,1,12722,175000,closed,,2015-10-07,,2015-10-07 02:05:11,2015-10-07 02:05:11,415,sales
420,4943,420,"2247 Turk Blvd, San Francisco, CA 94118",North Panhandle,3,2,1750,zillow_sf,http://www.zillow.com/homedetails/2247-Turk-Blvd-San-Francisco-CA-94118/15084910_zpid/,2015-08-23 20:31:20,2015-08-23 20:31:20,37.7784,-122.446,87.8515,"2247 Turk Blvd, San Francisco, CA 94118, North Panhandle",,1,1996,1,4943,5900,closed,2015-09-18,2015-10-07,19,2015-09-27 06:42:18,2015-10-07 02:05:11,420,sales
421,5030,421,"2201 Sacramento St PH 601, San Francisco, CA 94115",Pacific Heights,2,2,1498,zillow_sf,http://www.zillow.com/homedetails/2201-Sacramento-St-PH-601-San-Francisco-CA-94115/15074728_zpid/,2015-08-23 20:31:20,2015-08-23 20:31:20,37.7925,-122.438,91.9031,"2201 Sacramento St PH 601, San Francisco, CA 94115, Pacific Heights",,,,1,5030,5500,open,2015-09-24,,,2015-09-27 06:42:22,2015-09-27 06:42:22,421,sales
422,8141,422,"400 Avila St APT 306, San Francisco, CA 94123",Marina,2,1,758,zillow_sf,http://www.zillow.com/homedetails/400-Avila-St-APT-306-San-Francisco-CA-94123/15069915_zpid/,2015-08-23 20:31:20,2015-10-11 22:37:06,37.805,-122.441,6.82622,"400 Avila St APT 306, San Francisco, CA 94123, Marina",,1,1991,3,8141,257500,closed,,2015-10-03,,2015-10-03 02:17:38,2015-10-03 02:17:38,422,sales
423,4946,423,"3317 Washington St, San Francisco, CA 94118",Presidio Heights,4,3,4998,zillow_sf,http://www.zillow.com/homedetails/3317-Washington-St-San-Francisco-CA-94118/15081817_zpid/,2015-08-23 20:31:20,2015-09-19 19:03:35,37.7897,-122.448,101.073,"3317 Washington St, San Francisco, CA 94118, Presidio Heights",,0,1939,1,4946,12995,closed,2015-09-18,2015-10-07,19,2015-09-27 06:42:18,2015-10-07 02:05:11,423,sales
435,1814,435,"55 Grace St, San Francisco, CA 94103",South of Market,1,2,2800,zillow_sf,http://www.zillow.com/homedetails/55-Grace-St-San-Francisco-CA-94103/80747095_zpid/,2015-08-23 20:31:20,2015-08-28 15:32:53,37.775,-122.415,13.4261,"55 Grace St, San Francisco, CA 94103, South of Market",,,,1,1814,1130000,closed,,2004-03-04,,2015-08-27 08:46:45,2015-08-27 08:46:45,435,sales
