address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
166 Salada Avenue,2,2,993,climbsf_rented,http://www.climbsf.com/for-rent/salada-avenue-pacifica/,-122.491,37.6344,13.0389,,,1,rental,2400,closed,,2013-07-16,,PACIFICA,372,BAY_AREA
1500 Park Avenue #105,1,1,1300,climbsf_rented,http://www.climbsf.com/for-rent/1500-park-ave-105/,-122.29,37.8311,3.49772,,,1,rental,2300,closed,,2013-05-20,,EMERYVILLE,345,BAY_AREA
1201 Pine Street #257,1,1,815,climbsf_rented,http://www.climbsf.com/for-rent/1201-pine-st-257/,-122.3,37.8125,3.7537,,,2,rental,2200,closed,,2013-06-25,,OAKLAND,369,BAY_AREA
1523 Brunswig Lane,2,1,745,climbsf_rented,http://www.climbsf.com/for-rent/1523-brunswig-lane/,-122.293,37.8352,3.71013,,,1,rental,2500,closed,,2013-07-30,,EMERYVILLE,345,BAY_AREA
1201 Pine Street #132,1,1,1072,climbsf_rented,http://www.climbsf.com/for-rent/1201-pine-street-132/,-122.3,37.8125,3.7537,,,1,rental,1950,closed,,2014-01-28,,OAKLAND,369,BAY_AREA
1511 Jefferson Street #PH8,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/1511-jefferson-st-ph8/,-122.271,37.8044,13.0275,,,1,rental,1900,closed,,2015-10-04,,OAKLAND,369,BAY_AREA
1463 34th Street,2,1,760,climbsf_rented,http://www.climbsf.com/for-rent/1463-34th-st/,-122.285,37.8254,5.14154,,,1,rental,2300,closed,,2015-10-28,,EMERYVILLE,345,BAY_AREA
6400 Christie Avenue #3406,0,1,565,climbsf_rented,http://www.climbsf.com/for-rent/6400-christie-ave-3406/,-122.295,37.8451,5.49469,,,34,rental,1750,closed,,2014-02-11,,EMERYVILLE,345,BAY_AREA
1511 Jefferson Street #203,2,2,1200,climbsf_rented,http://www.climbsf.com/for-rent/1511-jefferson-st-203/,-122.274,37.8069,11.9109,,,2,rental,2300,closed,,2014-03-04,,OAKLAND,369,BAY_AREA
372 Hudson Street,2,1,1254,climbsf_rented,http://www.climbsf.com/for-rent/372-hudson-st/,-122.252,37.8407,47.2986,,,1,rental,3700,closed,,2014-05-06,,OAKLAND,369,BAY_AREA
4234 Halleck Street,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/4234-halleck-st/,-122.29,37.8311,3.43209,,,1,rental,2600,closed,,2015-10-04,,EMERYVILLE,345,BAY_AREA
6501 San Pablo Avenue #205,1,1,910,climbsf_rented,http://www.climbsf.com/for-rent/6501-san-pablo-ave-205/,-122.286,37.8482,13.1691,,,2,rental,2550,closed,,2014-07-15,,EMERYVILLE,345,BAY_AREA
630 Thomas L. Berkley Way #301,1,1,803,climbsf_rented,http://www.climbsf.com/for-rent/630-thomas-l-berkley-way-301/,-122.272,37.8102,8.54661,,,3,rental,2550,closed,,2014-07-25,,OAKLAND,369,BAY_AREA
1026 Aileen Street,3,2,1450,climbsf_rented,http://www.climbsf.com/for-rent/1026-aileen-st/,-122.279,37.8404,16.0931,,,1,rental,3450,closed,,2014-09-04,,EMERYVILLE,345,BAY_AREA
1804 62nd Street #6,0,1,600,climbsf_rented,http://www.climbsf.com/for-rent/1804-62nd-st-6/,-122.271,37.8468,29.1631,,,1,rental,1600,closed,,2014-10-08,,BERKELEY,327,BAY_AREA
1804 62nd Street #4,1,1,700,climbsf_rented,http://www.climbsf.com/for-rent/1804-62nd-st-4/,-122.271,37.8468,29.1631,,,1,rental,2200,closed,,2014-10-14,,BERKELEY,327,BAY_AREA
1804 62nd Street #3,0,1,600,climbsf_rented,http://www.climbsf.com/for-rent/1804-62nd-st-3/,-122.271,37.8468,29.1631,,,1,rental,1700,closed,,2014-10-28,,BERKELEY,327,BAY_AREA
1804 62nd Street #1,1,1,700,climbsf_rented,http://www.climbsf.com/for-rent/1804-62nd-st-1/,-122.271,37.8468,29.1631,,,1,rental,1850,closed,,2014-11-08,,BERKELEY,327,BAY_AREA
311 Oak Street #306,2,2,1700,climbsf_rented,http://www.climbsf.com/for-rent/311-oak-st-306/,-122.268,37.7941,3.90379,,,3,rental,3400,closed,,2015-09-27,,OAKLAND,369,BAY_AREA
1411 Creekside Drive #16,1,1,624,climbsf_rented,http://www.climbsf.com/for-rent/1411-creekside-dr-16/,-122.051,37.8848,53.6521,,,1,rental,1500,closed,,2015-02-12,,WALNUT CREEK,408,BAY_AREA
630 Thomas L. Berkley Way #623,1,1,860,climbsf_rented,http://www.climbsf.com/for-rent/630-thomas-l-berkley-way-623/,-122.272,37.8102,8.54661,,,6,rental,2700,closed,,2015-02-16,,OAKLAND,369,BAY_AREA
1500 Park Avenue #111,1,1,1100,climbsf_rented,http://www.climbsf.com/for-rent/1500-park-ave-111/,-122.29,37.8311,3.49772,,,1,rental,2850,closed,,2015-02-19,,EMERYVILLE,345,BAY_AREA
1201 Pine Street #360,1,1,753,climbsf_rented,http://www.climbsf.com/for-rent/1201-pine-st-360/,-122.3,37.8125,3.7537,,,3,rental,1950,closed,,2015-03-19,,OAKLAND,369,BAY_AREA
1201 Pine Street #124,1,1,975,climbsf_rented,http://www.climbsf.com/for-rent/1201-pine-st-124/,-122.3,37.8125,3.7537,,,1,rental,2200,closed,,2015-03-19,,OAKLAND,369,BAY_AREA
8048 Earl Street,0,1,0,climbsf_rented,http://www.climbsf.com/for-rent/8048-earl-st/,-122.155,37.7692,94.8962,,,1,rental,1450,closed,,2015-10-04,,OAKLAND,369,BAY_AREA
1201 Pine Street #141,1,1,1219,climbsf_rented,http://www.climbsf.com/for-rent/1201-pine-st-141/,-122.3,37.8125,3.7537,,,1,rental,2500,closed,,2015-04-16,,OAKLAND,369,BAY_AREA
1655 North California Boulevard #345,1,1,886,climbsf_rented,http://www.climbsf.com/for-rent/1655-n-california-blvd-345/,-122.065,37.9021,45.9945,,,3,rental,2500,closed,,2015-04-29,,WALNUT CREEK,408,BAY_AREA
438 West Grand Avenue #429,1,1,802,climbsf_rented,http://www.climbsf.com/for-rent/438-west-grand-ave-429/,-122.267,37.8119,6.04846,,,4,rental,2900,closed,,2015-05-04,,OAKLAND,369,BAY_AREA
675 Eighth Street #1,2,2,1285,climbsf_rented,http://www.climbsf.com/for-rent/675-8th-st-1/,-122.279,37.8021,9.76637,,,1,rental,3500,closed,,2015-05-04,,OAKLAND,369,BAY_AREA
370 Santa Clara Avenue #6,2,1,0,climbsf_rented,http://www.climbsf.com/for-rent/370-santa-clara-ave-6/,-122.248,37.8137,15.0625,,,1,rental,2950,closed,,2015-10-04,,OAKLAND,369,BAY_AREA
407 Palisade Drive,3,3,1556,climbsf_rented,http://www.climbsf.com/for-rent/407-palisade-dr/,-122.299,37.8129,4.1766,,,1,rental,4250,closed,,2015-07-02,,OAKLAND,369,BAY_AREA
4236 Halleck Street,1,1,1150,climbsf_rented,http://www.climbsf.com/for-rent/4236-halleck-st/,-122.29,37.8311,3.43209,,,1,rental,2900,closed,,2015-07-06,,EMERYVILLE,345,BAY_AREA
1615 Broadway #12,2,2,1706,climbsf_rented,http://www.climbsf.com/for-rent/1615-broadway-12/,-122.27,37.8062,10.3409,,,1,rental,5500,closed,,2015-07-20,,OAKLAND,369,BAY_AREA
6400 Christie Avenue #1110,0,1,565,climbsf_rented,http://www.climbsf.com/for-rent/6400-christie-ave-1110/,-122.295,37.8451,5.49469,,,11,rental,2050,closed,,2015-08-11,,EMERYVILLE,345,BAY_AREA
3911 Forest Circle,3,3,1600,climbsf_rented,http://www.climbsf.com/for-rent/3911-forest-circle/,-122.068,37.6957,55.03,,,1,rental,3000,closed,,2015-08-16,,CASTRO VALLEY,333,BAY_AREA
1201 Pine Street,1,1,1293,climbsf_rented,http://www.climbsf.com/for-rent/1201-pine-st-150/,-122.3,37.8125,3.7537,,,1,rental,3000,closed,,2015-08-19,,OAKLAND,369,BAY_AREA
1510 Park Avenue,1,1,644,climbsf_renting,http://www.climbsf.com/for-rent/1510-park-ave-j/,-122.29,37.8305,3.41625,,,1,rental,2700,closed,5,2015-08-28,2015-08-23,EMERYVILLE,345,BAY_AREA
4953 Roselle Common,4,3,2054,climbsf_renting,http://www.climbsf.com/for-rent/4953-roselle-common/,-122.015,37.5466,12.7767,,,1,rental,3600,closed,15,2015-09-07,2015-08-23,FREMONT,348,BAY_AREA
1534 Center Street,4,1,1300,climbsf_renting,http://www.climbsf.com/for-rent/1534-center-st/,-122.292,37.8124,3.8781,,,1,rental,3100,closed,7,2015-08-30,2015-08-23,OAKLAND,369,BAY_AREA
2200 Gellert Boulevard #6201,1,1,828,climbsf_rented,http://www.climbsf.com/for-rent/2200-gellert-blvd-6201/,-122.454,37.6485,95.4392,,,62,rental,2700,closed,,2015-09-14,,SOUTH SAN FRANCISCO,399,BAY_AREA
1615A Eighth Street,3,2,980,climbsf_renting,http://www.climbsf.com/for-rent/1615-8th-st-a/,-122.298,37.8069,5.30766,,,1,rental,3500,closed,3,2015-09-30,2015-09-27,OAKLAND,369,BAY_AREA
1511 Jefferson Street #TH6,2,2,1457,climbsf_renting,http://www.climbsf.com/for-rent/1511-jefferson-st-th6/,-122.271,37.8044,13.0275,,,1,rental,3450,closed,5,2015-10-13,2015-10-08,OAKLAND,369,BAY_AREA
1219 Pine Street,1,1,1032,climbsf_renting,http://www.climbsf.com/for-rent/1219-pine-st/,-122.3,37.8128,3.53053,,,1,rental,2900,closed,15,2015-10-28,2015-10-13,OAKLAND,369,BAY_AREA
590 El Dorado Avenue,1,1,803,climbsf_renting,http://www.climbsf.com/for-rent/590-el-dorado-ave-209/,-122.252,37.8216,32.74,,,1,rental,2290,closed,33,2015-10-30,2015-09-27,OAKLAND,369,BAY_AREA
1615B Eighth Street,1,1,550,climbsf_renting,http://www.climbsf.com/for-rent/1615-8th-st-b/,-122.298,37.8069,5.30766,,,1,rental,2200,closed,15,2015-10-28,2015-10-13,OAKLAND,369,BAY_AREA
"3997 Dryden Rd, Fremont, CA 94555",3,2,1465,zillow_alameda_county,http://www.zillow.com/homedetails/3997-Dryden-Rd-Fremont-CA-94555/25051023_zpid/,-122.037,37.574,10.2141,,,1,rental,3100,closed,9,2015-10-10,2015-10-01,FREMONT,348,BAY_AREA
"1009 Murrieta Blvd, Livermore, CA 94550",1,1,669,zillow_alameda_county,http://www.zillow.com/homedetails/1009-Murrieta-Blvd-Livermore-CA-94550/24933144_zpid/,-121.783,37.6753,143.179,,,1,rental,1750,open,,,2015-09-29,LIVERMORE,356,BAY_AREA
"5267 Genovesio Dr, Pleasanton, CA 94588",4,3,1926,zillow_alameda_county,http://www.zillow.com/homedetails/5267-Genovesio-Dr-Pleasanton-CA-94588/25072938_zpid/,-121.891,37.6955,102.278,,,1,rental,3800,open,,,2015-10-03,PLEASANTON,378,BAY_AREA
"6901 Stagecoach Rd APT D, Dublin, CA 94568",2,2,1007,zillow_alameda_county,http://www.zillow.com/homedetails/6901-Stagecoach-Rd-APT-D-Dublin-CA-94568/25070264_zpid/,-121.914,37.7151,107.429,,,1,rental,2400,open,,,2015-10-07,DUBLIN,342,BAY_AREA
"3000 60th Ave, Oakland, CA 94605",3,1,1522,zillow_alameda_county,http://www.zillow.com/homedetails/3000-60th-Ave-Oakland-CA-94605/24788055_zpid/,-122.185,37.7739,25.4667,,,1,rental,2995,open,,,2015-09-30,OAKLAND,369,BAY_AREA
"3701 Wisconsin St, Oakland, CA 94619",2,2,1200,zillow_alameda_county,http://www.zillow.com/homedetails/3701-Wisconsin-St-Oakland-CA-94619/24775508_zpid/,-122.194,37.7952,84.2639,,,1,rental,3500,closed,7,2015-10-06,2015-09-29,OAKLAND,369,BAY_AREA
"601 Hemlock Ct, Livermore, CA 94551",3,2,1400,zillow_alameda_county,http://www.zillow.com/homedetails/601-Hemlock-Ct-Livermore-CA-94551/24938209_zpid/,-121.793,37.6851,133.21,,,1,rental,3150,closed,7,2015-10-06,2015-09-29,LIVERMORE,356,BAY_AREA
"2101 Shoreline Dr APT 461, Alameda, CA 94501",2,1,1015,zillow_alameda_county,http://www.zillow.com/homedetails/2101-Shoreline-Dr-APT-461-Alameda-CA-94501/24867647_zpid/,-122.255,37.7571,3.46746,,,4,rental,3300,closed,8,2015-10-11,2015-10-03,ALAMEDA,317,BAY_AREA
"2101 Shoreline Dr APT 461, Alameda, CA 94501",2,1,1015,zillow_alameda_county,http://www.zillow.com/homedetails/2101-Shoreline-Dr-APT-461-Alameda-CA-94501/24867647_zpid/,-122.255,37.7571,3.46746,,,4,rental,3300,closed,8,2015-10-11,2015-10-03,BAY AND OCEAN,410,BAY_AREA
"4297 Creekview Dr, Dublin, CA 94568",3,2,1700,zillow_alameda_county,http://www.zillow.com/homedetails/4297-Creekview-Dr-Dublin-CA-94568/25088440_zpid/,-121.874,37.7158,120.43,,,1,rental,3300,closed,7,2015-10-06,2015-09-29,PLEASANTON,378,BAY_AREA
"23087 Eddy St, Hayward, CA 94541",4,2,1500,zillow_alameda_county,http://www.zillow.com/homedetails/23087-Eddy-St-Hayward-CA-94541/24967368_zpid/,-122.047,37.6848,128.733,,,1,rental,2895,closed,7,2015-10-10,2015-10-03,HAYWARD,351,BAY_AREA
"288 Junipero Cmn, Fremont, CA 94536",3,2,1440,zillow_alameda_county,http://www.zillow.com/homedetails/288-Junipero-Cmn-Fremont-CA-94536/25016052_zpid/,-121.993,37.5797,18.8502,,,1,rental,3195,closed,4,2015-10-08,2015-10-04,FREMONT,348,BAY_AREA
"4934 Lowry Rd, Union City, CA 94587",2,1,888,zillow_alameda_county,http://www.zillow.com/homedetails/4934-Lowry-Rd-Union-City-CA-94587/25053334_zpid/,-122.069,37.5674,3.50727,,,1,rental,2250,closed,8,2015-10-06,2015-09-28,UNION CITY,406,BAY_AREA
"6501 San Pablo Ave, Oakland, CA 94608",1,1,1065,zillow_alameda_county,http://www.zillow.com/homedetails/6501-San-Pablo-Ave-Oakland-CA-94608/79539491_zpid/,-122.286,37.8482,13.1691,,,1,rental,2600,closed,7,2015-10-10,2015-10-03,EMERYVILLE,345,BAY_AREA
