address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"3726 W Denton Ln, Phoenix, AZ 85019",4,2,1733,zillow_ph,http://www.zillow.com/homedetails/3726-W-Denton-Ln-Phoenix-AZ-85019/7719652_zpid/,-112.14,33.5162,350.53,,,1,rental,995,open,,,2015-08-18,Alahambra,201,PH
"4017 E Burgess Ln, Phoenix, AZ 85042",3,2,1331,zillow_ph,http://www.zillow.com/homedetails/4017-E-Burgess-Ln-Phoenix-AZ-85042/7551375_zpid/,-111.995,33.3898,352.617,,,1,rental,895,open,,,2015-08-11,South Mountain,151,PH
"4001 W Villa Rita Dr, Glendale, AZ 85308",3,2,1397,zillow_ph,http://www.zillow.com/homedetails/4001-W-Villa-Rita-Dr-Glendale-AZ-85308/7948489_zpid/,-112.145,33.6503,400.324,,,1,rental,1150,open,,,2015-08-14,Deer Valley,307,PH
"4541 W Bluefield Ave, Glendale, AZ 85308",4,2,2620,zillow_ph,http://www.zillow.com/homedetails/4541-W-Bluefield-Ave-Glendale-AZ-85308/7949024_zpid/,-112.158,33.6518,396.672,,,1,rental,1600,open,,,2015-08-13,Deer Valley,307,PH
"13624 N 44th Pl, Phoenix, AZ 85032",3,2,1468,zillow_ph,http://www.zillow.com/homedetails/13624-N-44th-Pl-Phoenix-AZ-85032/7822835_zpid/,-111.986,33.6107,429.627,,,1,rental,1575,open,,,2015-08-21,Paradise Valley,288,PH
"921 W Villa Theresa Dr, Phoenix, AZ 85023",3,1,1342,zillow_ph,http://www.zillow.com/homedetails/921-W-Villa-Theresa-Dr-Phoenix-AZ-85023/7956788_zpid/,-112.086,33.6539,424.266,,,1,rental,1025,open,,,2015-08-10,Deer Valley,307,PH
"2331 W Larkspur Dr, Phoenix, AZ 85029",3,2,1494,zillow_ph,http://www.zillow.com/homedetails/2331-W-Larkspur-Dr-Phoenix-AZ-85029/7738617_zpid/,-112.11,33.5999,390.622,,,1,rental,995,open,,,2015-08-14,North Mountain,176,PH
"206 E Danbury Rd, Phoenix, AZ 85022",3,2,1322,zillow_ph,http://www.zillow.com/homedetails/206-E-Danbury-Rd-Phoenix-AZ-85022/7959349_zpid/,-112.072,33.6424,419.987,,,1,rental,1195,open,,,2015-08-10,Deer Valley,307,PH
"9847 S 46th St, Phoenix, AZ 85044",4,2,1400,zillow_ph,http://www.zillow.com/homedetails/9847-S-46th-St-Phoenix-AZ-85044/8142395_zpid/,-111.982,33.3566,404.578,,,1,rental,1125,open,,,2015-08-21,Ahwatukee Foothills 0,274,PH
"1028 E Paradise Ln, Phoenix, AZ 85022",3,2,1624,zillow_ph,http://www.zillow.com/homedetails/1028-E-Paradise-Ln-Phoenix-AZ-85022/8003410_zpid/,-112.058,33.6333,428.535,,,1,rental,1295,open,,,2015-08-14,North Mountain,176,PH
