id,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
38,480 Mission Bay Blvd. North #1007,2,2,1576,climbsf_rented,http://www.climbsf.com/for-rent/480-mission-bay-blvd-north-1007/,-122.389,37.7711,2.48954,,,10,,0.035,38,rental,4500,closed,,1969-12-31,,Mission Bay,48,SF
39,74 New Montgomery #412,1,1,870,climbsf_rented,http://www.climbsf.com/for-rent/74-new-montgomery-412/,-122.401,37.7875,7.64144,,,4,,0.0252438,39,rental,3800,closed,,2011-11-20,,Yerba Buena,19,SF
,260 King St,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/260-king-st/,-122.394,37.7774,4.2732,,,1,,0.0347701,40,rental,3500,closed,,2011-11-28,,South Beach,74,SF
,555 4th St # 803,2,2,0,climbsf_rented,http://www.climbsf.com/for-rent/555-4th-st-803/,-122.397,37.7791,3.09988,,,1,,0.0313466,41,rental,3500,closed,,2011-12-06,,South Beach,74,SF
42,16 Jessie St #407,1,1,450,climbsf_rented,http://www.climbsf.com/for-rent/16-jessie-st-407/,-122.399,37.7899,5.27414,,,4,1,0.0270224,42,rental,2000,closed,,2011-12-20,,Yerba Buena,19,SF
,555 4th St # 734,1,1,590,climbsf_rented,http://www.climbsf.com/for-rent/555-4th-st-734/,-122.397,37.7791,3.09988,,,1,,0.0313466,43,rental,0,closed,,2011-12-20,,South Beach,74,SF
44,55 Page Street #814,1,1,865,climbsf_rented,http://www.climbsf.com/for-rent/55-page-street-814/,-122.422,37.774,13.962,,,8,1,0.0111306,44,rental,3200,closed,,2011-12-20,,Hayes Valley,27,SF
45,235 Berry Street #102,2,2,1255,climbsf_rented,http://www.climbsf.com/for-rent/235-berry-street-102/,-122.394,37.7749,2.62042,,,1,,0.0347701,45,rental,4300,closed,,2012-01-28,,South Beach,74,SF
46,1340 Clay Street #402,2,2,1670,climbsf_rented,http://www.climbsf.com/for-rent/1340-clay-st-402/,-122.415,37.7934,103.826,,,4,,0.0111987,46,rental,5975,closed,,2013-02-20,,Nob Hill,93,SF
47,1979 Clay Street,3,2,2000,climbsf_rented,http://www.climbsf.com/for-rent/1979-clay-st/,-122.425,37.7915,87.393,,,1,,0.0010198,47,rental,5250,closed,,2013-02-26,,Pacific Heights,62,SF
48,201 Harrison Street #711,1,1,795,climbsf_rented,http://www.climbsf.com/for-rent/201-harrison-st-711/,-122.39,37.7877,9.17842,,,7,,0.0361509,48,rental,2600,closed,,2013-02-28,,South Beach,74,SF
,1703 Powell Street,4,2,0,climbsf_rented,http://www.climbsf.com/for-rent/1703-powell-st/,-122.411,37.8003,23.9782,,,1,,0.0169068,49,rental,6200,closed,,2013-02-28,,North Beach,54,SF
50,235 Berry Street #107,3,3,2000,climbsf_rented,http://www.climbsf.com/for-rent/235-berry-st-107-2/,-122.394,37.7749,2.44738,,,1,,0.0347701,50,rental,7500,closed,,2013-03-04,,South Beach,74,SF
51,338 Spear Street #18B,2,2,1322,climbsf_rented,http://www.climbsf.com/for-rent/338-spear-st-18b/,-122.391,37.7894,0.0,,,18,,0.0350366,51,rental,5700,closed,,2013-03-04,,South Beach,74,SF
52,682 28th Street,2,2,2300,climbsf_rented,http://www.climbsf.com/for-rent/682-28th-st/,-122.437,37.7449,164.08,,,1,,0.00494065,52,rental,4500,closed,,2013-03-19,,Noe Valley,53,SF
,2712A Pine Street,2,1,0,climbsf_rented,http://www.climbsf.com/for-rent/2712a-pine-st/,-122.441,37.7873,55.6704,,,1,,0.00352278,53,rental,3700,closed,,2013-03-20,,Lower Pacific Heights,42,SF
54,16 Jessie Street #311,1,1,620,climbsf_rented,http://www.climbsf.com/for-rent/16-jessie-st-311/,-122.399,37.7899,5.27414,,,3,1,0.0270224,54,rental,3100,closed,,2013-03-26,,Yerba Buena,19,SF
55,999 16th Street #15,1,1,1500,climbsf_rented,http://www.climbsf.com/for-rent/999-16th-st-15/,-122.397,37.7662,5.06241,,,1,,0.0265068,55,rental,3900,closed,,2013-03-26,,Potrero Hill,67,SF
56,400 Beale Street #406,2,1,1038,climbsf_rented,http://www.climbsf.com/for-rent/400-beale-st-406/,-122.391,37.7871,7.36737,,,4,1,0.0352166,56,rental,3500,closed,,2013-04-08,,South Beach,74,SF
57,425 1st Street #907,1,1,819,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-street-907/,-122.392,37.7858,31.017,,,9,1,0.0343953,57,rental,3200,closed,,2013-04-08,,South Beach,74,SF
58,5 Sparta Street,3,2,1780,climbsf_rented,http://www.climbsf.com/for-rent/5-sparta-st/,-122.403,37.7181,97.0219,,,1,,0.00516624,58,rental,3450,closed,,2013-04-10,,Visitacion Valley,81,SF
59,403 Main Street #410,1,1,960,climbsf_rented,http://www.climbsf.com/for-rent/403-main-st-410/,-122.39,37.7881,6.86612,,,4,,0.0361166,59,rental,3500,closed,,2013-04-12,,South Beach,74,SF
,333 Main Street #4D,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/333-main-st-4d/,-122.391,37.789,1.80794,,,4,,0.0350571,60,rental,3500,closed,,2013-04-24,,South Beach,74,SF
61,50 Lansing Street #209,1,1,714,climbsf_rented,http://www.climbsf.com/for-rent/50-lansing-st-209/,-122.394,37.786,27.3115,,,2,,0.0323883,61,rental,2975,closed,,2013-05-16,,South Beach,74,SF
,425 1st Street #2802,2,2,1449,climbsf_rented,http://www.climbsf.com/for-rent/425-1st-st-2802/,-122.392,37.7858,31.017,,,28,1,0.0343953,62,rental,0,closed,,2013-05-16,,South Beach,74,SF
63,355 Buena Vista Avenue East #305W,1,1,730,climbsf_rented,http://www.climbsf.com/for-rent/355-buena-vista-avenue-east-305w/,-122.44,37.7673,130.553,,,30,,0.000353553,63,rental,2700,closed,,2013-05-21,,Buena Vista Park/Ashbury Heights,6,SF
