address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
814 Hayes Street #2,3,2,1200,climbsf_rented,http://www.climbsf.com/for-rent/814-hayes-st-2/,-122.43,37.7762,42.1639,,,1,,0.00304138,150,rental,5000,closed,,2014-04-09,,Alamo Square,1,SF
"Mcallister St San Francisco, CA 94115",4,2,1700,zillow_sf,http://www.zillow.com/homedetails/Mcallister-St-San-Francisco-CA-94115/2103514323_zpid/,-122.436,37.7781,60.9689,,,1,,0.0011,504,rental,8900,open,,,2015-02-08,Alamo Square,1,SF
"Mcallister St San Francisco, CA 94115",4,2,1700,zillow_sf,http://www.zillow.com/homedetails/Mcallister-St-San-Francisco-CA-94115/2103514323_zpid/,-122.436,37.7781,60.9689,,,1,,0.0011,1875,rental,9900,open,,,2015-02-03,Alamo Square,1,SF
"Mcallister St San Francisco, CA 94115",2,1,1150,zillow_sf,http://www.zillow.com/homedetails/Mcallister-St-San-Francisco-CA-94115/2103241785_zpid/,-122.436,37.7781,60.9689,,,1,,,507,rental,5900,open,,,2015-02-23,Alamo Square,1,SF
"1301 Fulton St APT 207, San Francisco, CA 94117",2,1,925,zillow_sf,http://www.zillow.com/homedetails/1301-Fulton-St-APT-207-San-Francisco-CA-94117/15085639_zpid/,-122.439,37.7767,63.588,,,2,,,2705,rental,3800,open,,,2015-09-01,Alamo Square,1,SF
"640 Steiner St, San Francisco, CA 94117",2,2,1593,zillow_sf,http://www.zillow.com/homedetails/640-Steiner-St-San-Francisco-CA-94117/15078536_zpid/,-122.432,37.7754,74.1284,1895,0,1,,0.00104403,45528,rental,1600,closed,,2011-09-18,,Alamo Square,1,SF
"640 Steiner St, San Francisco, CA 94117",2,2,1593,zillow_sf,http://www.zillow.com/homedetails/640-Steiner-St-San-Francisco-CA-94117/15078536_zpid/,-122.432,37.7754,74.1284,1895,0,1,,0.00104403,45527,rental,1600,open,,,2011-09-07,Alamo Square,1,SF
"1110 Fulton St, San Francisco, CA 94117",2,2,1282,zillow_sf,http://www.zillow.com/homedetails/1110-Fulton-St-San-Francisco-CA-94117/46327357_zpid/,-122.435,37.7775,65.4065,1900,0,1,,0.000790569,136746,rental,5600,open,,,2016-03-04,Alamo Square,1,SF
"Anzavista Ave San Francisco, CA 94115",0,1,750,zillow_sf,http://www.zillow.com/homedetails/Anzavista-Ave-San-Francisco-CA-94115/2101488152_zpid/,-122.444,37.7796,106.346,,,1,,,572,rental,2295,open,,,2015-08-05,Anza Vista,2,SF
"1040 Broderick St, San Francisco, CA 94115",2,2,1218,zillow_sf,http://www.zillow.com/homedetails/1040-Broderick-St-San-Francisco-CA-94115/15084398_zpid/,-122.44,37.7801,77.4644,,,1,,,2016,rental,9500,open,,,2015-08-26,Anza Vista,2,SF
"2103 Ellis St, San Francisco, CA 94115",2,1,0,zillow_sf,http://www.zillow.com/homedetails/2103-Ellis-St-San-Francisco-CA-94115/2118311375_zpid/,-122.441,37.7813,67.5664,1924,0,1,,,3489,rental,5500,open,,,2014-08-01,Anza Vista,2,SF
"2103 Ellis St, San Francisco, CA 94115",2,1,0,zillow_sf,http://www.zillow.com/homedetails/2103-Ellis-St-San-Francisco-CA-94115/2118311375_zpid/,-122.441,37.7813,67.5664,1924,0,1,,,4385,rental,639000,closed,,2012-07-25,,Anza Vista,2,SF
"2103 Ellis St, San Francisco, CA 94115",2,1,0,zillow_sf,http://www.zillow.com/homedetails/2103-Ellis-St-San-Francisco-CA-94115/2118311375_zpid/,-122.441,37.7813,67.5664,1924,0,1,,,4897,rental,5750,open,,,2015-09-09,Anza Vista,2,SF
"2103 Ellis St, San Francisco, CA 94115",2,1,0,zillow_sf,http://www.zillow.com/homedetails/2103-Ellis-St-San-Francisco-CA-94115/2118311375_zpid/,-122.441,37.7813,67.5664,1924,0,1,,,4939,rental,4999,closed,17,2015-10-04,2015-09-17,Anza Vista,2,SF
"1180 Broderick St APT 304, San Francisco, CA 94115",2,2,1500,zillow_sf,http://www.zillow.com/homedetails/1180-Broderick-St-APT-304-San-Francisco-CA-94115/2101163514_zpid/,-122.441,37.7809,72.9697,1986,0,3,,,3422,rental,6500,closed,27,2015-10-07,2015-09-10,Anza Vista,2,SF
"1180 Broderick St APT 304, San Francisco, CA 94115",2,2,1500,zillow_sf,http://www.zillow.com/homedetails/1180-Broderick-St-APT-304-San-Francisco-CA-94115/2101163514_zpid/,-122.441,37.7809,72.9697,1986,0,3,,,15280,rental,5200,closed,21,2015-10-28,2015-10-07,Anza Vista,2,SF
"2020 Ellis St # 202, San Francisco, CA 94115",1,1,600,zillow_sf,http://www.zillow.com/homedetails/2020-Ellis-St-202-San-Francisco-CA-94115/121338451_zpid/,-122.44,37.7817,55.6772,2012,0,1,,0.00401995,82011,rental,4300,open,,,2016-01-27,Anza Vista,2,SF
