,address,zipcode,ypred,list,gain-loss,rent,cap rate
2148008,"14257 Mansfield St, Detroit, MI 48227 ",48227,70262.0703125,56900,13362.0703125,46021.8046875,9.705828207381371
2148526,"14457 Mettetal St, Detroit, MI 48227 ",48227,70384.125,59900,10484.125,1503.0126953125,0.30110437969532555
5303639,"5231 Harvard Rd, Detroit, MI 48224 ",48224,81748.234375,74900,6848.234375,4175.384765625,0.6689535005006676
5304692,"5745 Yorkshire Rd, Detroit, MI 48224 ",48224,85185.8515625,79000,6185.8515625,1544.5166015625,0.23461011669303797
2562542,"18261 Beaverland St, Detroit, MI 48219 ",48219,110638.1953125,107900,2738.1953125,1544.5166015625,0.17177200388090824
2530870,"16848 Ashton Ave, Detroit, MI 48219 ",48219,71355.8203125,69100,2255.8203125,2594.879638671875,0.45063031385672936
2020849,"3908 Cadieux Rd, Detroit, MI 48224 ",48224,90357.7578125,89500,857.7578125,2348.9599609375,0.31494435230446927
1968974,"22589 Fargo St, Detroit, MI 48219 ",48219,77013.8046875,76500,513.8046875,2495.4443359375,0.3914422487745098
1989266,"5760 Bishop St, Detroit, MI 48224 ",48224,83232.609375,84000,-767.390625,4107.27099609375,0.5867529761904762
7394342,"17540 Keeler St, Detroit, MI 48227 ",48227,76870.5390625,77900,-1029.4609375,1831.588623046875,0.2821445763799743
5270598,"5229 Bishop St, Detroit, MI 48224 ",48224,77109.1484375,79000,-1890.8515625,2851.20263671875,0.4330940466772152
2027934,"4497 Kensington Ave, Detroit, MI 48224 ",48224,96201.359375,99000,-2798.640625,2348.9599609375,0.28472241950757576
1970035,"4448 Bishop St, Detroit, MI 48224 ",48224,81670.109375,99000,-17329.890625,1503.0126953125,0.18218335700757576
7392507,"14045 Grandmont Ave, Detroit, MI 48227 ",48227,78969.171875,100000,-21030.828125,5193.92138671875,0.623270546875
