,address,ypred,list,gain-loss,rent,cap rate
1131128,"892 S Apache Dr, Chandler, AZ 85224 ",192862.65625,142900,49962.65625,3420.900634765625,0.2872694793124563
1041050,"4496 E Firestone Dr, Chandler, AZ 85249",229561.796875,180000,49561.796875,3240.236572265625,0.21601577690972223
604830,"9659 E Butte St, Mesa, AZ 85207",158933.796875,109900,49033.796875,7512.095703125,0.8202470285486806
5088062,"3930 N 143rd Ln, Goodyear, AZ 85395 ",148891.75,100000,48891.75,24937.671875,2.992520625
1215348,"1529 E Laurel Ave, Gilbert, AZ 85234 ",188753.0625,139900,48853.0625,4439.701171875,0.3808178274660472
319069,"2222 N 22nd St, Phoenix, AZ 85006 ",158659.203125,109900,48759.203125,4718.021484375,0.5151615815514103
105011,"3185 W Mineral Butte Dr, Queen Creek, AZ 85142 ",195543.359375,147000,48543.359375,12160.861328125,0.9927234268707483
251019,"2322 W Evans Dr, Phoenix, AZ 85023",238228.234375,189900,48328.234375,3240.236572265625,0.2047542909096893
7373536,"10437 E Birchwood Ave Interested Rentals Onl # 00, Mesa, AZ 85208 ",148325.65625,100000,48325.65625,4439.701171875,0.532764140625
1071282,"1440 E Park Ave, Chandler, AZ 85225 ",178128.0625,129900,48228.0625,12160.861328125,1.1234052636643572
1373498,"8763 W Sierra Vista Dr, Glendale, AZ 85305",180917.3125,132900,48017.3125,24937.671875,2.2517085214446952
874826,"20357 N 262nd Ave, Buckeye, AZ 85396 ",242495.234375,194914,47581.234375,4898.685546875,0.30159058129482746
874826,"20357 N 262nd Ave, Buckeye, AZ 85396 ",242495.234375,194914,47581.234375,35494.49609375,2.1852403495900754
431633,"10935 W Meadowbrook Ave, Phoenix, AZ 85037 ",152317.40625,104900,47417.40625,4718.021484375,0.5397164710438513
1470644,"8841 W Morningside Dr, Peoria, AZ 85382",142231.90625,94900,47331.90625,3064.455322265625,0.3874969951923077
313954,"1708 W Cocopah St, Phoenix, AZ 85007",212315.28125,165000,47315.28125,4439.701171875,0.32288735795454543
7410809,"13797 W Caribbean Ln, Surprise, AZ 85379 ",143891.75,97000,46891.75,35689.80859375,4.415233891752577
35075,"2512 E Jones Ave, Phoenix, AZ 85040",170159.3125,123456,46703.3125,12539.9052734375,1.2188865618114957
24635,"3807 N 28th St., Phoenix, AZ 85016",201046.375,155000,46046.375,7790.416015625,0.6031289818548388
1428297,"4425 W Electra Ln, Glendale, AZ 85310",203414.84375,157800,45614.84375,11301.486328125,0.859428667617237
285346,"2868 E Cinnabar Ave, Phoenix, AZ 85028",240444.6875,194900,45544.6875,11301.486328125,0.6958329592098512
1263099,"2747 S Sailors Way, Gilbert, AZ 85295 ",145200.65625,99795,45405.65625,32757.162109375,3.9389341900896837
81782,"1813 W Half Moon Cir, San Tan Valley, AZ 85142 ",145200.65625,99900,45300.65625,4718.021484375,0.5667293074324324
14972,"9444 E Sunland Ave, Mesa, AZ 85208",170159.3125,124900,45259.3125,4718.021484375,0.45329269665732586
771533,"704 N Orlando Cir, Mesa, AZ 85205 ",170159.3125,124900,45259.3125,5784.916015625,0.5557965747598078
7393312,"16149 W Mauna Loa Ln, Surprise, AZ 85379 ",234508.609375,189900,44608.609375,4718.021484375,0.29813721860189574
1481132,"16245 N Greasewood St, Surprise, AZ 85378 ",239508.609375,195000,44508.609375,4064.20947265625,0.25010520833333333
563912,"10216 E Posada Ave, Mesa, AZ 85212",228468.046875,184000,44468.046875,4439.701171875,0.28954572860054345
398376,"8814 N 39th Dr For Rent, Phoenix, AZ 85051 ",134413.6875,90000,44413.6875,4089.87158203125,0.5453162326388888
1371997,"8407 W Myrtle Ave, Glendale, AZ 85305",175289.84375,131000,44289.84375,5294.193359375,0.4849642771946565
1408507,"6932 W Denton Ln, Glendale, AZ 85303",138659.5625,94500,44159.5625,4718.021484375,0.5991138392857143
1561080,"5185 S Eileen Dr For Rent, Chandler, AZ 85248 ",133991.578125,90000,43991.578125,4898.685546875,0.6531580729166667
