Address,Neighborhood,Bedrooms,Bathrooms,Price,Sqft,Term,Rented,Date,Source,URL
539 Octavia Street #9,Hayes Valley,0,1,1500,180,,TRUE,3/18/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-9/
539 Octavia Street #11,Hayes Valley,0,1,1600,200,,TRUE,3/30/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-11/
539 Octavia Street #14,Hayes Valley,0,1,1850,221,,TRUE,5/14/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-14/
539 Octavia Street #12,Hayes Valley,0,1,1800,240,,TRUE,4/16/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-12/
539 Octavia Street #13,Hayes Valley,0,1,1995,280,,TRUE,2/1/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-13/
539 Octavia Street #4,Hayes Valley,0,1,1950,300,,TRUE,2/16/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-4/
539 Octavia Street #17,Hayes Valley,0,1,2375,322,,TRUE,1/27/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-17/
451 Kansas Street #436,Potrero Hill,0,1,2700,436,,TRUE,8/12/2014,Climb SF,http://www.climbsf.com/for-rent/451-kansas-st-436/
451 Kansas Street #520,Potrero Hill,0,1,2800,450,,TRUE,5/18/2015,Climb SF,http://www.climbsf.com/for-rent/451-kansas-st-520/
16 Jessie St #407,Downtown,0,1,2000,450,,TRUE,12/20/2011,Climb SF,http://www.climbsf.com/for-rent/16-jessie-st-407/
8 Buchanan Street #214,Hayes Valley,0,1,2975,453,,TRUE,6/15/2015,Climb SF,http://www.climbsf.com/for-rent/1960-market-st-214/
451 Kansas Street #489,Potrero Hill,0,1,2600,453,,TRUE,8/9/2013,Climb SF,http://www.climbsf.com/for-rent/451-kansas-st-489/
240 Lombard Street #435,North Waterfront,0,1,2500,477,,TRUE,5/20/2014,Climb SF,http://www.climbsf.com/for-rent/240-lombard-st-435/
74 New Montgomery Street #309,SOMA,0,1,2850,484,,TRUE,5/27/2015,Climb SF,http://www.climbsf.com/for-rent/74-new-montgomery-st-309/
74 New Montgomery Street #709,Yerba Buena,0,1,3150,489,,TRUE,6/9/2015,Climb SF,http://www.climbsf.com/for-rent/74-new-montgomery-st-709/
45 Bartlett Street #315,Inner Mission,0,1,3000,500,,TRUE,4/9/2015,Climb SF,http://www.climbsf.com/for-rent/45-bartlett-st-315/
555 Fourth Street #912,South Beach,0,1,2950,525,,TRUE,11/11/2014,Climb SF,http://www.climbsf.com/for-rent/555-4th-st-912/
1921 Jefferson Street #302,Marina,1,1,2600,550,,TRUE,10/29/2013,Climb SF,http://www.climbsf.com/for-rent/1921-jefferson-st-302/
250 King Street #553,Mission Bay,0,1,2975,556,,TRUE,5/13/2014,Climb SF,http://www.climbsf.com/for-rent/250-king-st-553/
One Hawthorne Street #16B,SOMA,0,1,3200,558,,TRUE,5/19/2015,Climb SF,http://www.climbsf.com/for-rent/1-hawthorne-st-16b/
6400 Christie Avenue #3406,Emeryville,0,1,1750,565,,TRUE,2/11/2014,Climb SF,http://www.climbsf.com/for-rent/6400-christie-ave-3406/
88 Townsend Street #426,South Beach,0,1,3099,581,,TRUE,11/24/2014,Climb SF,http://www.climbsf.com/for-rent/88-townsend-st-426/
250 King Street #604,Mission Bay,0,1,2975,587,,TRUE,8/13/2014,Climb SF,http://www.climbsf.com/for-rent/250-king-st-604/
997 14th Street,Duboce Triangle,1,1,2700,600,,TRUE,9/16/2013,Climb SF,http://www.climbsf.com/for-rent/997-14th-st/
