,address,ypred,list,gain-loss,rent,cap rate
4094840,"4202 N Limberlost Cir, Tucson, AZ 85705 ",168775.125,119000,49775.125,1368.9888916015625,0.13804930409663865
4094093,"3912 N Stone Ave, Tucson, AZ 85705 ",168775.125,119000,49775.125,1368.9888916015625,0.13804930409663865
4094611,"5920 S Stewart Blvd, Tucson, AZ 85706 ",154157.203125,105000,49157.203125,1532.21533203125,0.17511032366071427
4094611,"5920 S Stewart Blvd, Tucson, AZ 85706 ",154157.203125,105000,49157.203125,1532.21533203125,0.17511032366071427
4090122,"2007 W Brittain Dr, Tucson, AZ 85705 ",168775.125,119900,48875.125,1695.1640625,0.16965778773978316
4092080,"271 E Root Way, Tucson, AZ 85705 ",168775.125,119900,48875.125,1532.21533203125,0.15334932430671394
4092080,"271 E Root Way, Tucson, AZ 85705 ",168775.125,119900,48875.125,1695.1640625,0.16965778773978316
4094306,"4037 N 4th Ave, Tucson, AZ 85705 ",168775.125,119900,48875.125,1532.21533203125,0.15334932430671394
4094298,"4036 N Sioux Ave, Tucson, AZ 85705 ",168703.640625,119900,48803.640625,1695.1640625,0.16965778773978316
4094245,"4010 N 4th Ave, Tucson, AZ 85705 ",168775.125,120000,48775.125,1695.1640625,0.16951640625
4096102,"4710 N Laird Way, Tucson, AZ 85705 ",168775.125,120000,48775.125,2506.56005859375,0.250656005859375
4090983,"2262 W Calle Fortunado, Tucson, AZ 85705 ",168775.125,120000,48775.125,2082.126953125,0.2082126953125
4095144,"4282 N Limberlost Pl, Tucson, AZ 85705 ",168775.125,120000,48775.125,2892.30224609375,0.28923020833333335
4091543,"246 E Scheibe Way, Tucson, AZ 85705 ",168775.125,120000,48775.125,2506.56005859375,0.250656005859375
4095993,"4660 N Brightside Dr, Tucson, AZ 85705 ",168775.125,120000,48775.125,2892.30224609375,0.28923020833333335
4089480,"1872 W Southbrooke Cir, Tucson, AZ 85705 ",168775.125,120000,48775.125,2892.30224609375,0.28923020833333335
4089832,"1940 W Paseo Reforma N, Tucson, AZ 85705 ",177368.875,128900,48468.875,2506.56005859375,0.23334926844937937
4621207,"6690 S Via Molino De Viento, Tucson, AZ 85757 ",154157.203125,106000,48157.203125,1695.1640625,0.19190536556603774
4095048,"4262 N Limberlost Cir, Tucson, AZ 85705 ",177128.609375,129000,48128.609375,1695.1640625,0.15768968023255814
4206247,"163 W Smoot Dr, Tucson, AZ 85705 ",162909.859375,115000,47909.859375,2506.56005859375,0.2615540930706522
4088758,"1510 W Roger Rd, Tucson, AZ 85705 ",185722.359375,138000,47722.359375,2082.126953125,0.18105451766304348
4092252,"2750 N Geronimo Ave, Tucson, AZ 85705 ",147501.171875,99950,47551.171875,1695.1640625,0.20352144822411206
4205649,"1525 W La Pasadita St, Tucson, AZ 85705 ",177368.875,129900,47468.875,1695.1640625,0.15659714203233258
4088750,"1507 W Kilburn St, Tucson, AZ 85705 ",177368.875,129900,47468.875,1695.1640625,0.15659714203233258
4094513,"4124 N Nidito Pl, Tucson, AZ 85705 ",177368.875,130000,47368.875,1695.1640625,0.1564766826923077
4090851,"2212 W Calle Comodo, Tucson, AZ 85705 ",177368.875,130000,47368.875,1532.21533203125,0.14143526141826923
4096501,"4958 N Gold Ave, Tucson, AZ 85705 ",177368.875,130000,47368.875,1695.1640625,0.1564766826923077
4091235,"2361 W Rau River Rd, Tucson, AZ 85705 ",177128.609375,129900,47228.609375,1532.21533203125,0.14154414152713626
4624446,"7062 W Adamsgate Pl, Tucson, AZ 85757 ",154157.203125,107000,47157.203125,1532.21533203125,0.1718372334988318
4090014,"1970 W Hadley St, Tucson, AZ 85705 ",145962.625,99000,46962.625,1532.21533203125,0.18572307054924242
4220871,"94 E Villas Cir, Tucson, AZ 85705 ",168775.125,121900,46875.125,1532.21533203125,0.15083333867411813
4215433,"4358 E Fort Lowell Rd, Tucson, AZ 85712 ",166743.875,119900,46843.875,2082.126953125,0.20838635060467056
4089806,"1939 W Hadley St, Tucson, AZ 85705 ",191516.140625,144900,46616.140625,2082.126953125,0.1724328739648033
4628025,"8406 W Calle Moheda, Tucson, AZ 85757 ",145593.453125,99000,46593.453125,2082.126953125,0.25237902462121214
4089465,"1870 W Egle Ln, Tucson, AZ 85705 ",194556.375,148000,46556.375,2082.126953125,0.16882110430743244
4088897,"1557 W La Pasadita St, Tucson, AZ 85705 ",171034.859375,124500,46534.859375,2082.126953125,0.20068693524096384
4205735,"1534 W Gardner St, Tucson, AZ 85705 ",185722.359375,139900,45822.359375,1532.21533203125,0.13142661890189422
4093874,"3655 N Stone Ave, Tucson, AZ 85705 ",184641.140625,139000,45641.140625,1532.21533203125,0.13227758262140288
4097202,"602 E Roger Rd, Tucson, AZ 85705 ",154556.375,109000,45556.375,1532.21533203125,0.16868425673738532
4095035,"426 E Knox Dr, Tucson, AZ 85705 ",170493.875,125000,45493.875,1532.21533203125,0.147092671875
4095541,"450 E Mohave Rd, Tucson, AZ 85705 ",170493.875,125000,45493.875,1695.1640625,0.16273575
