property,address,area,num bedrooms,num bath,type,lease,rent,origin_url,origin_pattern,createdAt,updatedAt,pingedAt
2735 Folsom St.,2735 Folsom Street,San Francisco (Inner Mission),4 BR,3.5 BA,Condo,1 Year,"10,000",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
Millennium Tower,301 Mission St. #53D,San Francisco (Yerba Buena),2 BR,3 BA,Condo,1 Year,"18,000",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
Millennium Tower,301 Mission St. #5A,San Francisco (South Beach),2 BR,2 BA,Condo,1 Year,"9,000",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
The Millennium,301 Mission Street #35A,San Francisco (SOMA),2 BR,2 BA,Condo,1 Year,"8,800",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
One Rincon Hill,425 First Street #1806,San Francisco (Rincon Hill),2 BR,2 BA,Condo,6 Months,"7,250",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
Millennium Tower,301 Mission Street #22H,San Francisco (SOMA),1 BR,1 BA,Condo,1 Year,"6,500",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
460 Valley St.,460 Valley Street,San Francisco (Noe Valley),2 BR,2 BA,Single-Family,1 Year,"5,900",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
296 Francisco St.,296 Francisco Street,San Francisco (Telegraph Hill),2 BR,1 BA,Condo,1 Year,"5,475",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
60 Rausch St. #304,60 Rausch Street #304,San Francisco (SOMA),2 BR,2 BA,Live/Work Loft,"","5,600",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
Park Terrace,325 Berry Street #520,San Francisco (Mission Bay),2 BR,2 BA,Condo,1 Year,"5,600",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
555 Bartlett St. #409,555 Bartlett Street #409,San Francisco (Inner Mission),2 BR,2 BA,Condo,6 Months,"4,600",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
655 26th Ave.,655 26th Avenue,San Francisco (Central Richmond),2 BR,1.5 BA,Duplex,1 Year,"4,500",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
Madrone,420 Mission Bay Boulevard North #121,San Francisco (Mission Bay),1 BR,1 BA,Condo,1 Year,"3,975",http://www.climbsf.com/for-rent/,http://www.climbsf.com/for-rent/,2015-07-05 08:44:50,2015-07-05 08:44:50,2015-07-05 08:44:50
