apartment name,configuration,num bedroom,num bathroom,size,rent,units page,address,address_origin_pattern,address_origin_url,apartment page,origin_url,origin_pattern,createdAt,updatedAt,pingedAt
eaves Diamond Heights,2 beds 2 baths 995 sqft,2 beds,2 baths,995 sqft,"3,775",http://www.zillow.com/homedetails/5285-Diamond-Heights-Blvd-605101-San-Francisco-CA-94131/2103457347_zpid/,"5285 Diamond Heights Blvd San Francisco, CA 94131",@@apartment page@@,http://www.zillow.com/b/eaves-diamond-heights-san-francisco-ca-5XjTZJ/,http://www.zillow.com/b/eaves-diamond-heights-san-francisco-ca-5XjTZJ/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Parkmerced,"3 beds 2 baths 1,241 sqft",3 beds,2 baths,"1,241 sqft","4,240",http://www.zillow.com/homedetails/3711-19th-Ave-1535221-San-Francisco-CA-94132/2103845731_zpid/,"3711 19th Ave San Francisco, CA 94132",@@apartment page@@,http://www.zillow.com/b/parkmerced-san-francisco-ca-5XjKHx/,http://www.zillow.com/b/parkmerced-san-francisco-ca-5XjKHx/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Avalon Ocean Avenue,"2 beds 2 baths 1,156 sqft",2 beds,2 baths,"1,156 sqft","3,945",http://www.zillow.com/homedetails/1200-Ocean-Ave-606589-San-Francisco-CA-94112/2103465134_zpid/,"1200 Ocean Ave San Francisco, CA 94112",@@apartment page@@,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Avalon Ocean Avenue,Studio 1 bath 567 sqft,Studio,1 bath,567 sqft,"2,845",http://www.zillow.com/homedetails/1200-Ocean-Ave-606606-San-Francisco-CA-94112/2102642394_zpid/,"1200 Ocean Ave San Francisco, CA 94112",@@apartment page@@,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
eaves Diamond Heights,"3 beds 2 baths 1,265 sqft",3 beds,2 baths,"1,265 sqft","5,085",http://www.zillow.com/homedetails/5285-Diamond-Heights-Blvd-605103-San-Francisco-CA-94131/2103026645_zpid/,"5285 Diamond Heights Blvd San Francisco, CA 94131",@@apartment page@@,http://www.zillow.com/b/eaves-diamond-heights-san-francisco-ca-5XjTZJ/,http://www.zillow.com/b/eaves-diamond-heights-san-francisco-ca-5XjTZJ/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Parkmerced,"3 beds 3 baths 1,413 sqft",3 beds,3 baths,"1,413 sqft","4,280",http://www.zillow.com/homedetails/3711-19th-Ave-1535223-San-Francisco-CA-94132/2103845730_zpid/,"3711 19th Ave San Francisco, CA 94132",@@apartment page@@,http://www.zillow.com/b/parkmerced-san-francisco-ca-5XjKHx/,http://www.zillow.com/b/parkmerced-san-francisco-ca-5XjKHx/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Avalon Ocean Avenue,"2 beds 2 baths 1,051 sqft",2 beds,2 baths,"1,051 sqft","3,860",http://www.zillow.com/homedetails/1200-Ocean-Ave-606594-San-Francisco-CA-94112/2102142043_zpid/,"1200 Ocean Ave San Francisco, CA 94112",@@apartment page@@,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Avalon Ocean Avenue,Studio 1 bath 516 sqft,Studio,1 bath,516 sqft,"2,725",http://www.zillow.com/homedetails/1200-Ocean-Ave-606602-San-Francisco-CA-94112/2101907763_zpid/,"1200 Ocean Ave San Francisco, CA 94112",@@apartment page@@,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Parkmerced,"3 beds 2.5 baths 1,394 sqft",3 beds,2.5 baths,"1,394 sqft","4,425",http://www.zillow.com/homedetails/3711-19th-Ave-1535222-San-Francisco-CA-94132/2103845727_zpid/,"3711 19th Ave San Francisco, CA 94132",@@apartment page@@,http://www.zillow.com/b/parkmerced-san-francisco-ca-5XjKHx/,http://www.zillow.com/b/parkmerced-san-francisco-ca-5XjKHx/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Parkmerced,1 bed 1 bath 772 sqft,1 bed,1 bath,772 sqft,"2,600",http://www.zillow.com/homedetails/3711-19th-Ave-1535217-San-Francisco-CA-94132/2103845734_zpid/,"3711 19th Ave San Francisco, CA 94132",@@apartment page@@,http://www.zillow.com/b/parkmerced-san-francisco-ca-5XjKHx/,http://www.zillow.com/b/parkmerced-san-francisco-ca-5XjKHx/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Avalon Ocean Avenue,1 bed 1 bath 716 sqft,1 bed,1 bath,716 sqft,"3,035",http://www.zillow.com/homedetails/1200-Ocean-Ave-606586-San-Francisco-CA-94112/2103076267_zpid/,"1200 Ocean Ave San Francisco, CA 94112",@@apartment page@@,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Strata at Mission Bay,"2 beds 2 baths 1,113 sqft",2 beds,2 baths,"1,113 sqft","4,845",http://www.zillow.com/homedetails/1201-4th-St-412629-San-Francisco-CA-94158/2107546267_zpid/,"1201 4th St San Francisco, CA 94158",@@apartment page@@,http://www.zillow.com/b/strata-at-mission-bay-san-francisco-ca-5XjRMn/,http://www.zillow.com/b/strata-at-mission-bay-san-francisco-ca-5XjRMn/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Strata at Mission Bay,1 bed 1 bath 751 sqft,1 bed,1 bath,751 sqft,"3,469",http://www.zillow.com/homedetails/1201-4th-St-412628-San-Francisco-CA-94158/2107546265_zpid/,"1201 4th St San Francisco, CA 94158",@@apartment page@@,http://www.zillow.com/b/strata-at-mission-bay-san-francisco-ca-5XjRMn/,http://www.zillow.com/b/strata-at-mission-bay-san-francisco-ca-5XjRMn/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
eaves Diamond Heights,1 bed 1 bath 615 sqft,1 bed,1 bath,615 sqft,"2,930",http://www.zillow.com/homedetails/5285-Diamond-Heights-Blvd-605099-San-Francisco-CA-94131/2103457349_zpid/,"5285 Diamond Heights Blvd San Francisco, CA 94131",@@apartment page@@,http://www.zillow.com/b/eaves-diamond-heights-san-francisco-ca-5XjTZJ/,http://www.zillow.com/b/eaves-diamond-heights-san-francisco-ca-5XjTZJ/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Parkmerced,"2 beds 2 baths 1,090 sqft",2 beds,2 baths,"1,090 sqft","3,420",http://www.zillow.com/homedetails/3711-19th-Ave-1535219-San-Francisco-CA-94132/2103845735_zpid/,"3711 19th Ave San Francisco, CA 94132",@@apartment page@@,http://www.zillow.com/b/parkmerced-san-francisco-ca-5XjKHx/,http://www.zillow.com/b/parkmerced-san-francisco-ca-5XjKHx/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Avalon Ocean Avenue,1 bed 1 bath 759 sqft,1 bed,1 bath,759 sqft,"3,130",http://www.zillow.com/homedetails/1200-Ocean-Ave-606585-San-Francisco-CA-94112/2103465133_zpid/,"1200 Ocean Ave San Francisco, CA 94112",@@apartment page@@,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
