,address,ypred,list,gain-loss,rent,cap rate
3213050,"3385 S Dexter St For Rent, Denver, CO 80222 ",257405.578125,60000,197405.578125,1355.2816162109375,0.27105631510416667
6690830,"1210 Yosemite St, Denver, CO 80220 ",215546.03125,71000,144546.03125,2101.19189453125,0.3551310244278169
6696464,"60 Fairfax St For Rent, Denver, CO 80220 ",227762.203125,90000,137762.203125,3518.190673828125,0.46909210069444446
3169169,"2565 Willow Ln For Rent, Lakewood, CO 80215 ",218365.34375,90000,128365.34375,3518.190673828125,0.46909210069444446
3203042,"5348 Highline Pl For Rent, Denver, CO 80222 ",182001.234375,60000,122001.234375,1038.0308837890625,0.20760618489583332
3324220,"7314 E Princeton Ave, Denver, CO 80237 ",206269.515625,85000,121269.515625,998.2091674804688,0.14092364430147059
3150677,"1678 Dover St, Lakewood, CO 80215 ",190118.9375,69000,121118.9375,2670.2744140625,0.4643955502717391
3275485,"1722 S Valentine Way For Rent, Lakewood, CO 80228 ",208108.46875,90000,118108.46875,1550.1011962890625,0.20668016493055555
3201647,"3026 S Clermont Dr For Rent, Denver, CO 80222 ",207788.875,90000,117788.875,819.9010620117188,0.10932013888888889
3382539,"1285 S Hudson St For Rent, Denver, CO 80246 ",197110.765625,90000,107110.765625,1370.056640625,0.18267421875
3370749,"9595 Pecos St LOT 541, Thornton, CO 80260 ",164782.625,65000,99782.625,561.7105102539062,0.10370040564903846
3269181,"8441 Harrison Way, Thornton, CO 80229 ",222930.390625,125000,97930.390625,2494.694580078125,0.2394906875
6685446,"1930 S Grant St For Rent, Denver, CO 80210 ",155753.6875,60000,95753.6875,1016.1295776367188,0.20322591145833332
3363567,"9003 E Louisiana Ave For Rent, Denver, CO 80247 ",184766.0,90000,94766.0,1481.8111572265625,0.1975748263888889
3070377,"6610 W Sumac Ave For Rent, Littleton, CO 80123 ",273203.96875,180000,93203.96875,910.8033447265625,0.06072022569444444
3203013,"5285 E Eastman Ave For Rent, Denver, CO 80222 ",152048.75,60000,92048.75,3336.98876953125,0.6673977864583334
3321702,"1409 W 134th Pl For Rent, Westminster, CO 80234 ",177894.828125,90000,87894.828125,3253.03369140625,0.4337378472222222
6690654,"1180 Yosemite St UNIT 310, Denver, CO 80220 ",160205.71875,75000,85205.71875,1476.893310546875,0.23630291666666667
3364785,"19046 E 51st Pl # 00, Denver, CO 80249 ",181747.25,99500,82247.25,1372.290283203125,0.1655023555276382
3356064,"12146 Elm Way # 1, Thornton, CO 80241 ",140921.546875,60000,80921.546875,1306.1175537109375,0.26122350260416666
3095147,"2625 Jackson St For Rent, Denver, CO 80205 ",140621.40625,60000,80621.40625,3165.983642578125,0.6331967447916667
7420404,"6440 W Jefferson Pl, Lakewood, CO 80226 ",276532.3125,199900,76632.3125,960.7587280273438,0.05767435964075788
3136923,"2235 W 46th Ave, Denver, CO 80211 ",201873.5,130000,71873.5,1599.1148681640625,0.14761060697115386
3297397,"9669 Gilpin St For Rent, Thornton, CO 80229 ",197887.359375,128000,69887.359375,2353.172119140625,0.22060989379882812
3266403,"1410 E 78th Ave, Denver, CO 80229 ",147866.234375,79000,68866.234375,3595.3740234375,0.5461327630537974
3270307,"9388 Harrison St, Denver, CO 80229 ",171655.703125,105900,65755.703125,1353.8970947265625,0.15341610599622285
3197751,"504 S Raleigh St For Rent, Denver, CO 80219 ",125731.015625,60000,65731.015625,918.0586547851562,0.18361173502604167
7402810,"9995 E Harvard Ave, Denver, CO 80231 ",137548.71875,72000,65548.71875,730.6435546875,0.12177392578125
3204971,"4975 Newton St For Rent, Denver, CO 80221 ",151939.3125,90000,61939.3125,1233.998291015625,0.16453310546875
3369863,"2100 W 100th Ave LOT 332, Thornton, CO 80260 ",123876.7890625,62500,61376.7890625,878.1672973632812,0.168608125
3319520,"10805 Kalamath St For Rent, Northglenn, CO 80234 ",130988.4609375,70000,60988.4609375,1243.1259765625,0.21310731026785715
1975083,"1024 Inca St, Denver, CO 80204 ",268208.34375,207500,60708.34375,3347.78173828125,0.1936066641566265
3367179,"4199 Argonne Street For Rent # 1, Denver, CO 80249 ",154504.484375,95000,59504.484375,847.3245239257812,0.10703046875
3237355,"2659 S Acoma St # 5, Denver, CO 80223 ",149175.390625,90000,59175.390625,896.3128662109375,0.11950837673611112
3270175,"9324 Welby Rd Ter, Thornton, CO 80229 ",135868.71875,86500,49368.71875,958.2119750976562,0.13293114387644508
3079234,"3701 Madison St For Rent, Denver, CO 80205 ",137989.46875,90000,47989.46875,1375.532470703125,0.18340434027777777
3316269,"11651 Kearney Way # 0, Thornton, CO 80233 ",137724.0625,90000,47724.0625,1382.681396484375,0.18435750868055556
3266198,"1080 E 78th Pl, Denver, CO 80229 ",134061.3125,88000,46061.3125,2950.62255859375,0.4023575994318182
3368473,"5290 Liverpool St, Denver, CO 80249 ",315994.125,270000,45994.125,1339.903076171875,0.05955124782986111
3369641,"1500 W Thornton Pkwy LOT 216, Thornton, CO 80260 ",127941.8984375,87500,40441.8984375,1707.4305419921875,0.23416189732142856
3240419,"2633 S Holland St For Rent, Lakewood, CO 80227 ",128320.8828125,90000,38320.8828125,1761.44091796875,0.2348587890625
6694090,"1700 Xenia St, Denver, CO 80220 ",182391.546875,145000,37391.546875,1422.2535400390625,0.11770374461206896
3322953,"860 W 132nd Ave LOT 114, Westminster, CO 80234 ",147147.390625,109900,37247.390625,1462.355712890625,0.15967488199499544
3270148,"9317 Welby Road Ter, Denver, CO 80229 ",151846.796875,115000,36846.796875,1656.3756103515625,0.1728391983695652
3349590,"10536 E 29th Dr, Denver, CO 80238 ",242969.46875,210329,32640.46875,1454.6416015625,0.08299235587460597
3363049,"2013 S Dayton Ct, Aurora, CO 80247 ",196270.484375,164900,31370.484375,2008.2685546875,0.1461444672907823
3053997,"7543 W Euclid Dr, Littleton, CO 80123 ",238676.109375,209998,28678.109375,1783.7664794921875,0.10193048155518147
3176048,"3116 W Custer Pl, Denver, CO 80219 ",186265.109375,158900,27365.109375,2263.97119140625,0.1709732806600063
3369199,"10204 Quivas St, Denver, CO 80260 ",129806.328125,103351,26455.328125,1783.7664794921875,0.2071116608995075
1967355,"18866 E 57th Pl, Denver, CO 80249 ",198950.90625,172500,26450.90625,1708.2916259765625,0.11883768115942028
2032303,"1539 Harlan St, Lakewood, CO 80214 ",185220.765625,159000,26220.765625,1265.851806640625,0.09553598540683962
3268439,"7851 Ogden Ct, Denver, CO 80229 ",135410.21875,109900,25510.21875,2008.2685546875,0.21928319068471339
3270589,"970 Ash Ct, Thornton, CO 80229 ",142828.6875,120000,22828.6875,2008.2685546875,0.20082685546875
3058042,"504 Quitman St, Denver, CO 80204 ",149287.34375,129000,20287.34375,1451.796630859375,0.13505084181201552
3350835,"2958 Xenia St, Denver, CO 80238 ",265944.78125,249900,16044.78125,1449.285400390625,0.06959354054121648
3268135,"4382 E 94th Dr, Thornton, CO 80229 ",165731.484375,152000,13731.484375,1816.246337890625,0.1433878752055921
3266186,"1070 E 78th Pl, Denver, CO 80229 ",132148.0625,120000,12148.0625,1385.1090087890625,0.13851090494791668
2059801,"1752 N Franklin St APT 1, Denver, CO 80218 ",296993.40625,285000,11993.40625,1463.423828125,0.061617845394736845
3363056,"2011 S Dayton Ct, Aurora, CO 80247 ",203977.03125,192900,11077.03125,1448.758056640625,0.09012492304950752
3230912,"191 S Ames St, Lakewood, CO 80226 ",174729.015625,165000,9729.015625,1580.59033203125,0.11495202414772727
7419794,"70 N Grant St, Denver, CO 80203 ",208665.796875,200000,8665.796875,1571.469482421875,0.0942881640625
3366460,"21456 E 55th Pl, Denver, CO 80249 ",178089.71875,169900,8189.71875,3358.58837890625,0.23721637728075337
3172735,"110 S Meade St, Denver, CO 80219 ",133295.546875,134500,-1204.453125,1259.01806640625,0.11232874941914499
3394358,"12545 Dexter St, Thornton, CO 80241 ",298665.8125,299900,-1234.1875,1477.5240478515625,0.0591206704318106
7400723,"4747 S Balsam Way # 20-10, Littleton, CO 80123 ",222534.84375,225000,-2465.15625,1300.9720458984375,0.06938517361111111
3240376,"2611 S Wadsworth Cir, Lakewood, CO 80227 ",292430.46875,295000,-2569.53125,2240.684814453125,0.09114650423728814
3208856,"6845 E Arizona Ave, Denver, CO 80224 ",178895.328125,184900,-6004.671875,1444.91943359375,0.09377519309424014
3317700,"3741 E 117th Ave, Thornton, CO 80233 ",139464.875,146900,-7435.125,1269.19873046875,0.10367858928267529
3150695,"1690 Tabor St, Lakewood, CO 80215 ",256637.4375,265000,-8362.5625,1383.50537109375,0.06264929982311321
3357359,"12740 Elm St, Thornton, CO 80241 ",137992.015625,151000,-13007.984375,1275.242919921875,0.10134380820571193
3267301,"2272 E 100th Pl, Thornton, CO 80229 ",301170.21875,314900,-13729.78125,1385.1090087890625,0.0527828154771356
