,address,ypred,list,gain-loss,url,rent,cap rate
5214061,"2337 Glynn Ct, Detroit, MI 48206 ",189229.078125,75000,114229.078125,https://www.zillow.com/homedetails/2337-Glynn-Ct-Detroit-MI-48206/88211941_zpid/,822.4693603515625,0.13159510416666667
2097700,"7014 Kercheval St, Detroit, MI 48207 ",186797.875,80000,106797.875,http://www.zillow.com/homedetails/7014-Kercheval-St-Detroit-MI-48207/88481672_zpid/,5074.32861328125,0.76114931640625
7384902,"2529 Fischer St, Detroit, MI 48214 ",155904.359375,64500,91404.359375,https://www.zillow.com/homedetails/2529-Fischer-St-Detroit-MI-48214/88537497_zpid/,622.7991943359375,0.11586961755087209
7418062,"15015 Hartwell St, Detroit, MI 48227 ",157012.765625,79900,77112.765625,https://www.zillow.com/homedetails/15015-Hartwell-St-Detroit-MI-48227/2095281990_zpid/,704.8518676757812,0.10586010833854818
1978108,"12951 Plymouth Rd, Detroit, MI 48227 ",127402.234375,55000,72402.234375,https://www.zillow.com/homedetails/12951-Plymouth-Rd-Detroit-MI-48227/2097269154_zpid/,2263.604736328125,0.4938774147727273
7376525,"19497 Snowden St, Detroit, MI 48235 ",115146.796875,69900,45246.796875,http://www.zillow.com/homedetails/19497-Snowden-St-Detroit-MI-48235/88132478_zpid/,776.4736938476562,0.13330020844510015
7422090,"17303 Appoline St, Detroit, MI 48235 ",109161.46875,64900,44261.46875,https://www.zillow.com/homedetails/17303-Appoline-St-Detroit-MI-48235/88383458_zpid/,1128.65380859375,0.20868791530238828
7410771,"737 Chalmers St, Detroit, MI 48215 ",119176.28125,75000,44176.28125,https://www.zillow.com/homedetails/737-Chalmers-St-Detroit-MI-48215/2128717177_zpid/,857.8130493164062,0.13725009114583334
2126755,"9344 E Outer Dr, Detroit, MI 48213 ",118423.078125,79900,38523.078125,https://www.zillow.com/homedetails/9344-E-Outer-Dr-Detroit-MI-48213/88087219_zpid/,2027.164794921875,0.304455276126408
2148406,"14403 Grandmont Ave, Detroit, MI 48227 ",106495.078125,70000,36495.078125,http://www.zillow.com/homedetails/14403-Grandmont-Ave-Detroit-MI-48227/88765238_zpid/,682.9505004882812,0.11707723214285715
2149114,"14662 Forrer St, Detroit, MI 48227 ",100404.4609375,64900,35504.4609375,https://www.zillow.com/homedetails/14662-Forrer-St-Detroit-MI-48227/88196559_zpid/,788.0521850585938,0.14571072382993067
2139277,"17521 Ohio St, Detroit, MI 48221 ",90433.3359375,55000,35433.3359375,http://www.zillow.com/homedetails/17521-Ohio-St-Detroit-MI-48221/88429180_zpid/,1173.767578125,0.2560947443181818
6678247,"5588 Bishop St, Detroit, MI 48224 ",83688.203125,55000,28688.203125,https://www.zillow.com/homedetails/5588-Bishop-St-Detroit-MI-48224/88192691_zpid/,906.6973266601562,0.19782487571022728
2141373,"18695 Santa Rosa Dr, Detroit, MI 48221 ",85860.859375,59900,25960.859375,http://www.zillow.com/homedetails/18695-Santa-Rosa-Dr-Detroit-MI-48221/88137338_zpid/,1084.5611572265625,0.21727436352253757
5350630,"18636 Greenlawn St, Detroit, MI 48221 ",101091.8203125,80000,21091.8203125,http://www.zillow.com/homedetails/18636-Greenlawn-St-Detroit-MI-48221/88414262_zpid/,596.641845703125,0.08949627685546875
7390858,"8801 Otto St, Detroit, MI 48204 ",90574.5625,69500,21074.5625,https://www.zillow.com/homedetails/8801-Otto-St-Detroit-MI-48204/88150144_zpid/,694.7428588867188,0.11995559802158273
