,address,ypred,list,gain-loss,url,rent,cap rate
5350162,"2422 W Hunter Court For R Ent Only # 0, Phoenix, AZ 85085 ",240078.671875,80000,160078.671875,http://www.zillow.com/homedetails/2422-W-Hunter-Court-For-R-Ent-Only-0-Phoenix-AZ-85085/2096086862_zpid/,5910.8662109375,0.8866298828125
7423748,"19802 N 32nd St LOT 76, Phoenix, AZ 85050 ",226679.71875,76900,149779.71875,https://www.zillow.com/homedetails/19802-N-32nd-St-LOT-76-Phoenix-AZ-85050/2124212486_zpid/,759.0357055664062,0.11844510677421977
5350106,"16246 W Mercer Lane For Rent Only # 0000000, Surprise, AZ 85379 ",227880.578125,80000,147880.578125,http://www.zillow.com/homedetails/16246-W-Mercer-Lane-For-Rent-Only-0000000-Surprise-AZ-85379/2096086194_zpid/,6703.51708984375,1.0055275390625
7415631,"5224 E Elmwood Cir For Rent, Mesa, AZ 85205 ",234775.296875,100000,134775.296875,http://www.zillow.com/homedetails/5224-E-Elmwood-Cir-For-Rent-Mesa-AZ-85205/2095284172_zpid/,3607.0771484375,0.4328492578125
5384814,"42623 N 43rd Dr # 0, Phoenix, AZ 85087 ",222749.984375,100000,122749.984375,http://www.zillow.com/homedetails/42623-N-43rd-Dr-0-Phoenix-AZ-85087/2096060706_zpid/,12804.818359375,1.536578125
1071477,"1450 N Evergreen St, Chandler, AZ 85225 ",239475.09375,130000,109475.09375,http://www.zillow.com/homedetails/1450-N-Evergreen-St-Chandler-AZ-85225/8183389_zpid/,6212.39990234375,0.5734522836538462
924602,"233 5th Ave E, Buckeye, AZ 85326 ",188336.453125,85500,102836.453125,http://www.zillow.com/homedetails/233-5th-Ave-E-Buckeye-AZ-85326/8314092_zpid/,1965.134033203125,0.27580829678362573
7399174,"35301 W Steinway Dr, Tonopah, AZ 85354 ",246818.28125,149900,96918.28125,https://www.zillow.com/homedetails/35301-W-Steinway-Dr-Tonopah-AZ-85354/2095437345_zpid/,3322.987060546875,0.26601630253502334
335492,"13210 N 19th Pl, Phoenix, AZ 85022 ",308570.0,215000,93570.0,http://www.zillow.com/homedetails/13210-N-19th-Pl-Phoenix-AZ-85022/59267982_zpid,4103.73291015625,0.22904556686046512
7419033,"31307 N 169TH Pl, Rio Verde, AZ 85263 ",340294.21875,249900,90394.21875,https://www.zillow.com/homedetails/31307-N-169TH-Pl-Rio-Verde-AZ-85263/60982869_zpid/,995.9432373046875,0.047824403198779515
7412169,"19893 N 260th Dr, Buckeye, AZ 85396 ",326900.90625,237000,89900.90625,https://www.zillow.com/homedetails/19893-N-260th-Dr-Buckeye-AZ-85396/2095333143_zpid/,3375.102294921875,0.1708912513185654
7398159,"3XX7 W Washington St, Phoenix, AZ 85009 ",220390.203125,135000,85390.203125,https://www.zillow.com/homedetails/3XX7-W-Washington-St-Phoenix-AZ-85009/2095484108_zpid/,1862.9869384765625,0.16559884259259258
