,address,ypred,list,gain-loss,rent,cap rate
3859014,"20690 NW Yoncalla Ct # 2, Portland, OR 97229 ",269803.5,60000,209803.5,1884.595947265625,0.37691920572916665
3802743,"528 SW Nevada St # 528, Portland, OR 97219 ",241873.125,57000,184873.125,905.53125,0.19063815789473684
3859019,"20690 NW Yoncalla Ct For Rent, Portland, OR 97229 ",265819.625,90000,175819.625,1072.783935546875,0.14303785807291666
7348966,"5203 SE 38th Ave, Portland, OR 97202 ",307956.1875,135000,172956.1875,882.8494873046875,0.07847550636574074
3848760,"2430 SW 85th Ct For Rent, Portland, OR 97225 ",254854.0625,90000,164854.0625,1754.593505859375,0.23394578993055556
7418806,"14134 SE Center St, Portland, OR 97236 ",311928.125,150000,161928.125,748.3392333984375,0.05986713541666667
7312144,"15690 SE Harold Ave, Milwaukie, OR 97267 ",280731.125,124900,155831.125,1277.277587890625,0.12271682189501601
7217126,"1003 SW Westwood Dr For Rent, Portland, OR 97239 ",270586.53125,130000,140586.53125,1545.4051513671875,0.14265277944711538
7346186,"3724 SE 33rd Pl, Portland, OR 97202 ",284106.5,144000,140106.5,1038.92919921875,0.08657743326822917
7346553,"3820 SE 33rd Pl, Portland, OR 97202 ",279890.625,146900,132990.625,1543.489501953125,0.12608492171545269
3831812,"11624 SE Reedway St, Portland, OR 97266 ",242154.984375,114900,127254.984375,1720.21826171875,0.17965725970953003
3821329,"10174 N Barr Ave, Portland, OR 97203 ",289029.09375,169950,119079.09375,1898.9356689453125,0.1340819565497205
7352537,"908 SE Franklin St, Portland, OR 97202 ",234741.671875,119000,115741.671875,3607.038330078125,0.3637349658613445
7078645,"3321 SE 59th Ave For Rent, Portland, OR 97206 ",201419.703125,90000,111419.703125,1203.876953125,0.16051692708333334
7352212,"8325 SE 28th Ave, Portland, OR 97202 ",285020.78125,175000,110020.78125,1479.216064453125,0.10143196428571429
7420499,"1332 SE 158th Ave, Portland, OR 97233 ",249818.265625,139900,109918.265625,905.53125,0.07767244460328807
7347431,"4039 SE 34th Ave, Portland, OR 97202 ",269515.21875,159900,109615.21875,1180.563232421875,0.08859761594160413
7090256,"8031 SE Malden Ct, Portland, OR 97206 ",189389.21875,80000,109389.21875,1543.489501953125,0.2315234375
7352540,"903 SE Reynolds St, Portland, OR 97202 ",278344.4375,169900,108444.4375,793.9124755859375,0.05607386238228369
4845316,"661 SE 148th Ave, Portland, OR 97233 ",240831.21875,134900,105931.21875,1021.2861328125,0.09084828460896961
7347165,"4004 SE Brooklyn St, Portland, OR 97202 ",305262.78125,199900,105362.78125,1543.489501953125,0.09265570285142571
3831690,"11452 SE Raymond Ct, Portland, OR 97266 ",319179.15625,215000,104179.15625,2901.6318359375,0.16195154433139536
7352054,"8043 SE 25th Ave, Portland, OR 97202 ",273490.84375,169900,103590.84375,1117.5780029296875,0.07893428809226015
7263924,"580 NW Dale Ave, Portland, OR 97229 ",243232.140625,139900,103332.140625,852.7443237304688,0.07314461501518942
7347902,"4150 SE Milwaukie Ave, Portland, OR 97202 ",277208.96875,175000,102208.96875,839.083251953125,0.057537137276785714
7348198,"4325 SE Cesar E Chavez Blvd, Portland, OR 97202 ",272054.78125,169900,102154.78125,2126.635498046875,0.1502037963507946
7416175,"6212 SE 77th Ave Interested Rentals Only # 0, Portland, OR 97206 ",201986.546875,100000,101986.546875,1548.630859375,0.185835703125
7072544,"17240 NE Couch St, Portland, OR 97230 ",176953.15625,75000,101953.15625,1459.2000732421875,0.23347200520833333
5356719,"2915 NE Marine Dr # B31, Portland, OR 97211 ",219685.515625,119000,100685.515625,931.2383422851562,0.09390638950892857
7097053,"11929 SE Ash St, Portland, OR 97216 ",175331.078125,74900,100431.078125,1121.9417724609375,0.17975034420894526
7104575,"14822 SW 109th Ave, Tigard, OR 97224 ",197551.875,97520,100031.875,978.3742065429688,0.12039058894970263
7263441,"5190 NW Neakahnie Ave APT 13, Portland, OR 97229 ",173129.09375,78000,95129.09375,1098.177001953125,0.16895030799278846
7347988,"4205 SE 34th Ave, Portland, OR 97202 ",269531.3125,175000,94531.3125,842.5128173828125,0.05777231026785714
3808459,"4880 SE Mason Ln, Milwaukie, OR 97222 ",292904.6875,199000,93904.6875,877.9395141601562,0.0529410774576005
7072610,"16810 NE Couch Ct # T, Portland, OR 97230 ",219880.25,126000,93880.25,1270.7156982421875,0.12102053881448413
4832056,"12250 SE Ellis St, Portland, OR 97236 ",233697.078125,140000,93697.078125,1234.9718017578125,0.10585472935267858
7346383,"3804 SE 33rd Pl, Portland, OR 97202 ",308462.90625,214900,93562.90625,1464.404296875,0.08177222690786412
7087734,"7115 SE Sherrett St, Portland, OR 97206 ",190869.578125,97500,93369.578125,4170.16015625,0.5132504807692307
4833989,"14036 SE Bush St, Portland, OR 97236 ",252719.34375,159900,92819.34375,1591.1082763671875,0.11940774751797999
3946181,"23906 NW Saint Helens Rd # L02, Portland, OR 97231 ",212374.828125,120000,92374.828125,1668.8245849609375,0.16688245442708333
7087973,"7225 SE Tenino St, Portland, OR 97206 ",198543.109375,106500,92043.109375,933.780029296875,0.10521465118838028
7348971,"5209 SE 18th Ave, Portland, OR 97202 ",240841.84375,149000,91841.84375,1917.810791015625,0.1544545669043624
7349351,"5735 SE 23rd Ave, Portland, OR 97202 ",286182.1875,197000,89182.1875,1594.2635498046875,0.09711249801713198
