Address,Neighborhood,Bedrooms,Bathrooms,Price,Sqft,Term,Rented,Date,Source,URL
539 Octavia Street #9,Hayes Valley,0,1,1500,180,,TRUE,3/18/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-9/
539 Octavia Street #11,Hayes Valley,0,1,1600,200,,TRUE,3/30/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-11/
539 Octavia Street #14,Hayes Valley,0,1,1850,221,,TRUE,5/14/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-14/
539 Octavia Street #12,Hayes Valley,0,1,1800,240,,TRUE,4/16/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-12/
539 Octavia Street #13,Hayes Valley,0,1,1995,280,,TRUE,2/1/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-13/
539 Octavia Street #4,Hayes Valley,0,1,1950,300,,TRUE,2/16/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-4/
539 Octavia Street #17,Hayes Valley,0,1,2375,322,,TRUE,1/27/2015,Climb SF,http://www.climbsf.com/for-rent/539-octavia-st-17/
"8 Locksley Ave San Francisco, CA 94122",Forest Knolls,0,1,2885,332,,FALSE,6/13/2015,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=4~3891493315129584962~KY2hfqMPOUFF9geKI7bvP1urKMIxXw_R_KKGjQ8jslwi488yCp2jd07bCFmlvAhpjU3XAH0Oz-Q6dn7HLRWcR8i1eRxw4CPyniDOuar86liVn1_kwVB-07L7z5sa0IdEgVTvFFnbf30h8VaeRZbGeSX_IqgD3FIW80MMMSOk9Z2P-3hZWZ-1syDISFb2HVPLcMiTNyWMeG53ytbBOaiDBiAf5i18HPerQJLej_biSfe5dzDnc1fjp3SQn9IbXMVDyAC73ze9zW4nV2Te5kjq8AFoyPLIgEM5GPHxwLg1gaT12AQ5D7c0E5kvm4yU2MQR0own5z6s8FzFwzP1KIClTQ==&rwebid=23020304&rhost
"8 Locksley Ave San Francisco, CA 94122",Forest Knolls,0,1,2885,332,,FALSE,4/17/2015,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=4~3891493315129584962~KY2hfqMPOUFF9geKI7bvP1urKMIxXw_R_KKGjQ8jslwi488yCp2jd07bCFmlvAhpjU3XAH0Oz-Q6dn7HLRWcR8i1eRxw4CPyniDOuar86liVn1_kwVB-07L7z5sa0IdEgVTvFFnbf30h8VaeRZbGeSX_IqgD3FIW80MMMSOk9Z2P-3hZWZ-1syDISFb2HVPLcMiTNyWMeG53ytbBOaiDBiAf5i18HPerQJLej_biSfe5dzDnc1fjp3SQn9IbXMVDyAC73ze9zW4nV2Te5kjq8AFoyPLIgEM5GPHxwLg1gaT12AQ5D7c0E5kvm4yU2MQR0own5z6s8FzFwzP1KIClTQ==&rwebid=23020304&rhost
"965 Sutter St San Francisco, CA 94109",Downtown,0,1,2550,371,,FALSE,3/22/2015,Zillow,http://www.zillow.com/AjaxRender.htm?encparams=7~2917851894341697960~0xUbeTASJmdAbCKcDI3Q7vVCBSfYQMSbtIaF3UPvJo1XoHyuL0l_F92CvrpCPE4gQnGmxtvzRvFxjryw9VIRsyu6gQGKAvRx7eB9bsn3FpwMBAdnBwrCML2Y066Lgk-2fe4OSYhnrSCCtUMTMMl3onQHiwzt79HHZY0t5MddZ2S-Q3Wm-CoCODTfHSbaddQeFo12lqDSe-LsAEZpBH8T4LqGAQtO78SHNDeupZX0xRp6bXFkR2gpbxk3vcglAW1lnkCMGAi-XLmYO2pu00P8NcOofD4H1A7KiBOAfklhQxvK0g3-6H2ZCGxf8yK49ZAQMIzRObzpEev03ERBlOTx2A==&rwebid=23160043&rhost
