property_id,transaction_log_id,id,address,neighborhood,bedrooms,bathrooms,sqft,source,origin_url,created_at,updated_at,latitude,longitude,elevation,lookup_address,id_1,price,transaction_status,date_listed,date_closed,days_on_market,created_at_1,updated_at_1,property_id_1,transaction_type
1,1,1,567 Vallejo Street #PH500,San Francisco (North Beach),3,3,2081,climbsf_renting,http://www.climbsf.com/for-rent/567-vallejo-st-ph500/,2015-07-26 02:11:30,2015-08-02 16:25:55,37.8061,-122.41,5.11669,"567 Vallejo Street #PH500, San Francisco (North Beach)",1,12000,open,2015-07-25,,,2015-07-26 02:11:42,2015-07-26 02:11:42,1,rental
2,2,2,252 Granada Avenue,San Francisco (Ingleside),2,2,1600,climbsf_renting,http://www.climbsf.com/for-rent/252-granada-ave/,2015-07-26 02:11:30,2015-08-02 16:25:57,37.723,-122.457,93.974,"252 Granada Avenue, San Francisco (Ingleside)",2,3950,open,2015-07-25,,,2015-07-26 02:11:44,2015-07-26 02:11:44,2,rental
3,3,3,460 Valley Street,San Francisco (Noe Valley),2,2,1446,climbsf_renting,http://www.climbsf.com/for-rent/460-valley-st/,2015-07-26 02:11:31,2015-08-02 16:25:58,37.7444,-122.433,99.0145,"460 Valley Street, San Francisco (Noe Valley)",3,5400,open,2015-07-25,,,2015-07-26 02:11:45,2015-07-26 02:11:45,3,rental
4,4,4,333 Fremont Street #705,San Francisco (South Beach),1,1,0,climbsf_renting,http://www.climbsf.com/for-rent/333-fremont-st-705/,2015-07-26 02:11:31,2015-08-02 16:26:00,37.7877,-122.393,11.0817,"333 Fremont Street #705, San Francisco (South Beach)",4,3600,open,2015-07-25,,,2015-07-26 02:11:46,2015-07-26 02:11:46,4,rental
5,5,5,420 Mission Bay Boulevard North #121,San Francisco (Mission Bay),1,1,980,climbsf_renting,http://www.climbsf.com/for-rent/420-mission-bay-blvd-n-121/,2015-07-26 02:11:32,2015-08-02 16:26:02,37.7712,-122.388,2.25164,"420 Mission Bay Boulevard North #121, San Francisco (Mission Bay)",5,3975,open,2015-07-25,,,2015-07-26 02:11:47,2015-07-26 02:11:47,5,rental
6,6,6,325 Berry Street #520,San Francisco (Mission Bay),2,2,0,climbsf_renting,http://www.climbsf.com/for-rent/325-berry-st-520/,2015-07-26 02:11:32,2015-08-02 16:26:04,37.7736,-122.396,2.45283,"325 Berry Street #520, San Francisco (Mission Bay)",6,5600,open,2015-07-25,,,2015-07-26 02:11:48,2015-07-26 02:11:48,6,rental
7,7,7,199 New Montgomery Street #402,San Francisco (Yerba Buena),2,2,0,climbsf_renting,http://www.climbsf.com/for-rent/199-new-montgomery-st-402/,2015-07-26 02:11:33,2015-08-02 16:26:05,37.7866,-122.399,7.5217,"199 New Montgomery Street #402, San Francisco (Yerba Buena)",7,4500,open,2015-07-25,,,2015-07-26 02:11:50,2015-07-26 02:11:50,7,rental
8,8,8,1160 Mission Street #1112,San Francisco (SOMA),1,1,664,climbsf_renting,http://www.climbsf.com/for-rent/1160-mission-st-1112/,2015-07-26 02:11:33,2015-08-02 16:26:07,37.7784,-122.412,12.0417,"1160 Mission Street #1112, San Francisco (SOMA)",8,3750,closed,2015-07-25,2015-08-11,0,2015-07-26 02:11:51,2015-08-16 21:29:11,8,rental
9,9,9,555 Bartlett Street #409,San Francisco (Inner Mission),2,2,0,climbsf_renting,http://www.climbsf.com/for-rent/555-bartlett-st-409/,2015-07-26 02:11:34,2015-08-02 16:26:09,37.7484,-122.419,29.7804,"555 Bartlett Street #409, San Francisco ",9,4600,closed,2015-07-25,2015-08-11,0,2015-07-26 02:11:52,2015-08-16 21:29:11,9,rental
10,10,10,655 Fifth Street #12,San Francisco (SOMA),1,2,0,climbsf_renting,http://www.climbsf.com/for-rent/655-5th-st-12/,2015-07-26 02:11:35,2015-08-02 16:26:10,37.7759,-122.398,2.73163,"655 Fifth Street #12, San Francisco (SOMA)",10,3800,closed,2015-07-25,2015-08-12,0,2015-07-26 02:11:53,2015-08-16 21:29:11,10,rental
