,address,ypred,list,gain-loss,rent,cap rate
7325928,"3950 W Belle Pl, Saint Louis, MO 63108 ",289734.875,209900,79834.875,5854.50390625,0.33470246248213437
7329025,"726 N Newstead Ave, Saint Louis, MO 63108 ",145761.484375,89900,55861.484375,608.4190673828125,0.08121277873852892
2950976,"6806 W Florissant Ave, Saint Louis, MO 63136 ",107400.1015625,60900,46500.1015625,3453.8818359375,0.6805678494458128
2951411,"7230 W Florissant Ave, Saint Louis, MO 63136 ",96779.421875,60000,36779.421875,-2251.7021484375,-0.4503404296875
7309544,"3710 N 25th St, Saint Louis, MO 63107 ",108619.484375,75000,33619.484375,27855.791015625,4.456926666666667
2950015,"5423 Fletcher St, Saint Louis, MO 63136 ",89418.234375,59700,29718.234375,12013.8203125,2.414838253768844
2949798,"38 Westdell Dr, Saint Louis, MO 63136 ",89418.234375,59900,29518.234375,18387.333984375,3.6836060100166943
2949756,"3112 Somerset Green Ct, Saint Louis, MO 63136 ",91232.6796875,62000,29232.6796875,-1738.3907470703125,-0.33646273311491937
2949863,"5227 Hamilton Ave, Jennings, MO 63136 ",81756.1875,54000,27756.1875,14654.6728515625,3.2565940393518518
2949845,"5215 Mimika Ave, Saint Louis, MO 63136 ",81756.1875,54000,27756.1875,-1738.3907470703125,-0.38630906394675923
2949779,"35 Watson Mill Ct, Saint Louis, MO 63136 ",84897.1953125,57500,27397.1953125,-1738.3907470703125,-0.36279459918478263
2949787,"36 Westdell Dr, Saint Louis, MO 63136 ",79245.1796875,52000,27245.1796875,-1738.3907470703125,-0.40116710486778845
2949742,"3035 Canfield Dr, Saint Louis, MO 63136 ",79245.1796875,53000,26245.1796875,-1738.3907470703125,-0.39359791420990564
2949690,"2826 Glade Ave, Jennings, MO 63136 ",85032.890625,59000,26032.890625,-2260.55712890625,-0.4597743313029661
2951279,"7157 Garescheave, St Louis, MO 63136 ",85903.171875,59900,26003.171875,-1738.3907470703125,-0.34825858853297165
2949673,"28 Somerset Terrace Ct, Saint Louis, MO 63136 ",84897.1953125,59000,25897.1953125,-178.826171875,-0.03637142478813559
2950705,"5748 Floy Ave, Saint Louis, MO 63136 ",79245.1796875,53500,25745.1796875,-5372.751953125,-1.20510324182243
2951041,"7032 Greenhaven Dr, Saint Louis, MO 63136 ",81756.1875,56250,25506.1875,-2260.55712890625,-0.4822521875
7310101,"4018 N 25th St, Saint Louis, MO 63107 ",98733.3046875,74000,24733.3046875,25801.978515625,4.18410472972973
2949713,"2915 Gladeave, St Louis, MO 63136 ",89418.234375,65000,24418.234375,-1738.3907470703125,-0.32093368389423077
2949500,"2586 Westfall Ln, Saint Louis, MO 63136 ",91232.6796875,68000,23232.6796875,-3813.68701171875,-0.6730035615808824
2949604,"2641 Garham Dr, Saint Louis, MO 63136 ",80190.796875,57000,23190.796875,-2354.34423828125,-0.4956514185855263
2949520,"2603 High Ridge Ave, Jennings, MO 63136 ",76186.3984375,53000,23186.3984375,-3291.5205078125,-0.7452499262971698
2949480,"2571 Burchard Dr, Saint Louis, MO 63136 ",85032.890625,62300,22732.890625,-3813.68701171875,-0.7345785262841091
2949489,"2578 Westfall Ln, Saint Louis, MO 63136 ",84897.1953125,62900,21997.1953125,-1738.3907470703125,-0.3316484809717806
2949444,"2553 Center Ave, Jennings, MO 63136 ",81756.1875,59900,21856.1875,-1738.3907470703125,-0.34825858853297165
2949479,"2570 Westfall Ln, Saint Louis, MO 63136 ",91232.6796875,70000,21232.6796875,-4850.5859375,-0.8315290178571428
2949813,"4869 Norwich Pl, Saint Louis, MO 63136 ",75420.703125,54800,20620.703125,-1832.1776123046875,-0.4012067675068431
2949833,"52 Jendale Ct, Jennings, MO 63136 ",75420.703125,54900,20520.703125,-3291.5205078125,-0.7194580344945355
2949695,"2835 Solway Ave, Jennings, MO 63136 ",79245.1796875,59000,20245.1796875,-211.2095947265625,-0.04295788367319915
2950798,"6 Somerset Terrace Ct, Saint Louis, MO 63136 ",91232.6796875,71100,20132.6796875,-4850.5859375,-0.8186642932489452
2950622,"5717 Pamplin Pl, Saint Louis, MO 63136 ",70320.875,50420,19900.875,-4850.5859375,-1.1544433012693376
