,address,ypred,list,gain-loss,url,rent,cap rate
4823969,"7397 Alamo Ranch Avenue Renting Only Please # 0, Las Vegas, NV 89179 ",278660.25,100000,178660.25,http://www.zillow.com/homedetails/7397-Alamo-Ranch-Avenue-Renting-Only-Please-0-Las-Vegas-NV-89179/2096153802_zpid/,3734.445556640625,0.4481334765625
1887956,"4927 Chest Park Ave, Las Vegas, NV 89131 ",346308.8125,259000,87308.8125,https://www.zillow.com/homedetails/4927-Chest-Park-Ave-Las-Vegas-NV-89131/94709478_zpid/,7487.9892578125,0.3469338803088803
1918430,"3127 Lido Isle Ct, Las Vegas, NV 89117 ",321747.25,244900,76847.25,https://www.zillow.com/homedetails/3127-Lido-Isle-Ct-Las-Vegas-NV-89117/7116136_zpid/,5396.5859375,0.2644305073499387
1952292,"8317 Spanish Meadows Ave, Las Vegas, NV 89131 ",327476.375,260000,67476.375,https://www.zillow.com/homedetails/8317-Spanish-Meadows-Ave-Las-Vegas-NV-89131/55105578_zpid/,5615.33154296875,0.259169140625
7378475,"76 Lupin Ct, Las Vegas, NV 89110 ",142521.296875,78000,64521.296875,https://www.zillow.com/homedetails/76-Lupin-Ct-Las-Vegas-NV-89110/7037533_zpid/,3731.683837890625,0.574105218349359
1892549,"8436 Justine Ct, Las Vegas, NV 89128 ",303747.34375,245000,58747.34375,https://www.zillow.com/homedetails/8436-Justine-Ct-Las-Vegas-NV-89128/6937281_zpid/,9226.7412109375,0.4519220025510204
1911417,"7108 Powderhorn Cir, Las Vegas, NV 89128 ",272227.3125,214000,58227.3125,http://www.zillow.com/homedetails/7108-Powderhorn-Cir-Las-Vegas-NV-89128/6964176_zpid/,5289.04443359375,0.29658192172897196
1918923,"9577 World Cup Dr, Las Vegas, NV 89117 ",331953.71875,275888,56065.71875,https://www.zillow.com/homedetails/9577-World-Cup-Dr-Las-Vegas-NV-89117/7111549_zpid/,6025.396484375,0.26208011153982774
5114212,"6445 Melody Rose Ave, Las Vegas, NV 89108 ",147450.234375,98000,49450.234375,https://www.zillow.com/homedetails/6445-Melody-Rose-Ave-Las-Vegas-NV-89108/6952694_zpid/,5336.37841796875,0.6534340720663265
2037855,"8028 Desire Ave, Las Vegas, NV 89128 ",182953.8125,135000,47953.8125,http://www.zillow.com/homedetails/8028-Desire-Ave-Las-Vegas-NV-89128/6966006_zpid/,4498.607421875,0.3998762152777778
3476443,"213 Orchid Dr, Las Vegas, NV 89107 ",142367.515625,95000,47367.515625,http://www.zillow.com/homedetails/213-Orchid-Dr-Las-Vegas-NV-89107/7010249_zpid/,13794.08203125,1.7424103618421052
3415081,"3136 Hartford Ct, Las Vegas, NV 89102 ",116846.4375,74000,42846.4375,https://www.zillow.com/homedetails/3136-Hartford-Ct-Las-Vegas-NV-89102/7084522_zpid/,5118.7109375,0.8300612331081081
1912302,"6201 Dartle St, Las Vegas, NV 89130 ",411463.5,369900,41563.5,https://www.zillow.com/homedetails/6201-Dartle-St-Las-Vegas-NV-89130/6896173_zpid/,1202.1353759765625,0.03899871586915383
1888167,"5859 Gushing Spring Ave, Las Vegas, NV 89131 ",363556.96875,325000,38556.96875,https://www.zillow.com/homedetails/5859-Gushing-Spring-Ave-Las-Vegas-NV-89131/55205233_zpid/,1430.138427734375,0.052805108173076924
