,address,ypred,list,gain-loss,gain-loss%,days_pred,url
5063506,"7627 Alperton Dr, Houston, TX 77088 ",186142.234375,135900,50242.234375,0.3697000321927888,44.50293731689453,https://www.zillow.com/homedetails/7627-Alperton-Dr-Houston-TX-77088/28261539_zpid/
7433485,"20012 Heyden St, Detroit, MI 48219 ",90336.6328125,54900,35436.6328125,0.6454760075136612,63.78787612915039,https://www.zillow.com/homedetails/20012-Heyden-St-Detroit-MI-48219/88310942_zpid/
7437157,"2217 W Lupine Ave, Phoenix, AZ 85029 ",156147.84375,126000,30147.84375,0.2392686011904761,192.21205139160156,https://www.zillow.com/homedetails/2217-W-Lupine-Ave-Phoenix-AZ-85029/7748061_zpid/
2533476,"18441 Glastonbury Rd, Detroit, MI 48219 ",85250.6953125,69900,15350.6953125,0.2196093750000001,105.81443786621094,https://www.zillow.com/homedetails/18441-Glastonbury-Rd-Detroit-MI-48219/88183187_zpid/
7481299,"8833 S 51st St, Phoenix, AZ 85044 ",228388.171875,222500,5888.171875,0.026463693820224732,181.5021209716797,https://www.zillow.com/homedetails/8833-S-51st-St-Phoenix-AZ-85044/2095487721_zpid/
4209383,"2775 N Desert Ave, Tucson, AZ 85712 ",133974.484375,135000,-1025.515625,-0.0075964120370370924,82.58302307128906,https://www.zillow.com/homedetails/2775-N-Desert-Ave-Tucson-AZ-85712/71675607_zpid/
3492999,"6464 Sapphire St, Las Vegas, NV 89108 ",88793.65625,90000,-1206.34375,-0.013403819444444465,158.74505615234375,https://www.zillow.com/homedetails/6464-Sapphire-St-Las-Vegas-NV-89108/81824305_zpid/
7380264,"19818 N Zion Dr, Sun City West, AZ 85375 ",160209.09375,162000,-1790.90625,-0.011054976851851861,76.2861328125,https://www.zillow.com/homedetails/19818-N-Zion-Dr-Sun-City-West-AZ-85375/8107552_zpid/
7462219,"5606 Arncliffe Dr, Houston, TX 77088 ",132890.15625,145000,-12109.84375,-0.08351616379310345,25.77889633178711,https://www.zillow.com/homedetails/5606-Arncliffe-Dr-Houston-TX-77088/28170521_zpid/
9715,"7814 E Rovey Ave, Scottsdale, AZ 85250 ",136826.546875,161900,-25073.453125,-0.15487000077208157,80.09666442871094,https://www.zillow.com/homedetails/7814-E-Rovey-Ave-Scottsdale-AZ-85250/7857178_zpid/
6776810,"6633 Miners Hope Dr, Las Vegas, NV 89108 ",123917.3671875,149800,-25882.6328125,-0.17278126043057407,90.81437683105469,https://www.zillow.com/homedetails/6633-Miners-Hope-Dr-Las-Vegas-NV-89108/6960264_zpid/
398926,"915 W Mercer Ln, Phoenix, AZ 85029 ",124249.046875,157000,-32750.953125,-0.20860479697452228,38.63328170776367,https://www.zillow.com/homedetails/915-W-Mercer-Ln-Phoenix-AZ-85029/7785153_zpid/
498244,"6903 W Vernon Ave, Phoenix, AZ 85035 ",81551.703125,117000,-35448.296875,-0.30297689636752134,84.30410766601562,https://www.zillow.com/homedetails/6903-W-Vernon-Ave-Phoenix-AZ-85035/7475532_zpid/
7441430,"6426 Little Pine Way, Las Vegas, NV 89108 ",70526.5546875,106000,-35473.4453125,-0.3346551444575472,155.15171813964844,https://www.zillow.com/homedetails/6426-Little-Pine-Way-Las-Vegas-NV-89108/6952528_zpid/
7390507,"26614 S Howard Dr, Sun Lakes, AZ 85248 ",239088.078125,274900,-35811.921875,-0.1302725422881048,71.0171890258789,https://www.zillow.com/homedetails/26614-S-Howard-Dr-Sun-Lakes-AZ-85248/8221682_zpid/
1858109,"19227 N Conquistador Dr, Sun City West, AZ 85375 ",146420.203125,182500,-36079.796875,-0.19769751712328765,77.04553985595703,https://www.zillow.com/homedetails/19227-N-Conquistador-Dr-Sun-City-West-AZ-85375/8110600_zpid/
1918430,"3127 Lido Isle Ct, Las Vegas, NV 89117 ",206094.59375,242900,-36805.40625,-0.15152493310004111,89.55638885498047,https://www.zillow.com/homedetails/3127-Lido-Isle-Ct-Las-Vegas-NV-89117/7116136_zpid/
7471524,"11832 S Tonopah Dr, Phoenix, AZ 85044 ",161140.5625,200000,-38859.4375,-0.19429718750000002,251.66001892089844,https://www.zillow.com/homedetails/11832-S-Tonopah-Dr-Phoenix-AZ-85044/8148720_zpid/
7471677,"6613 Plumflower Ln, Las Vegas, NV 89108 ",39814.66015625,79000,-39185.33984375,-0.4960169600474683,149.4304656982422,https://www.zillow.com/homedetails/6613-Plumflower-Ln-Las-Vegas-NV-89108/81823859_zpid/
7421482,"2535 N 47th Dr, Phoenix, AZ 85035 ",117525.203125,157000,-39474.796875,-0.25143182722929935,64.94165802001953,https://www.zillow.com/homedetails/2535-N-47th-Dr-Phoenix-AZ-85035/7499074_zpid/
7455882,"2104 Conchita St, Las Vegas, NV 89108 ",80129.15625,119900,-39770.84375,-0.33170011467889904,155.15171813964844,https://www.zillow.com/homedetails/2104-Conchita-St-Las-Vegas-NV-89108/6954314_zpid/
