"Url","Sqft"
"http://www.climbsf.com/for-rent/239-brannan-st-14a/","NA"
"http://www.climbsf.com/for-rent/18-lansing-st-306/"," 1,444"
"http://www.climbsf.com/for-rent/333-fremont-st-708/"," 1,251"
"http://www.climbsf.com/for-rent/24-waldo-alley/"," 620"
"http://www.climbsf.com/for-rent/2-mint-plaza-805/"," 1,145"
"http://www.climbsf.com/for-rent/100-palo-alto-ave/"," 4,800"
"http://www.climbsf.com/for-rent/2101-bryant-st-205/"," 900"
"http://www.climbsf.com/for-rent/88-townsend-st-402/","NA"
"http://www.climbsf.com/for-rent/891-york-st/"," 900"
"http://www.climbsf.com/for-rent/1960-market-st-214/"," 453"
"http://www.climbsf.com/for-rent/501-beale-st-9e/"," 759"
"http://www.climbsf.com/for-rent/333-fremont-st-802/"," 706"
"http://www.climbsf.com/for-rent/1414-douglass-st/"," 1,697"
"http://www.climbsf.com/for-rent/333-fremont-st-412/"," 689"
"http://www.climbsf.com/for-rent/401-arkansas-st/","NA"
"http://www.climbsf.com/for-rent/74-new-montgomery-st-709/"," 489"
"http://www.climbsf.com/for-rent/338-spear-st-6a/","NA"
"http://www.climbsf.com/for-rent/1168-eddy-st-d4/"," 816"
"http://www.climbsf.com/for-rent/1011-23rd-st-18/","NA"
"http://www.climbsf.com/for-rent/425-1st-st-1308/"," 755"
"http://www.climbsf.com/for-rent/451-kansas-st-488/","NA"
"http://www.climbsf.com/for-rent/333-fremont-st-603/"," 670"
"http://www.climbsf.com/for-rent/18-lansing-st-102/"," 1,200"
"http://www.climbsf.com/for-rent/5800-3rd-st-1411/"," 817"
"http://www.climbsf.com/for-rent/555-4th-st-312/"," 694"
"http://www.climbsf.com/for-rent/300-berry-st-523/","NA"
"http://www.climbsf.com/for-rent/74-new-montgomery-st-309/"," 484"
"http://www.climbsf.com/for-rent/300-berry-st-1313/"," 999"
"http://www.climbsf.com/for-rent/4442-cabrillo-st/"," 1,000"
"http://www.climbsf.com/for-rent/1-hawthorne-st-16b/"," 558"
"http://www.climbsf.com/for-rent/656b-clayton-st/"," 650"
"http://www.climbsf.com/for-rent/48-rausch-st/"," 1,000"
"http://www.climbsf.com/for-rent/451-kansas-st-356/","NA"
