property_id,transaction_id,address,list,predicted_price,pnl_percent,good_sell_prob,rank,url
8953874,19984286,"27601 N 195TH Ave, Wittmann, AZ 85361 ",199900,203776.47,0.02,0.84,965.0,https://www.zillow.com/homedetails/27601-N-195TH-Ave-Wittmann-AZ-85361/8310326_zpid/
440701,17864967,"2510 N 90th Ave, Phoenix, AZ 85037 ",170000,148383.19,-0.13,0.85,976.0,https://www.zillow.com/homedetails/2510-N-90th-Ave-Phoenix-AZ-85037/7473866_zpid/
1531886,17762408,"18654 E Mazatzal Cir, Rio Verde, AZ 85263 ",202000,177569.8,-0.12,0.85,993.0,https://www.zillow.com/homedetails/18654-E-Mazatzal-Cir-Rio-Verde-AZ-85263/8081793_zpid/
8949490,17890373,"5866 S Brittany Ln, Tempe, AZ 85283 ",198000,162947.45,-0.18,0.82,1274.0,https://www.zillow.com/homedetails/5866-S-Brittany-Ln-Tempe-AZ-85283/8138197_zpid/
8948359,21666014,"286 Gompers Cir, Morristown, AZ 85342 ",125000,133137.58,0.07,0.78,1468.0,https://www.zillow.com/homedetails/286-Gompers-Cir-Morristown-AZ-85342/50204206_zpid/
7551091,17885207,"643 S 87th Way, Mesa, AZ 85208 ",104700,88902.38,-0.15,0.77,1550.0,https://www.zillow.com/homedetails/643-S-87th-Way-Mesa-AZ-85208/8072475_zpid/
7687156,13557102,"9142 E Aspen Ave, Mesa, AZ 85208 ",112000,93898.59,-0.16,0.76,1648.0,https://www.zillow.com/homedetails/9142-E-Aspen-Ave-Mesa-AZ-85208/8071675_zpid/
1349159,20713871,"5543 W Northview Ave, Glendale, AZ 85301 ",120000,123715.88,0.03,0.75,1654.0,http://www.zillow.com/homedetails/5543-W-Northview-Ave-Glendale-AZ-85301/7726422_zpid
8267850,13602397,"2001 E Catclaw St, Gilbert, AZ 85296 ",130000,125201.16,-0.04,0.76,1655.0,https://www.zillow.com/homedetails/2001-E-Catclaw-St-Gilbert-AZ-85296/8275392_zpid/
419544,17865587,"5476 W Laurie Ln, Glendale, AZ 85302 ",134900,113188.84,-0.16,0.75,1766.0,https://www.zillow.com/homedetails/5476-W-Laurie-Ln-Glendale-AZ-85302/7732696_zpid/
8945727,17747530,"8610 N 67th Dr, Peoria, AZ 85345 ",132900,110464.05,-0.17,0.74,1831.0,https://www.zillow.com/homedetails/8610-N-67th-Dr-Peoria-AZ-85345/7704727_zpid/
1559798,21457248,"687 W Navajo St, Wickenburg, AZ 85390 ",135000,115821.02,-0.14,0.73,1898.0,http://www.zillow.com/homedetails/687-W-Navajo-St-Wickenburg-AZ-85390/8315426_zpid
7500616,20687530,"8920 E Sun Lakes Blvd S, Sun Lakes, AZ 85248 ",155900,147085.69,-0.06,0.73,1916.0,https://www.zillow.com/homedetails/8920-E-Sun-Lakes-Blvd-S-Sun-Lakes-AZ-85248/8219924_zpid/
186921,13483613,"2710 E Cathedral Rock Dr, Phoenix, AZ 85048 ",150000,123177.62,-0.18,0.72,1987.0,https://www.zillow.com/homedetails/2710-E-Cathedral-Rock-Dr-Phoenix-AZ-85048/8160533_zpid/
1518375,20936187,"154 N Madison St, Wickenburg, AZ 85390 ",120000,127244.05,0.06,0.7,2049.0,http://www.zillow.com/homedetails/154-N-Madison-St-Wickenburg-AZ-85390/8316534_zpid/
1591429,19984230,"118 Peretz Cir, Morristown, AZ 85342 ",110000,91329.42,-0.17,0.7,2087.0,https://www.zillow.com/homedetails/118-Peretz-Cir-Morristown-AZ-85342/8311895_zpid/
1517947,20854860,"129 W Mohave St, Wickenburg, AZ 85390 ",120000,117895.46,-0.02,0.7,2087.0,http://www.zillow.com/homedetails/129-W-Mohave-St-Wickenburg-AZ-85390/8315407_zpid/
1591429,19984230,"118 Peretz Cir, Morristown, AZ 85342 ",110000,91329.42,-0.17,0.7,2087.0,https://www.zillow.com/homedetails/118-Peretz-Cir-Morristown-AZ-85342/8311895_zpid/
1517947,20854860,"129 W Mohave St, Wickenburg, AZ 85390 ",120000,117895.46,-0.02,0.7,2087.0,http://www.zillow.com/homedetails/129-W-Mohave-St-Wickenburg-AZ-85390/8315407_zpid/
7774687,13582333,"1727 E Wier Ave, Phoenix, AZ 85040 ",100700,91315.45,-0.09,0.7,2111.0,https://www.zillow.com/homedetails/1727-E-Wier-Ave-Phoenix-AZ-85040/7546549_zpid/
1520531,13485409,"2105 W Yucca Dr, Wickenburg, AZ 85390 ",249000,218062.73,-0.12,0.69,2223.0,https://www.zillow.com/homedetails/2105-W-Yucca-Dr-Wickenburg-AZ-85390/8314741_zpid/
1858536,21536905,"9028 E Cactus Ln S, Sun Lakes, AZ 85248 ",125000,122690.05,-0.02,0.67,2265.0,http://www.zillow.com/homedetails/9028-E-Cactus-Ln-S-Sun-Lakes-AZ-85248/8219056_zpid/
