,address,ypred,list,url
374510,"4538 E Fernwood Ct, Cave Creek, AZ 85331 ",0.636479914188385,429900,https://www.zillow.com/homedetails/4538-E-Fernwood-Ct-Cave-Creek-AZ-85331/7975525_zpid/
393646,"7034 N 28th Dr, Phoenix, AZ 85051 ",0.636479914188385,198500,https://www.zillow.com/homedetails/7034-N-28th-Dr-Phoenix-AZ-85051/7757324_zpid/
17234,"2824 W Orangewood Ave, Phoenix, AZ 85051 ",0.636479914188385,195000,https://www.zillow.com/homedetails/2824-W-Orangewood-Ave-Phoenix-AZ-85051/7755919_zpid/
334052,"6221 N 23rd Ave, Phoenix, AZ 85015 ",0.636479914188385,239220,https://www.zillow.com/homedetails/6221-N-23rd-Ave-Phoenix-AZ-85015/7773003_zpid/
891398,"3342 N Morning Star Ct, Buckeye, AZ 85396 ",0.636479914188385,383000,https://www.zillow.com/homedetails/3342-N-Morning-Star-Ct-Buckeye-AZ-85396/95169918_zpid/
881539,"23775 W La Canada Blvd, Buckeye, AZ 85396 ",0.636479914188385,225000,https://www.zillow.com/homedetails/23775-W-La-Canada-Blvd-Buckeye-AZ-85396/71626127_zpid/
744367,"3134 E Mckellips Rd UNIT 28, Mesa, AZ 85213 ",0.636479914188385,199900,https://www.zillow.com/homedetails/3134-E-Mckellips-Rd-UNIT-28-Mesa-AZ-85213/7658441_zpid/
881418,"23618 W Adams St, Buckeye, AZ 85396 ",0.636479914188385,259500,https://www.zillow.com/homedetails/23618-W-Adams-St-Buckeye-AZ-85396/71626146_zpid/
515253,"12611 W Blackstone Ln, Peoria, AZ 85383 ",0.636479914188385,360000,https://www.zillow.com/homedetails/12611-W-Blackstone-Ln-Peoria-AZ-85383/63202777_zpid/
373119,"4506 E Robin Ln, Phoenix, AZ 85050 ",0.636479914188385,575000,https://www.zillow.com/homedetails/4506-E-Robin-Ln-Phoenix-AZ-85050/7987588_zpid/
879405,"21048 W Sage Hill Rd, Buckeye, AZ 85396 ",0.636479914188385,439999,https://www.zillow.com/homedetails/21048-W-Sage-Hill-Rd-Buckeye-AZ-85396/71615644_zpid/
413343,"5925 W Poinsettia Dr, Glendale, AZ 85304 ",0.636479914188385,310000,https://www.zillow.com/homedetails/5925-W-Poinsettia-Dr-Glendale-AZ-85304/67801954_zpid/
414834,"6606 W Desert Hills Dr, Glendale, AZ 85304 ",0.636479914188385,225000,https://www.zillow.com/homedetails/6606-W-Desert-Hills-Dr-Glendale-AZ-85304/63200862_zpid/
406439,"5224 W Via Camille, Glendale, AZ 85306 ",0.636479914188385,235000,https://www.zillow.com/homedetails/5224-W-Via-Camille-Glendale-AZ-85306/8098096_zpid/
294552,"4481 N Launfal Ave, Phoenix, AZ 85018 ",0.636479914188385,1650000,https://www.zillow.com/homedetails/4481-N-Launfal-Ave-Phoenix-AZ-85018/7838724_zpid/
9715,"7814 E Rovey Ave, Scottsdale, AZ 85250 ",0.636479914188385,161900,https://www.zillow.com/homedetails/7814-E-Rovey-Ave-Scottsdale-AZ-85250/7857178_zpid/
917533,"22036 W Hadley St, Buckeye, AZ 85326 ",0.636479914188385,185000,https://www.zillow.com/homedetails/22036-W-Hadley-St-Buckeye-AZ-85326/82385935_zpid/
268282,"6701 N Scottsdale Rd LOT 32, Scottsdale, AZ 85250 ",0.636479914188385,835000,https://www.zillow.com/homedetails/6701-N-Scottsdale-Rd-LOT-32-Scottsdale-AZ-85250/7857912_zpid/
275261,"7955 E Chaparral Rd UNIT 41, Scottsdale, AZ 85250 ",0.636479914188385,415000,https://www.zillow.com/homedetails/7955-E-Chaparral-Rd-UNIT-41-Scottsdale-AZ-85250/7843904_zpid/
345246,"8513 N 13th Ave, Phoenix, AZ 85021 ",0.636479914188385,825000,https://www.zillow.com/homedetails/8513-N-13th-Ave-Phoenix-AZ-85021/60978825_zpid/
440951,"2701 N 90th Ave, Phoenix, AZ 85037 ",0.636479914188385,172000,http://www.zillow.com/homedetails/2701-N-90th-Ave-Phoenix-AZ-85037/7487909_zpid/
21613,"14813 N Skokie Ct, Phoenix, AZ 85022 ",0.636479914188385,399777,http://www.zillow.com/homedetails/14813-N-Skokie-Ct-Phoenix-AZ-85022/7964440_zpid/
337033,"14035 N 8th Pl, Phoenix, AZ 85022 ",0.636479914188385,318000,https://www.zillow.com/homedetails/14035-N-8th-Pl-Phoenix-AZ-85022/8008863_zpid/
337118,"1412 E Le Marche Ave, Phoenix, AZ 85022 ",0.636479914188385,357500,https://www.zillow.com/homedetails/1412-E-Le-Marche-Ave-Phoenix-AZ-85022/8003946_zpid/
503618,"2007 N 78th Ave, Phoenix, AZ 85035 ",0.636479914188385,170000,https://www.zillow.com/homedetails/2007-N-78th-Ave-Phoenix-AZ-85035/82823153_zpid/
255059,"316 W Kelton Ln, Phoenix, AZ 85023 ",0.636479914188385,310000,https://www.zillow.com/homedetails/316-W-Kelton-Ln-Phoenix-AZ-85023/7965798_zpid/
243523,"23416 N 25th Pl, Phoenix, AZ 85024 ",0.636479914188385,355000,https://www.zillow.com/homedetails/23416-N-25th-Pl-Phoenix-AZ-85024/81973218_zpid/
364950,"30208 N 52nd Pl, Cave Creek, AZ 85331 ",0.636479914188385,650000,https://www.zillow.com/homedetails/30208-N-52nd-Pl-Cave-Creek-AZ-85331/95122194_zpid/
