property_id,transaction_id,address,zipcode,ypred,list,url
896109,21972222,"209 N 110th Dr, Avondale, AZ 85323 ",85323,0.6084305047988892,235900,https://www.zillow.com/homedetails/209-N-110th-Dr-Avondale-AZ-85323/71611987_zpid/
435368,22104673,"2111 N 94th Gln, Phoenix, AZ 85037 ",85037,0.6062378883361816,259000,https://www.zillow.com/homedetails/2111-N-94th-Gln-Phoenix-AZ-85037/67772997_zpid/
1499722,21995148,"17904 W Maui Ln, Surprise, AZ 85388 ",85388,0.6047478318214417,249000,https://www.zillow.com/homedetails/17904-W-Maui-Ln-Surprise-AZ-85388/67778887_zpid/
524785,22076900,"9129 W Lewis Ave, Phoenix, AZ 85037 ",85037,0.6047478318214417,266000,https://www.zillow.com/homedetails/9129-W-Lewis-Ave-Phoenix-AZ-85037/67764411_zpid/
532694,22269785,"6607 S 44th Ln, Laveen, AZ 85339 ",85339,0.6044314503669739,255900,https://www.zillow.com/homedetails/6607-S-44th-Ln-Laveen-AZ-85339/67773825_zpid/
1495021,22064896,"17624 W Voltaire St, Surprise, AZ 85388 ",85388,0.6033216714859009,258400,https://www.zillow.com/homedetails/17624-W-Voltaire-St-Surprise-AZ-85388/71628775_zpid/
1494862,21814203,"17618 W Eugene Ter, Surprise, AZ 85388 ",85388,0.6033216714859009,248900,https://www.zillow.com/homedetails/17618-W-Eugene-Ter-Surprise-AZ-85388/71631155_zpid/
1492760,21797808,"17510 W Maui Ln, Surprise, AZ 85388 ",85388,0.6033216714859009,250000,https://www.zillow.com/homedetails/17510-W-Maui-Ln-Surprise-AZ-85388/67768959_zpid/
1528056,21923776,"10912 N 162nd Ln, Surprise, AZ 85379 ",85379,0.6033216714859009,239900,https://www.zillow.com/homedetails/10912-N-162nd-Ln-Surprise-AZ-85379/71609297_zpid/
7385686,21957409,"17198 W Ashley Dr, Goodyear, AZ 85338 ",85338,0.6031807661056519,268999,https://www.zillow.com/homedetails/17198-W-Ashley-Dr-Goodyear-AZ-85338/64440721_zpid/
524890,22104506,"9133 W Vernon Ave, Phoenix, AZ 85037 ",85037,0.6031615138053894,249900,https://www.zillow.com/homedetails/9133-W-Vernon-Ave-Phoenix-AZ-85037/67764436_zpid/
881444,22019835,"23724 W Adams St, Buckeye, AZ 85396 ",85396,0.6023704409599304,266900,https://www.zillow.com/homedetails/23724-W-Adams-St-Buckeye-AZ-85396/71626117_zpid/
7540218,21898188,"17027 W Hammond St, Goodyear, AZ 85338 ",85338,0.6021251678466797,268500,https://www.zillow.com/homedetails/17027-W-Hammond-St-Goodyear-AZ-85338/88787155_zpid/
8955864,22104663,"5611 W Maldonado Rd, Laveen, AZ 85339 ",85339,0.6019654870033264,264000,https://www.zillow.com/homedetails/5611-W-Maldonado-Rd-Laveen-AZ-85339/67764799_zpid/
