property_id,transaction_id,address,zipcode,ypred,list,url,lat,long,date_listed,transaction_date
930303,20703245,"24813 W Durango St, Buckeye, AZ 85326 ",85326,0.8912070989608765,52000,http://www.zillow.com/homedetails/24813-W-Durango-St-Buckeye-AZ-85326/8314520_zpid,33.4276,-112.585,2010-07-15,2010-07-15
933875,22707024,"25579 W Northern Lights Way, Buckeye, AZ 85326 ",85326,0.72098708152771,215000,https://www.zillow.com/homedetails/25579-W-Northern-Lights-Way-Buckeye-AZ-85326/60997636_zpid/,33.3844,-112.601,2017-09-22,2017-09-22
679392,22695008,"8503 E Keats Ave, Mesa, AZ 85209 ",85209,0.7194715738296509,245000,https://www.zillow.com/homedetails/8503-E-Keats-Ave-Mesa-AZ-85209/60050816_zpid/,33.3774,-111.65100000000001,2017-09-20,2017-09-20
9021177,23755425,"206 E Maricopa Rd, Buckeye, AZ 85326 ",85326,0.715486466884613,57500,https://www.zillow.com/homedetails/206-E-Maricopa-Rd-Buckeye-AZ-85326/2092372167_zpid/,33.3848,-112.58,2017-10-18,2017-10-18
192659,23798591,"2235 W Burgess Ln, Phoenix, AZ 85041 ",85041,0.7135042548179626,229900,https://www.zillow.com/homedetails/2235-W-Burgess-Ln-Phoenix-AZ-85041/59269643_zpid/,33.3892,-112.10700000000001,2017-09-25,2017-09-25
934139,22626862,"25610 W Red Sky Pl, Buckeye, AZ 85326 ",85326,0.711463451385498,218000,https://www.zillow.com/homedetails/25610-W-Red-Sky-Pl-Buckeye-AZ-85326/60997726_zpid/,33.3819,-112.601,2017-09-05,2017-09-05
1190875,22681257,"564 W Orchard Way, Gilbert, AZ 85233 ",85233,0.7110374569892883,222900,https://www.zillow.com/homedetails/564-W-Orchard-Way-Gilbert-AZ-85233/8174530_zpid/,33.3525,-111.802,2017-09-13,2017-09-13
910573,22706964,"136 S 230th Dr, Buckeye, AZ 85326 ",85326,0.7098779678344727,239900,https://www.zillow.com/homedetails/136-S-230th-Dr-Buckeye-AZ-85326/67801665_zpid/,33.446,-112.54700000000001,2017-09-21,2017-09-21
8928193,22707057,"721 S 223rd Dr, Buckeye, AZ 85326 ",85326,0.709762692451477,165000,https://www.zillow.com/homedetails/721-S-223rd-Dr-Buckeye-AZ-85326/67787068_zpid/,33.4404,-112.531,2017-09-22,2017-09-22
937071,22621194,"25858 W Pleasant Ln, Buckeye, AZ 85326 ",85326,0.7090460658073425,210000,https://www.zillow.com/homedetails/25858-W-Pleasant-Ln-Buckeye-AZ-85326/71610647_zpid/,33.3914,-112.60700000000001,2017-09-03,2017-09-03
9019188,22732337,"7507 S 12th Ave, Phoenix, AZ 85041 ",85041,0.707487165927887,235732,https://www.zillow.com/homedetails/7507-S-12th-Ave-Phoenix-AZ-85041/95161575_zpid/,33.3783,-112.087,2017-09-30,2017-09-30
193092,23512160,"2336 W Fawn Dr, Phoenix, AZ 85041 ",85041,0.707487165927887,246900,https://www.zillow.com/homedetails/2336-W-Fawn-Dr-Phoenix-AZ-85041/81997525_zpid/,33.3757,-112.111,2017-09-28,2017-09-28
926829,22709179,"23761 W La Salle St, Buckeye, AZ 85326 ",85326,0.7071910500526428,175000,https://www.zillow.com/homedetails/23761-W-La-Salle-St-Buckeye-AZ-85326/82828886_zpid/,33.3973,-112.56200000000001,2017-09-22,2017-09-22
196550,22714145,"3717 W Nancy Ln, Phoenix, AZ 85041 ",85041,0.705786943435669,209000,https://www.zillow.com/homedetails/3717-W-Nancy-Ln-Phoenix-AZ-85041/67774261_zpid/,33.3894,-112.139,2017-09-25,2017-09-25
9019013,22730232,"898 S 242nd Ln, Buckeye, AZ 85326 ",85326,0.7055317759513855,214900,https://www.zillow.com/homedetails/898-S-242nd-Ln-Buckeye-AZ-85326/67797697_zpid/,33.4382,-112.572,2017-09-28,2017-09-28
1264136,22731232,"2870 E Megan St, Gilbert, AZ 85295 ",85295,0.704780101776123,245000,https://www.zillow.com/homedetails/2870-E-Megan-St-Gilbert-AZ-85295/71618739_zpid/,33.3209,-111.728,2017-09-29,2017-09-29
429812,23796734,"10750 W Coolidge St, Phoenix, AZ 85037 ",85037,0.7041517496109009,215000,https://www.zillow.com/homedetails/10750-W-Coolidge-St-Phoenix-AZ-85037/81982882_zpid/,33.5037,-112.292,2017-09-18,2017-09-18
431469,22724416,"10929 W Taft St, Phoenix, AZ 85037 ",85037,0.7041517496109009,229000,https://www.zillow.com/homedetails/10929-W-Taft-St-Phoenix-AZ-85037/81974726_zpid/,33.5045,-112.295,2017-09-27,2017-09-27
429776,22703731,"10740 W Taft St, Phoenix, AZ 85037 ",85037,0.7041517496109009,209000,https://www.zillow.com/homedetails/10740-W-Taft-St-Phoenix-AZ-85037/81977416_zpid/,33.5043,-112.292,2017-09-20,2017-09-20
432087,22704087,"11018 W Elm St, Phoenix, AZ 85037 ",85037,0.7041517496109009,223000,https://www.zillow.com/homedetails/11018-W-Elm-St-Phoenix-AZ-85037/95185302_zpid/,33.5054,-112.29700000000001,2017-09-20,2017-09-20
