property_id,transaction_id,address,zipcode,ypred,list,url,lat,long,date_listed,transaction_date
8987246,23839497,"5830 E Calle Mexico, Guadalupe, AZ 85283 ",85283,0.005414511153306797,210000,https://www.zillow.com/homedetails/5830-E-Calle-Mexico-Guadalupe-AZ-85283/8138359_zpid/,33.366,-111.959,2017-11-09,2017-11-09
9024660,23854853,"20 Hillside Dr, Saint Johns, AZ 85936 ",85936,0.0025914450495822298,64900,https://www.zillow.com/homedetails/20-Hillside-Dr-Saint-Johns-AZ-85936/7354311_zpid/,33.6469,-112.059,2017-12-14,2017-12-14
1374907,23793911,"9008 W Nicolet Ave, Glendale, AZ 85305 ",85305,0.001728443857669319,231798,https://www.zillow.com/homedetails/9008-W-Nicolet-Ave-Glendale-AZ-85305/95082341_zpid/,33.5415,-112.25299999999999,2017-02-23,2017-02-23
8991893,23837557,"9352 W Jefferson St, Tolleson, AZ 85353 ",85353,0.0014944694404503208,229900,https://www.zillow.com/homedetails/9352-W-Jefferson-St-Tolleson-AZ-85353/7460100_zpid/,33.4464,-112.26100000000001,2017-11-20,2017-11-20
321622,23854312,"519 N 21st Pl, Phoenix, AZ 85006 ",85006,0.0014659617857013252,175000,https://www.zillow.com/homedetails/519-N-21st-Pl-Phoenix-AZ-85006/7528475_zpid/,33.4547,-112.036,2017-12-13,2017-12-13
391111,23854270,"4056 W Camino Acequia, Phoenix, AZ 85051 ",85051,0.0014293749571031317,236000,https://www.zillow.com/homedetails/4056-W-Camino-Acequia-Phoenix-AZ-85051/7745951_zpid/,33.5776,-112.145,2017-12-14,2017-12-14
8959309,23803780,"4201 W Mission Ln, Phoenix, AZ 85051 ",85051,0.001356359356844181,219000,https://www.zillow.com/homedetails/4201-W-Mission-Ln-Phoenix-AZ-85051/7746195_zpid/,33.5703,-112.149,2017-10-19,2017-10-19
390730,22745703,"4032 W North Ln, Phoenix, AZ 85051 ",85051,0.0012938094760086454,195000,https://www.zillow.com/homedetails/4032-W-North-Ln-Phoenix-AZ-85051/7746045_zpid/,33.5817,-112.146,2017-10-08,2017-10-08
364303,22743539,"9353 W Taylor St, Tolleson, AZ 85353 ",85353,0.0012766098332533356,99000,https://www.zillow.com/homedetails/9353-W-Taylor-St-Tolleson-AZ-85353/7477007_zpid/,33.4524,-112.26100000000001,2017-10-07,2017-10-07
390775,23814136,"4034 W Hatcher Rd, Phoenix, AZ 85051 ",85051,0.0012413083512321896,225000,https://www.zillow.com/homedetails/4034-W-Hatcher-Rd-Phoenix-AZ-85051/7746477_zpid/,33.5721,-112.147,2017-10-29,2017-10-29
388107,23830843,"3813 W Townley Ave, Phoenix, AZ 85051 ",85051,0.0011784499247417225,225000,https://www.zillow.com/homedetails/3813-W-Townley-Ave-Phoenix-AZ-85051/7754216_zpid/,33.5645,-112.141,2017-11-10,2017-11-10
1410517,21990149,"7108 N 73rd Dr, Glendale, AZ 85303 ",85303,0.0011388128576792758,229000,https://www.zillow.com/homedetails/7108-N-73rd-Dr-Glendale-AZ-85303/82823489_zpid/,33.5387,-112.21700000000001,2017-05-16,2017-05-16
1416084,23849882,"7583 W Krall St, Glendale, AZ 85303 ",85303,0.0011300354014310576,220000,https://www.zillow.com/homedetails/7583-W-Krall-St-Glendale-AZ-85303/7463213_zpid/,33.5346,-112.22200000000001,2017-12-07,2017-12-07
43124,23755414,"7301 W Payson Rd, Phoenix, AZ 85043 ",85043,0.0011107871240199337,195000,https://www.zillow.com/homedetails/7301-W-Payson-Rd-Phoenix-AZ-85043/60975135_zpid/,33.4225,-112.21700000000001,2017-10-18,2017-10-18
9019605,22737585,"9213 W Fillmore St, Tolleson, AZ 85353 ",85353,0.001101469468198191,195000,https://www.zillow.com/homedetails/9213-W-Fillmore-St-Tolleson-AZ-85353/7476932_zpid/,33.4532,-112.258,2017-10-04,2017-10-04
9021965,23836959,"1 S 95th Ave, Tolleson, AZ 85353 ",85353,0.001091480403128224,74000,https://www.zillow.com/homedetails/1-S-95th-Ave-Tolleson-AZ-85353/7460084_zpid/,33.4471,-112.264,2017-11-16,2017-11-16
379250,23806503,"2622 W Northview Ave, Phoenix, AZ 85051 ",85051,0.0010527679110675775,169900,https://www.zillow.com/homedetails/2622-W-Northview-Ave-Phoenix-AZ-85051/7779483_zpid/,33.5439,-112.115,2017-10-25,2017-10-25
479646,23848674,"2215 N 58th Dr, Phoenix, AZ 85035 ",85035,0.0010440570670659651,199000,https://www.zillow.com/homedetails/2215-N-58th-Dr-Phoenix-AZ-85035/7492426_zpid/,33.4717,-112.185,2017-12-01,2017-12-01
379293,23843863,"2626 W Northview Ave, Phoenix, AZ 85051 ",85051,0.0010183170801573754,134900,https://www.zillow.com/homedetails/2626-W-Northview-Ave-Phoenix-AZ-85051/7779482_zpid/,33.5439,-112.116,2017-11-29,2017-11-29
499623,23853309,"7113 W Holly St, Phoenix, AZ 85035 ",85035,0.0010181141741237739,135000,https://www.zillow.com/homedetails/7113-W-Holly-St-Phoenix-AZ-85035/7475387_zpid/,33.4699,-112.213,2017-12-05,2017-12-05
380762,23785452,"2911 W Lawrence Ln, Phoenix, AZ 85051 ",85051,0.0010044904536639441,155000,https://www.zillow.com/homedetails/2911-W-Lawrence-Ln-Phoenix-AZ-85051/7750459_zpid/,33.5641,-112.12200000000001,2017-03-06,2017-03-06
379975,23855534,"2810 W Diana Ave, Phoenix, AZ 85051 ",85051,0.0009958570948914902,149900,https://www.zillow.com/homedetails/2810-W-Diana-Ave-Phoenix-AZ-85051/7750833_zpid/,33.5615,-112.119,2017-12-06,2017-12-06
385922,23822262,"3614 W Echo Ln, Phoenix, AZ 85051 ",85051,0.0009685724702397925,185000,https://www.zillow.com/homedetails/3614-W-Echo-Ln-Phoenix-AZ-85051/7754459_zpid/,33.5595,-112.137,2017-11-06,2017-11-06
483705,23784850,"2639 N 49th Ave, Phoenix, AZ 85035 ",85035,0.0009665799520301802,162499,https://www.zillow.com/homedetails/2639-N-49th-Ave-Phoenix-AZ-85035/7499042_zpid/,33.4778,-112.163,2017-03-02,2017-03-02
8959430,23823810,"4054 W Northview Ave, Phoenix, AZ 85051 ",85051,0.0009622646737951608,199500,https://www.zillow.com/homedetails/4054-W-Northview-Ave-Phoenix-AZ-85051/7757834_zpid/,33.5436,-112.147,2017-11-07,2017-11-07
394545,23835062,"7239 N 41st Dr, Phoenix, AZ 85051 ",85051,0.0009572759093760483,199900,https://www.zillow.com/homedetails/7239-N-41st-Dr-Phoenix-AZ-85051/7756453_zpid/,33.5436,-112.148,2017-11-17,2017-11-17
8989929,23848474,"2837 E Monroe St, Phoenix, AZ 85034 ",85034,0.0009530753997028925,150000,https://www.zillow.com/homedetails/2837-E-Monroe-St-Phoenix-AZ-85034/7544758_zpid/,33.4501,-112.02,2017-11-29,2017-11-29
9023951,23835138,"4206 W North Ln, Phoenix, AZ 85051 ",85051,0.0009299817738189899,189000,https://www.zillow.com/homedetails/4206-W-North-Ln-Phoenix-AZ-85051/7746035_zpid/,33.5817,-112.149,2017-11-16,2017-11-16
534105,23842749,"1902 W Palm Ln, Phoenix, AZ 85009 ",85009,0.0009294081159346758,199500,https://www.zillow.com/homedetails/1902-W-Palm-Ln-Phoenix-AZ-85009/7519867_zpid/,33.4693,-112.1,2017-11-28,2017-11-28
1096718,23832148,"884 W Dublin St, Chandler, AZ 85225 ",85225,0.0009124415403781796,235000,https://www.zillow.com/homedetails/884-W-Dublin-St-Chandler-AZ-85225/8186411_zpid/,33.3188,-111.85799999999999,2017-11-13,2017-11-13
9024207,23837704,"3545 W Gardenia Ave, Phoenix, AZ 85051 ",85051,0.0009105132801150884,224500,https://www.zillow.com/homedetails/3545-W-Gardenia-Ave-Phoenix-AZ-85051/7756303_zpid/,33.5441,-112.13600000000001,2017-11-20,2017-11-20
378692,23849012,"10228 N 36th Ave, Phoenix, AZ 85051 ",85051,0.0009021529634972203,210000,https://www.zillow.com/homedetails/10228-N-36th-Ave-Phoenix-AZ-85051/7745264_zpid/,33.5794,-112.13600000000001,2017-12-05,2017-12-05
387374,23846451,"3735 W Cochise Dr, Phoenix, AZ 85051 ",85051,0.0008942134533148289,249900,https://www.zillow.com/homedetails/3735-W-Cochise-Dr-Phoenix-AZ-85051/7745459_zpid/,33.5803,-112.14,2017-12-01,2017-12-01
383781,22501929,"3339 W Malapai Dr, Phoenix, AZ 85051 ",85051,0.0008750948790371331,244900,https://www.zillow.com/homedetails/3339-W-Malapai-Dr-Phoenix-AZ-85051/7739353_zpid/,33.5756,-112.131,2017-08-12,2017-08-12
555541,23855465,"2317 W Adams St, Phoenix, AZ 85009 ",85009,0.0008698764299132887,232000,https://www.zillow.com/homedetails/2317-W-Adams-St-Phoenix-AZ-85009/7515219_zpid/,33.4488,-112.11,2017-12-11,2017-12-11
384676,23814267,"3501 W Ironwood Dr, Phoenix, AZ 85051 ",85051,0.0008695545415963079,239900,https://www.zillow.com/homedetails/3501-W-Ironwood-Dr-Phoenix-AZ-85051/7745307_zpid/,33.5759,-112.134,2017-10-29,2017-10-29
9015572,23854445,"9416 W Madison St, Tolleson, AZ 85353 ",85353,0.000868976722267857,176995,https://www.zillow.com/homedetails/9416-W-Madison-St-Tolleson-AZ-85353/7460136_zpid/,33.4454,-112.264,2017-12-12,2017-12-12
386285,23856269,"3631 W Caron St, Phoenix, AZ 85051 ",85051,0.0008672326899661009,239900,https://www.zillow.com/homedetails/3631-W-Caron-St-Phoenix-AZ-85051/7746596_zpid/,33.5684,-112.13799999999999,2017-12-15,2017-12-15
555448,23821996,"2310 W Washington St, Phoenix, AZ 85009 ",85009,0.0008667000372907128,169900,https://www.zillow.com/homedetails/2310-W-Washington-St-Phoenix-AZ-85009/7515224_zpid/,33.4483,-112.109,2017-11-06,2017-11-06
385650,23850122,"3601 W Royal Palm Rd, Phoenix, AZ 85051 ",85051,0.0008657348065005792,229900,https://www.zillow.com/homedetails/3601-W-Royal-Palm-Rd-Phoenix-AZ-85051/7753622_zpid/,33.5554,-112.137,2017-12-08,2017-12-08
343418,23811515,"2029 W Wilshire Dr, Phoenix, AZ 85009 ",85009,0.0008586373665375354,215000,https://www.zillow.com/homedetails/2029-W-Wilshire-Dr-Phoenix-AZ-85009/7519525_zpid/,33.476,-112.104,2017-10-28,2017-10-28
388744,23819809,"3835 W Camino Acequia, Phoenix, AZ 85051 ",85051,0.0008562522117934228,233900,https://www.zillow.com/homedetails/3835-W-Camino-Acequia-Phoenix-AZ-85051/7745922_zpid/,33.5749,-112.14200000000001,2017-11-03,2017-11-03
9020435,22875945,"3838 W Carol Ave, Phoenix, AZ 85051 ",85051,0.0008529098801490202,219990,https://www.zillow.com/homedetails/3838-W-Carol-Ave-Phoenix-AZ-85051/7746969_zpid/,33.5731,-112.14200000000001,2017-10-10,2017-10-10
391605,23759518,"4120 W Ironwood Dr, Phoenix, AZ 85051 ",85051,0.0008523656735931632,245000,https://www.zillow.com/homedetails/4120-W-Ironwood-Dr-Phoenix-AZ-85051/7746405_zpid/,33.5754,-112.147,2017-10-21,2017-10-21
393150,23840514,"4228 W Vista Ave, Phoenix, AZ 85051 ",85051,0.0008487894510098485,172400,https://www.zillow.com/homedetails/4228-W-Vista-Ave-Phoenix-AZ-85051/7758035_zpid/,33.5467,-112.15,2017-11-21,2017-11-21
9023952,23835040,"3231 W Belmont Ave, Phoenix, AZ 85051 ",85051,0.0008449399176925334,214900,https://www.zillow.com/homedetails/3231-W-Belmont-Ave-Phoenix-AZ-85051/7758304_zpid/,33.55,-112.12899999999999,2017-11-16,2017-11-16
