property_id,transaction_id,address,zipcode,ypred,predicted_price,list,url
345957,22215964,"2934 W Holly St, Phoenix, AZ 85009 ",85009,206774.46875,281774.46875,75000,https://www.zillow.com/homedetails/2934-W-Holly-St-Phoenix-AZ-85009/7510765_zpid/
7515622,21987654,"6024 W Augusta Ave, Glendale, AZ 85301 ",85301,179312.9375,269212.9375,89900,https://www.zillow.com/homedetails/6024-W-Augusta-Ave-Glendale-AZ-85301/7705377_zpid/
1409721,22243067,"7008 N 80th Dr, Glendale, AZ 85303 ",85303,172791.25,271791.25,99000,https://www.zillow.com/homedetails/7008-N-80th-Dr-Glendale-AZ-85303/7682873_zpid/
502086,22116337,"3630 N 48th Ave, Phoenix, AZ 85031 ",85031,156991.1875,276991.1875,120000,https://www.zillow.com/homedetails/3630-N-48th-Ave-Phoenix-AZ-85031/7508649_zpid/
393543,22032863,"4265 W Townley Ave, Phoenix, AZ 85051 ",85051,145902.78125,320902.78125,175000,https://www.zillow.com/homedetails/4265-W-Townley-Ave-Phoenix-AZ-85051/7754709_zpid/
330543,22078263,"4501 N 17th Ave, Phoenix, AZ 85015 ",85015,142871.5625,272771.5625,129900,https://www.zillow.com/homedetails/4501-N-17th-Ave-Phoenix-AZ-85015/7771588_zpid/
8957074,21963846,"9228 W Scotland Ave, Peoria, AZ 85345 ",85345,141780.28125,261680.28125,119900,https://www.zillow.com/homedetails/9228-W-Scotland-Ave-Peoria-AZ-85345/7685828_zpid/
1850753,21941802,"9963 W Thunderbird Blvd, Sun City, AZ 85351 ",85351,140464.46875,265364.46875,124900,http://www.zillow.com/homedetails/9963-W-Thunderbird-Blvd-Sun-City-AZ-85351/7914859_zpid/
489527,21816439,"5335 W Wilshire Dr, Phoenix, AZ 85035 ",85035,138362.75,323262.75,184900,https://www.zillow.com/homedetails/5335-W-Wilshire-Dr-Phoenix-AZ-85035/7493110_zpid/
7487449,22239307,"4702 N 67th Ave, Phoenix, AZ 85033 ",85033,137856.1875,277856.1875,140000,https://www.zillow.com/homedetails/4702-N-67th-Ave-Phoenix-AZ-85033/7716727_zpid/
422874,21991366,"8339 N 59th Dr, Glendale, AZ 85302 ",85302,137562.859375,256562.859375,119000,https://www.zillow.com/homedetails/8339-N-59th-Dr-Glendale-AZ-85302/7704146_zpid/
345909,22262250,"5313 W Raymond St, Phoenix, AZ 85043 ",85043,137278.375,287278.375,150000,https://www.zillow.com/homedetails/5313-W-Raymond-St-Phoenix-AZ-85043/67788825_zpid/
7449122,22224267,"4130 W Nancy Ln, Phoenix, AZ 85041 ",85041,132320.15625,267320.15625,135000,https://www.zillow.com/homedetails/4130-W-Nancy-Ln-Phoenix-AZ-85041/7504539_zpid/
8948907,22123724,"7310 W Devonshire Ave, Phoenix, AZ 85033 ",85033,129978.84375,277978.84375,148000,https://www.zillow.com/homedetails/7310-W-Devonshire-Ave-Phoenix-AZ-85033/7711048_zpid/
459931,22121270,"5730 W Avalon Dr, Phoenix, AZ 85031 ",85031,129744.03125,309644.03125,179900,https://www.zillow.com/homedetails/5730-W-Avalon-Dr-Phoenix-AZ-85031/7490076_zpid/
7454239,22001579,"3348 N 63rd Ave, Phoenix, AZ 85033 ",85033,129327.96875,302327.96875,173000,https://www.zillow.com/homedetails/3348-N-63rd-Ave-Phoenix-AZ-85033/7498495_zpid/
